,NodeError,Bimodality
Q8TEA1,1.30769230769,-0.047619047619
A6NIH7,1.41025641026,0.555555555556
Q96HJ5,3.68181818182,3.26666666667
O94913,2.97435897436,-0.253968253968
P37837,0.307692307692,0.0555555555556
A4IF30,3.58974358974,2.28174603175
Q7RTZ2,0.857142857143,-0.5
Q96EG1,4.04545454545,1.73333333333
P06858,2.69230769231,1.07936507937
Q6ZMU5,4.87179487179,2.2380952381
Q8WXA2,1.42424242424,0.533333333333
Q709C8,2.69230769231,0.769841269841
O95672,5.28205128205,4.03174603175
Q6ZS30,3.89393939394,0.6
O00299,4.5641025641,1.76984126984
Q8NGN4,4.54545454545,3.2
Q8NEP4,0.2,0.0
Q7Z5G4,2.74358974359,0.349206349206
Q16600,5.68181818182,4.0
P84022,1.89743589744,0.789682539683
P61925,1.4358974359,-0.222222222222
Q8N9G6,4.34848484848,1.8
P49368,0.846153846154,-0.0793650793651
P05091,2.48717948718,0.18253968254
Q8N1N0,6.34848484848,3.02222222222
P23759,3.25641025641,1.19841269841
Q9HCG1,7.13636363636,3.0
Q6IF42,3.38181818182,0.48
P59539,4.68181818182,5.46666666667
P0DJD8,5.38888888889,3.92207792208
Q02818,3.58974358974,1.76587301587
Q8N7C7,7.12121212121,5.72222222222
O95433,1.17948717949,0.0238095238095
Q9H7U1,0.461538461538,0.0833333333333
ENSP00000407807,2.0,
Q15465,2.48717948718,0.853174603175
Q9Y421,1.69230769231,-0.261904761905
Q5T215,5.69230769231,6.08333333333
P01615,4.7619047619,-2.0
Q6P2D0,5.5,3.17777777778
Q8NEV9,0.0,0.0
Q9NQ75,2.57575757576,1.66666666667
Q96KR6,3.05128205128,0.146825396825
Q6ZMB5,2.0,0.670634920635
ENSP00000398703,4.0,
P43005,4.30769230769,1.5
Q7Z5H5,2.36363636364,2.28
Q9BXT2,0.897435897436,0.222222222222
Q96HA4,2.4696969697,0.0666666666667
Q5THK1,2.0,0.309523809524
Q6NXP0,0.0,0.0
Q8NA03,1.38461538462,-0.214285714286
Q9UM44,2.15384615385,0.18253968254
A3KN83,3.84615384615,0.178571428571
Q8N944,0.969696969697,0.0666666666667
Q9BXW3,0.0,0.0
P48551,1.87878787879,0.755555555556
Q9UNN4,3.84615384615,3.11904761905
P35663,6.07575757576,-0.411111111111
Q6A1A2,1.06666666667,0.678571428571
Q5M9Q1,4.38461538462,0.507936507937
P14635,3.66666666667,2.06349206349
Q13304,1.4358974359,0.293650793651
Q13363,5.07692307692,0.916666666667
Q8IYL3,0.909090909091,0.0533333333333
Q6DKI7,0.0,0.0
Q9HD47,4.94871794872,-0.353174603175
Q9BZW2,5.69230769231,2.21428571429
Q9UBD3,2.0,0.875
Q9Y5A6,5.42424242424,1.26666666667
ENSP00000381320,0.0,
Q9Y6E0,4.17948717949,2.86111111111
Q9BVV6,1.0,0.0515873015873
Q96I51,3.16666666667,0.366666666667
P48023,1.69230769231,0.40873015873
ENSP00000393459,0.0,
Q8N5S1,6.51282051282,7.81349206349
Q969V4,1.5641025641,0.0674603174603
Q96B70,3.87179487179,-0.186507936508
Q9UL01,5.82051282051,4.36111111111
Q16880,3.71212121212,0.266666666667
O75864,2.92307692308,0.321428571429
Q86U17,7.74358974359,5.61111111111
Q8WVH0,1.38461538462,0.25
P0C881,3.5,0.888888888889
Q92521,0.512820512821,-0.0793650793651
Q96A44,2.15384615385,0.646825396825
Q15743,0.846153846154,0.0238095238095
P11277,3.54545454545,2.46666666667
Q9NYZ2,3.4358974359,2.30555555556
A6NKB5,5.07692307692,4.68253968254
Q8TCY9,3.30769230769,0.984126984127
Q12888,3.12820512821,0.031746031746
Q8TDM0,5.53846153846,3.21825396825
Q14114,2.51282051282,0.59126984127
P19440,6.33333333333,0.619047619048
Q6IB77,5.19696969697,2.13333333333
O00267,0.538461538462,-0.031746031746
P79483,0.0,
Q7LFX5,3.46153846154,-0.277777777778
A6NC42,0.0,0.0
Q9BTC0,2.92307692308,-0.297619047619
