,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RSD,EggNOG,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB
Q8TEA1,Cellular_organisms,Euk_Archaea,Eukaryota,Eukaryota,Euk_Archaea,Cellular_organisms,Euk_Archaea,Cellular_organisms,Eukaryota,Euk_Archaea,Cellular_organisms,Cellular_organisms,Cellular_organisms
A6NIH7,Eumetazoa,Eukaryota,Eukaryota,Eumetazoa,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota
Q96HJ5,Mammalia,Mammalia,Mammalia,Mammalia,Mammalia,Mammalia,None,Mammalia,Eumetazoa,Vertebrata,Opisthokonta,Eumetazoa,Eumetazoa
O94913,Eukaryota,Eukaryota,Vertebrata,Eumetazoa,Eukaryota,Eukaryota,Opisthokonta,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Vertebrata
P37837,Cellular_organisms,Euk+Bac,Euk+Bac,Euk+Bac,Eukaryota,Cellular_organisms,Cellular_organisms,Cellular_organisms,Euk+Bac,Cellular_organisms,Cellular_organisms,Cellular_organisms,Cellular_organisms
A4IF30,Vertebrata,Opisthokonta,Eumetazoa,Vertebrata,Vertebrata,Eukaryota,Opisthokonta,Opisthokonta,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Opisthokonta
Q7RTZ2,None,None,Eukaryota,None,None,None,None,Eukaryota,Opisthokonta,Eukaryota,Eukaryota,Eukaryota,Eukaryota
Q96EG1,Opisthokonta,Vertebrata,Opisthokonta,Vertebrata,Opisthokonta,Opisthokonta,Opisthokonta,Euk+Bac,Opisthokonta,None,Euk+Bac,Euk+Bac,Opisthokonta
P06858,Vertebrata,Vertebrata,Vertebrata,Eumetazoa,Vertebrata,Eumetazoa,Eumetazoa,Eumetazoa,Eukaryota,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa
Q6ZMU5,Mammalia,Mammalia,Mammalia,Mammalia,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Eukaryota,Vertebrata,Euk+Bac,Eumetazoa,Eumetazoa
Q8WXA2,Mammalia,Mammalia,Mammalia,Mammalia,Mammalia,Mammalia,None,Mammalia,Mammalia,Mammalia,Mammalia,Mammalia,Mammalia
Q709C8,Eumetazoa,Eukaryota,Opisthokonta,Opisthokonta,Vertebrata,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota
O95672,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Vertebrata,Cellular_organisms,Eumetazoa,Cellular_organisms,Cellular_organisms,Cellular_organisms,Cellular_organisms,Cellular_organisms,Cellular_organisms
Q6ZS30,Vertebrata,Eukaryota,Eumetazoa,Eukaryota,Eumetazoa,Eukaryota,Eukaryota,Eukaryota,Eumetazoa,None,Eukaryota,Eukaryota,Eukaryota
O00299,Vertebrata,Vertebrata,Eukaryota,Vertebrata,Vertebrata,Eukaryota,Vertebrata,Eukaryota,Eukaryota,Eukaryota,Euk+Bac,Eukaryota,Eukaryota
Q8NGN4,Mammalia,Mammalia,Mammalia,Mammalia,Mammalia,Mammalia,None,Mammalia,Eumetazoa,Mammalia,Eumetazoa,Vertebrata,Vertebrata
Q8NEP4,Mammalia,Mammalia,Mammalia,Mammalia,None,Mammalia,None,Mammalia,Mammalia,Mammalia,None,Mammalia,Mammalia
Q7Z5G4,Vertebrata,Eumetazoa,Vertebrata,Vertebrata,Eumetazoa,Eukaryota,Vertebrata,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eukaryota
Q16600,Mammalia,Mammalia,Mammalia,Mammalia,Mammalia,Mammalia,None,Mammalia,Eukaryota,Mammalia,Opisthokonta,Opisthokonta,Eumetazoa
P84022,Vertebrata,Vertebrata,Eumetazoa,Vertebrata,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa
P61925,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Eumetazoa,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Eumetazoa,Eumetazoa,Vertebrata
Q8N9G6,Mammalia,Mammalia,Mammalia,Mammalia,Mammalia,Mammalia,None,Mammalia,Mammalia,Mammalia,Eukaryota,Mammalia,Vertebrata
P49368,Euk_Archaea,Euk+Bac,Euk_Archaea,Eukaryota,Eukaryota,Cellular_organisms,Euk+Bac,Euk_Archaea,Eukaryota,Euk_Archaea,Cellular_organisms,Euk_Archaea,Euk_Archaea
P05091,Eumetazoa,Euk+Bac,Euk+Bac,Euk+Bac,Eumetazoa,Euk+Bac,Euk+Bac,Cellular_organisms,Euk+Bac,Cellular_organisms,Euk+Bac,Euk+Bac,Opisthokonta
Q8N1N0,Mammalia,Mammalia,Mammalia,Mammalia,Mammalia,Eukaryota,None,Mammalia,Eukaryota,Eumetazoa,Opisthokonta,Eukaryota,Eumetazoa
P23759,Vertebrata,Eumetazoa,Vertebrata,Vertebrata,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eukaryota,Opisthokonta,Eukaryota
Q9HCG1,Mammalia,Mammalia,Eumetazoa,Mammalia,Mammalia,Mammalia,None,Mammalia,Eukaryota,Mammalia,Opisthokonta,Opisthokonta,Eukaryota
Q6IF42,Mammalia,Mammalia,None,Mammalia,Mammalia,Eumetazoa,None,Mammalia,Eumetazoa,Mammalia,Vertebrata,Vertebrata,Mammalia
P59539,Mammalia,Mammalia,Mammalia,Mammalia,Mammalia,Mammalia,None,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Eumetazoa
P0DJD8,None,None,None,None,Vertebrata,Vertebrata,Eumetazoa,Eukaryota,Eukaryota,Vertebrata,Eukaryota,Eukaryota,Eukaryota
Q02818,Vertebrata,Opisthokonta,Mammalia,Vertebrata,Vertebrata,Opisthokonta,Eumetazoa,Eumetazoa,Opisthokonta,Opisthokonta,Eukaryota,Opisthokonta,Eumetazoa
Q8N7C7,Mammalia,Mammalia,Vertebrata,Eumetazoa,Mammalia,Opisthokonta,None,Opisthokonta,Eukaryota,Eukaryota,Euk+Bac,Eukaryota,Eukaryota
O95433,Opisthokonta,Eukaryota,Eukaryota,Eukaryota,Euk+Bac,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Euk+Bac,Eukaryota,Eukaryota
Q9H7U1,Vertebrata,Vertebrata,Mammalia,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata
ENSP00000407807,None,None,None,None,None,None,None,None,None,None,None,Mammalia,Vertebrata
Q15465,Vertebrata,Eumetazoa,Vertebrata,Eumetazoa,Eukaryota,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eukaryota,Eumetazoa,Eumetazoa
Q9Y421,Eukaryota,Eumetazoa,Opisthokonta,Eukaryota,Eukaryota,Eukaryota,Eumetazoa,Eumetazoa,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota
Q5T215,Mammalia,Mammalia,Opisthokonta,Mammalia,Mammalia,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota
P01615,None,None,Vertebrata,None,None,None,None,Mammalia,Vertebrata,Mammalia,Opisthokonta,Vertebrata,Opisthokonta
Q6P2D0,Mammalia,Mammalia,Mammalia,Mammalia,Eumetazoa,Mammalia,None,Mammalia,Eukaryota,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa
