,Cellular_organisms,Euk_Archaea,Euk+Bac,Eukaryota,Opisthokonta,Dikarya,Basidiomycota,modeAge,NumDBsContributing,NumDBsFiltered,entropy,NodeError,Bimodality,HGT_flag
O13367,0.0,0.0,0.307692307692,0.615384615385,0.0,0.0,0.0769230769231,Eukaryota,13,0,0.8587409130060001,1.82051282051,-0.07539682539680001,False
O13394,0.0,0.0,0.0,0.416666666667,0.08333333333330001,0.5,0.0,Dikarya,12,1,0.918427784993,2.07692307692,0.0912698412698,False
O13395,0.0,0.0,0.0,0.416666666667,0.08333333333330001,0.33333333333299997,0.166666666667,Eukaryota,12,1,1.2366848691399999,2.35897435897,0.047619047619,False
O42725,0.0,0.0,0.0,0.8181818181820001,0.0909090909091,0.0909090909091,0.0,Eukaryota,11,1,0.60016607316,0.984848484848,-0.08940092165899999,False
O43103,0.0,0.0,0.692307692308,0.0769230769231,0.0,0.23076923076900002,0.0,Euk+Bac,13,0,0.790267968075,2.61538461538,-0.301587301587,True
O93878,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Basidiomycota,5,2,-0.0,1.90476190476,-0.581818181818,False
P09317,0.153846153846,0.0,0.615384615385,0.23076923076900002,0.0,0.0,0.0,Euk+Bac,13,0,0.925129083572,0.769230769231,-0.119047619048,False
P0C196,0.08333333333330001,0.0,0.166666666667,0.666666666667,0.08333333333330001,0.0,0.0,Eukaryota,12,1,0.983087758575,1.61538461538,0.00793650793651,False
P0C197,0.5,0.0,0.166666666667,0.166666666667,0.08333333333330001,0.08333333333330001,0.0,Cellular_organisms,12,0,1.35797785499,2.04545454545,0.572350230415,False
P0C198,0.0,0.0,0.25,0.166666666667,0.416666666667,0.166666666667,0.0,Opisthokonta,12,0,1.3086053872499999,2.66666666667,0.0405529953917,False
P0C199,0.0,0.0,0.08333333333330001,0.166666666667,0.166666666667,0.583333333333,0.0,Dikarya,12,0,1.1187433359899999,1.74242424242,0.2,False
P0C7L7,0.0,0.0,0.181818181818,0.545454545455,0.181818181818,0.0909090909091,0.0,Eukaryota,11,1,1.16851840574,2.28787878788,0.177880184332,False
P0CH65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Cellular_organisms,13,0,-0.0,0.0,0.0,False
P0CH66,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Dikarya,1,1,-0.0,0.0,,False
P14746,0.0,0.0,0.0,0.5,0.416666666667,0.08333333333330001,0.0,Eukaryota,12,0,0.918427784993,1.78787878788,0.451612903226,False
P15188,0.0769230769231,0.153846153846,0.0,0.538461538462,0.0769230769231,0.153846153846,0.0,Eukaryota,13,0,1.30387552934,1.97435897436,0.0555555555556,False
P18694,0.08333333333330001,0.0,0.166666666667,0.75,0.0,0.0,0.0,Eukaryota,12,1,0.7214636866930001,1.07692307692,0.5039682539679999,False
P22015,0.0,0.0,0.0,0.5,0.0,0.0,0.5,Basidiomycota,2,0,0.6931471805600001,5.0,,False
P30598,0.0,0.0,0.0,0.153846153846,0.307692307692,0.538461538462,0.0,Dikarya,13,0,0.983961446001,1.10256410256,0.242063492063,False
P30599,0.0,0.0,0.0,0.153846153846,0.38461538461499994,0.0769230769231,0.38461538461499994,Opisthokonta,13,0,1.22028216627,1.61538461538,0.05952380952380001,False
P31301,0.25,0.0,0.75,0.0,0.0,0.0,0.0,Euk+Bac,12,0,0.562335144619,0.0,0.0,True
P31302,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Dikarya,11,0,-0.0,0.0,0.0,False
P32360,0.0,0.0,0.0,0.846153846154,0.153846153846,0.0,0.0,Eukaryota,13,0,0.42932302193099997,0.846153846154,0.33333333333299997,False
P40349,0.0,0.0,0.0,0.08333333333330001,0.833333333333,0.08333333333330001,0.0,Opisthokonta,12,0,0.56608573896,0.5,-0.152073732719,False
P41511,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Eukaryota,11,1,-0.0,0.166666666667,0.0709677419355,False
P49601,0.538461538462,0.0,0.307692307692,0.153846153846,0.0,0.0,0.0,Cellular_organisms,13,0,0.983961446001,0.846153846154,0.33333333333299997,False
P49602,0.0,0.0,0.38461538461499994,0.615384615385,0.0,0.0,0.0,Eukaryota,13,0,0.666278442415,1.02564102564,-0.15873015873,False
P49604,0.25,0.08333333333330001,0.0,0.666666666667,0.0,0.0,0.0,Eukaryota,12,1,0.8239592165009999,2.0,1.54761904762,False
P49605,0.0,0.0,0.46153846153800004,0.46153846153800004,0.0,0.0769230769231,0.0,Euk+Bac,13,0,0.911017539713,1.69230769231,0.047619047619,False
P49606,0.272727272727,0.0,0.0909090909091,0.45454545454499995,0.0909090909091,0.0909090909091,0.0,Eukaryota,11,0,1.36671105206,2.29090909091,0.313333333333,False
P54424,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Dikarya,9,0,-0.0,0.0,0.0,False
P54856,0.615384615385,0.0,0.23076923076900002,0.153846153846,0.0,0.0,0.0,Cellular_organisms,13,0,0.925129083572,0.564102564103,-0.0873015873016,False
P56584,0.692307692308,0.0,0.307692307692,0.0,0.0,0.0,0.0,Cellular_organisms,13,0,0.61724176973,0.0,0.0,True
P87032,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Eukaryota,11,1,-0.0,0.969696969697,-0.17777777777800002,False
P87033,0.0,0.0,0.0,0.45454545454499995,0.0909090909091,0.363636363636,0.0909090909091,Eukaryota,11,1,1.16222554492,2.18181818182,-0.155555555556,False
P87034,0.0,0.0,0.0,0.5,0.08333333333330001,0.416666666667,0.0,Eukaryota,12,0,0.918427784993,1.86363636364,1.0333333333299999,False
P87035,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Eukaryota,4,0,-0.0,0.5,-0.33333333333299997,False
Q05531,0.0769230769231,0.0,0.615384615385,0.23076923076900002,0.0,0.0769230769231,0.0,Euk+Bac,13,0,1.03176711135,1.76923076923,-0.222222222222,False
Q4P042,0.0,0.0,0.0,0.615384615385,0.23076923076900002,0.153846153846,0.0,Eukaryota,13,0,0.925129083572,1.76923076923,-0.119047619048,False
Q4P044,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Dikarya,4,0,-0.0,0.0,,False
Q4P045,0.0,0.0,0.0,0.428571428571,0.14285714285700002,0.428571428571,0.0,Dikarya,7,1,1.0042424730500001,2.03571428571,-0.507692307692,False
Q4P046,0.0,0.0,0.0,0.416666666667,0.08333333333330001,0.5,0.0,Dikarya,12,1,0.918427784993,1.07692307692,0.0396825396825,False
Q4P047,0.125,0.0,0.125,0.5,0.25,0.0,0.0,Eukaryota,8,1,1.21300756598,2.27777777778,2.1111111111099996,False
