,Cellular_organisms,Euk_Archaea,Euk+Bac,Eukaryota,Opisthokonta,Eumetazoa,Protostomia,Ecdysozoa,Arthropoda,modeAge,NumDBsContributing,NumDBsFiltered,entropy,NodeError,Bimodality,HGT_flag
A0A1F4,0.0,0.0,0.0,0.0909090909091,0.0,0.7272727272730001,0.0,0.0909090909091,0.0909090909091,Eumetazoa,11,1,0.885574151577,2.54545454545,-0.18801843318,False
A0AQH0,0.153846153846,0.0,0.0769230769231,0.769230769231,0.0,0.0,0.0,0.0,0.0,Eukaryota,13,0,0.6870920273800001,0.769230769231,0.190476190476,False
A0ZWY4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Eumetazoa,3,0,-0.0,0.0,,False
A1A6Q5,0.363636363636,0.0,0.0909090909091,0.363636363636,0.0,0.181818181818,0.0,0.0,0.0,Cellular_organisms,11,0,1.26365443188,3.16363636364,1.7037037037,False
A1A6X2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Arthropoda,3,1,-0.0,2.16666666667,1.0,False
A1A6X9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Arthropoda,1,0,-0.0,None,,False
A1A714,0.0,0.0,0.0,0.923076923077,0.0769230769231,0.0,0.0,0.0,0.0,Eukaryota,13,0,0.271189373042,0.846153846154,0.0238095238095,False
A1A749,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Eukaryota,1,1,-0.0,1.0,,False
A1A750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Arthropoda,6,0,-0.0,0.0,0.0,False
A1E5L3,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.8,Arthropoda,5,1,0.500402423538,4.8,-2.4,False
A1YK02,0.0,0.0,0.0,0.846153846154,0.0769230769231,0.0769230769231,0.0,0.0,0.0,Eukaryota,13,0,0.5359610497089999,1.05128205128,-0.00793650793651,False
A1YK56,0.0,0.0,0.0,0.923076923077,0.0769230769231,0.0,0.0,0.0,0.0,Eukaryota,13,0,0.271189373042,0.307692307692,0.0555555555556,False
A1Z6D6,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75,Arthropoda,8,1,0.562335144619,3.77777777778,-0.85,False
A1Z6E0,0.0,0.0,0.0,0.166666666667,0.0,0.833333333333,0.0,0.0,0.0,Eumetazoa,12,1,0.45056120886600004,1.0,-0.103174603175,False
A1Z6E8,0.0,0.0,0.0,0.23076923076900002,0.153846153846,0.538461538462,0.0,0.0,0.0769230769231,Eumetazoa,13,0,1.15698764435,2.69230769231,0.150793650794,False
A1Z6G4,0.0,0.0,0.0,0.4,0.1,0.2,0.0,0.0,0.3,Eukaryota,10,2,1.2798542258299999,4.25757575758,2.18894009217,False
A1Z6G6,0.0,0.0,0.0,0.0909090909091,0.0,0.8181818181820001,0.0,0.0,0.0909090909091,Eumetazoa,11,2,0.60016607316,2.53846153846,0.587301587302,False
A1Z6G9,0.0,0.0,0.0,0.909090909091,0.0,0.0909090909091,0.0,0.0,0.0,Eukaryota,11,2,0.304636097349,1.48717948718,-0.07539682539680001,False
A1Z6H7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Eukaryota,13,0,-0.0,0.923076923077,-0.0912698412698,False
A1Z6H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Arthropoda,4,1,-0.0,1.8,-0.916666666667,False
A1Z6I3,0.2,0.0,0.0,0.2,0.4,0.2,0.0,0.0,0.0,Opisthokonta,5,1,1.33217904021,4.06666666667,0.392857142857,False
