,Cellular_organisms,Euk_Archaea,Euk+Bac,Eukaryota,Opisthokonta,Eumetazoa,Vertebrata,modeAge,NumDBsContributing,NumDBsFiltered,entropy,NodeError,Bimodality,HGT_flag
A0A044PYE0,0.0,0.0,0.25,0.0,0.0,0.75,0.0,Eumetazoa,12,0,0.562335144619,3.34848484848,-0.620276497696,False
A0A044PYF3,0.0,0.0,0.0,0.0,0.0769230769231,0.769230769231,0.153846153846,Eumetazoa,13,0,0.6870920273800001,1.46153846154,0.7539682539679999,False
A0A044PYG0,0.0,0.0,0.0,0.692307692308,0.0769230769231,0.0769230769231,0.153846153846,Eukaryota,13,0,0.937155853066,3.33333333333,0.206349206349,False
A0A0B4J2K4,0.0,0.0,0.0,0.545454545455,0.0,0.363636363636,0.0909090909091,Eukaryota,11,2,0.9164648855390001,3.33333333333,0.0,False
A0JLZ7,0.0,0.0,0.307692307692,0.46153846153800004,0.0,0.153846153846,0.0769230769231,Eukaryota,13,0,1.2047933096899999,3.69230769231,-0.107142857143,False
A0JM01,0.0,0.0,0.0,0.166666666667,0.0,0.666666666667,0.166666666667,Eumetazoa,12,1,0.8675632284810001,3.20512820513,0.587301587302,False
A0JM09,0.0,0.0,0.0,0.1,0.0,0.3,0.6,Vertebrata,10,1,0.897945724857,4.03636363636,1.97333333333,False
A0JM28,0.0,0.0,0.0,0.538461538462,0.0,0.0769230769231,0.38461538461499994,Eukaryota,13,0,0.898137003188,4.82051282051,4.25793650794,False
A0JM57,0.0,0.0,0.0,0.923076923077,0.0,0.0769230769231,0.0,Eukaryota,13,0,0.271189373042,1.20512820513,0.123015873016,False
A0JM60,0.0,0.0,0.0,0.0,0.0,0.692307692308,0.307692307692,Eumetazoa,13,0,0.61724176973,1.38461538462,0.25,False
A0JM78,0.0,0.0,0.0,0.583333333333,0.08333333333330001,0.0,0.33333333333299997,Eukaryota,12,1,0.887694275799,4.53846153846,2.9087301587299996,False
A0JM86,0.0,0.0,0.0,0.0,0.0,0.769230769231,0.23076923076900002,Eumetazoa,13,0,0.5402041423889999,1.58974358974,0.785714285714,False
A0JM88,0.0,0.0,0.0,0.375,0.125,0.125,0.375,Vertebrata,8,0,1.25548232518,5.35714285714,2.24615384615,False
A0JM89,0.0,0.0,0.0,0.0,0.0,0.8,0.2,Eumetazoa,10,0,0.500402423538,0.711111111111,0.2,False
A0JM91,0.0,0.0,0.0,0.538461538462,0.153846153846,0.0769230769231,0.23076923076900002,Eukaryota,13,0,1.15698764435,4.17948717949,1.93253968254,False
A0JM93,0.0,0.0,0.0,0.0,0.0,0.545454545455,0.45454545454499995,Eumetazoa,11,0,0.689009238477,1.81818181818,-0.33333333333299997,False
A0JM94,0.0,0.0,0.0,0.0,0.0,0.08333333333330001,0.916666666667,Vertebrata,12,1,0.286835983056,1.28205128205,0.00793650793651,False
A0JM95,0.0,0.0,0.0,0.23076923076900002,0.0769230769231,0.153846153846,0.538461538462,Vertebrata,13,0,1.15698764435,4.66666666667,3.81746031746,False
A0JM96,0.0,0.0,0.0,0.0,0.0,0.583333333333,0.416666666667,Eumetazoa,12,1,0.6791932659919999,2.5641025641,0.325396825397,False
A0JM97,0.0,0.0,0.0,0.46153846153800004,0.0,0.0769230769231,0.46153846153800004,Vertebrata,13,0,0.911017539713,4.69230769231,2.1626984127,False
A0JMA2,0.0,0.0,0.0,0.166666666667,0.0,0.583333333333,0.25,Eumetazoa,12,1,0.9596147939120001,3.15384615385,0.646825396825,False
A0JMA3,0.0,0.0,0.0,0.46153846153800004,0.0769230769231,0.153846153846,0.307692307692,Eukaryota,13,0,1.2047933096899999,5.15384615385,1.52380952381,False
A0JMA8,0.0,0.0,0.0,0.923076923077,0.0,0.0769230769231,0.0,Eukaryota,13,0,0.271189373042,0.769230769231,-0.119047619048,False
A0JP77,0.0,0.0,0.0,0.0,0.0,0.75,0.25,Eumetazoa,12,1,0.562335144619,1.87179487179,0.123015873016,False
A0JP79,0.0,0.0,0.0,0.0,0.2,0.6,0.2,Eumetazoa,5,1,0.950270539233,4.4,1.8,False
A0JP90,0.0,0.0,0.0,0.0,0.0,0.833333333333,0.166666666667,Eumetazoa,12,1,0.45056120886600004,1.82051282051,1.2658730158700002,False
A0JP96,0.0,0.0,0.0,0.833333333333,0.08333333333330001,0.0,0.08333333333330001,Eukaryota,12,1,0.56608573896,1.97435897436,0.261904761905,False
A0JP99,0.0,0.0,0.0769230769231,0.538461538462,0.0,0.0769230769231,0.307692307692,Eukaryota,13,0,1.09059947378,4.82051282051,5.70238095238,False
A0JPA5,0.0,0.0,0.0769230769231,0.615384615385,0.0,0.0769230769231,0.23076923076900002,Eukaryota,13,0,1.03176711135,4.41025641026,1.1746031745999999,False
A0JPC0,0.307692307692,0.0,0.692307692308,0.0,0.0,0.0,0.0,Euk+Bac,13,0,0.61724176973,0.0,0.0,False
A0JPC1,0.0,0.0,0.0,0.769230769231,0.0,0.0,0.23076923076900002,Eukaryota,13,0,0.5402041423889999,3.53846153846,2.44444444444,False
A0JPD7,0.0,0.0,0.0,0.7272727272730001,0.0,0.272727272727,0.0,Eukaryota,11,0,0.585952618304,2.18181818182,1.8,False
A0PJP7,0.0,0.0,0.23076923076900002,0.0,0.0,0.692307692308,0.0769230769231,Eumetazoa,13,0,0.790267968075,3.92307692308,-0.40079365079400003,False
A1A5F4,0.0,0.0,0.0,0.166666666667,0.0,0.583333333333,0.25,Eumetazoa,12,1,0.9596147939120001,3.87179487179,1.8253968254,False
A1A5F5,0.0,0.0,0.0,0.25,0.0,0.0,0.75,Vertebrata,8,1,0.562335144619,4.27777777778,-0.222222222222,False
A1A5F8,0.0,0.0,0.0,0.08333333333330001,0.08333333333330001,0.666666666667,0.166666666667,Eumetazoa,12,1,0.983087758575,2.51282051282,-0.0277777777778,False
