,Cellular_organisms,Euk_Archaea,Euk+Bac,Eukaryota,Opisthokonta,Eumetazoa,Vertebrata,Teleostei,modeAge,NumDBsContributing,NumDBsFiltered,entropy,NodeError,Bimodality,HGT_flag
A0A0A0MPH1,0.416666666667,0.0,0.33333333333299997,0.08333333333330001,0.0,0.0,0.166666666667,0.0,Cellular_organisms,12,0,1.2366848691399999,3.65151515152,1.7760368663599997,True
A0A0A0MPM6,0.0,0.0,0.0,0.416666666667,0.583333333333,0.0,0.0,0.0,Opisthokonta,12,1,0.6791932659919999,1.30769230769,0.15873015873,False
A0A0A0MPR7,0.0,0.0,0.0,0.636363636364,0.272727272727,0.0,0.0909090909091,0.0,Eukaryota,11,0,0.859967281036,3.01818181818,2.74666666667,False
A0A0B4J1A8,0.0,0.0,0.0,0.08333333333330001,0.0,0.75,0.0,0.166666666667,Eumetazoa,12,0,0.7214636866930001,2.21212121212,0.521658986175,False
A0A0B4J1A9,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,Vertebrata,10,0,0.325082973391,0.2,0.107142857143,False
A0A181,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Vertebrata,7,0,-0.0,0.0,0.0,False
A0A182,0.0,0.0,0.0,0.0,0.25,0.5,0.25,0.0,Eumetazoa,4,9,1.0397207708399998,1.92307692308,0.785714285714,False
A0A4V7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Vertebrata,7,3,-0.0,0.466666666667,-0.06,False
A0A4W4,0.0,0.0,0.0,0.0,0.111111111111,0.888888888889,0.0,0.0,Eumetazoa,9,4,0.34883209584299996,1.74358974359,1.01984126984,False
A0AR23,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.0,Eukaryota,5,8,0.6730116670090001,3.05128205128,-0.162698412698,False
A0AUP8,0.0,0.0,0.0,0.0,0.0,0.14285714285700002,0.8571428571430001,0.0,Vertebrata,7,0,0.410116318288,0.285714285714,-0.08333333333330001,False
A0AUQ0,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.0,Eumetazoa,10,0,0.610864302055,1.86666666667,-0.24,False
