,Cellular_organisms,Euk_Archaea,Euk+Bac,Eukaryota,Opisthokonta,Eumetazoa,Vertebrata,Mammalia,modeAge,NumDBsContributing,NumDBsFiltered,entropy,NodeError,Bimodality,HGT_flag
A0A0B4J2I4,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,Vertebrata,12,0,0.562335144619,1.30303030303,0.8,False
A0A0B4J2I5,0.0,0.0,0.0,0.692307692308,0.0769230769231,0.0,0.0,0.23076923076900002,Eukaryota,13,0,0.790267968075,6.07692307692,3.9603174603199993,False
A0A0B4J2I6,0.0,0.0,0.0,0.0,0.0,0.0,0.272727272727,0.7272727272730001,Mammalia,11,1,0.585952618304,3.57575757576,1.7888888888900003,False
A0A0B4J2I7,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,Mammalia,10,1,0.6730116670090001,3.78181818182,1.2866666666700002,False
A1C2V0,0.0,0.0,0.0,0.0,0.0,0.923076923077,0.0769230769231,0.0,Eumetazoa,13,0,0.271189373042,1.17948717949,0.33333333333299997,False
A1XD93,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,12,1,-0.0,0.153846153846,0.0277777777778,False
A2T6W2,0.0,0.0,0.0,0.0909090909091,0.0,0.181818181818,0.0,0.7272727272730001,Mammalia,11,1,0.7595473914749999,5.83333333333,0.366666666667,False
A2T6X6,0.0,0.0,0.0,0.08333333333330001,0.0,0.416666666667,0.5,0.0,Vertebrata,12,1,0.918427784993,3.58974358974,1.4047619047600002,False
A2T6X9,0.0,0.0,0.0,0.0,0.0,0.846153846154,0.153846153846,0.0,Eumetazoa,13,0,0.42932302193099997,1.41025641026,0.40079365079400003,False
A2T6Y4,0.846153846154,0.0,0.0,0.153846153846,0.0,0.0,0.0,0.0,Cellular_organisms,13,0,0.42932302193099997,0.564102564103,0.015873015873,True
A2T6Z0,0.0,0.0,0.0,0.0909090909091,0.0909090909091,0.45454545454499995,0.272727272727,0.0909090909091,Eumetazoa,11,1,1.36671105206,3.9696969697,1.9,False
A2T711,0.0,0.0,0.0,0.25,0.08333333333330001,0.33333333333299997,0.08333333333330001,0.25,Eumetazoa,12,0,1.4735023850799998,5.4696969697,3.73333333333,False
A2T712,0.0,0.0,0.0,0.0,0.0909090909091,0.0909090909091,0.0,0.8181818181820001,Mammalia,11,1,0.60016607316,4.87878787879,2.46666666667,False
A2T713,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,Vertebrata,10,2,0.6730116670090001,3.28787878788,4.13333333333,False
A2T715,0.0,0.0,0.0,0.0,0.0,0.0,0.0909090909091,0.909090909091,Mammalia,11,1,0.304636097349,2.48484848485,0.4,False
A2T733,0.0,0.0,0.0,0.166666666667,0.08333333333330001,0.416666666667,0.33333333333299997,0.0,Eumetazoa,12,1,1.2366848691399999,3.82051282051,1.5753968254,False
A2T736,0.0,0.0,0.0,0.0,0.0,0.181818181818,0.0,0.8181818181820001,Mammalia,11,1,0.474139313058,4.22727272727,2.0666666666699998,False
A2T737,0.0,0.0,0.0,0.0,0.0,0.692307692308,0.307692307692,0.0,Eumetazoa,13,0,0.61724176973,1.74358974359,0.246031746032,False
A2T748,0.0,0.0,0.0,0.166666666667,0.0,0.25,0.583333333333,0.0,Vertebrata,12,1,0.9596147939120001,4.51282051282,1.57142857143,False
A2T756,0.0,0.0,0.0,0.08333333333330001,0.0,0.666666666667,0.25,0.0,Eumetazoa,12,1,0.8239592165009999,3.33333333333,1.65079365079,False
A2T762,0.0,0.0,0.0,0.0,0.0,0.416666666667,0.583333333333,0.0,Vertebrata,12,1,0.6791932659919999,2.25641025641,1.92063492063,False
A2T771,0.0,0.0,0.0,0.0,0.0,0.615384615385,0.38461538461499994,0.0,Eumetazoa,13,0,0.666278442415,1.20512820513,1.1547619047600002,False
A2T777,0.0,0.0,0.0,0.153846153846,0.153846153846,0.0769230769231,0.615384615385,0.0,Vertebrata,13,0,1.07201696856,4.10256410256,0.39682539682499995,False
A4F4L0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,Vertebrata,12,0,0.562335144619,1.5303030303,-0.06666666666669999,False
A4K2N7,0.0,0.0,0.46153846153800004,0.23076923076900002,0.0,0.0769230769231,0.23076923076900002,0.0,Euk+Bac,13,0,1.23093162305,5.64102564103,4.28571428571,False
A4K2N8,0.166666666667,0.0,0.0,0.0,0.08333333333330001,0.33333333333299997,0.416666666667,0.0,Vertebrata,12,1,1.2366848691399999,4.92307692308,2.95238095238,False
A4K2N9,0.0,0.0,0.0,0.0,0.0,0.181818181818,0.0909090909091,0.7272727272730001,Mammalia,11,1,0.7595473914749999,3.69696969697,2.13333333333,False
A4K2P0,0.0,0.0,0.0,0.0,0.0,0.0909090909091,0.0909090909091,0.8181818181820001,Mammalia,11,1,0.60016607316,4.19696969697,1.4,False
A4K2P1,0.0,0.0,0.0,0.0,0.0,0.08333333333330001,0.0,0.916666666667,Mammalia,12,0,0.286835983056,2.13636363636,0.8,False
A4ZZ69,0.0769230769231,0.0769230769231,0.23076923076900002,0.0,0.153846153846,0.307692307692,0.0,0.153846153846,Eumetazoa,13,0,1.67159527802,6.87179487179,1.9801587301599997,False
A4ZZ70,0.153846153846,0.0,0.0769230769231,0.153846153846,0.153846153846,0.23076923076900002,0.0,0.23076923076900002,Mammalia,13,0,1.7379834485900003,7.94871794872,3.77380952381,False
A5A6H0,0.0,0.0,0.0,0.08333333333330001,0.0,0.666666666667,0.25,0.0,Eumetazoa,12,1,0.8239592165009999,2.71794871795,0.198412698413,False
A5A6H5,0.416666666667,0.0,0.5,0.08333333333330001,0.0,0.0,0.0,0.0,Euk+Bac,12,1,0.918427784993,0.461538461538,-0.07142857142860001,False
A5A6H8,0.0,0.0,0.0,0.0,0.0,0.538461538462,0.46153846153800004,0.0,Eumetazoa,13,0,0.6901856760189999,1.58974358974,2.43650793651,False
