,FractionLDOs
Q8TBF4,1.0
Q8WUP2,0.6
P30613,0.25
Q5H9L4,0.25
Q9NVL1,0.16666666666666666
Q9NQ75,0.625
P20930,0.0
A6NJS3,1.0
Q8TBF2,0.3333333333333333
Q9NXR8,0.6666666666666666
Q9C0H2,0.0
Q4VXU2,1.0
Q9C0H9,0.0
Q00537,0.8571428571428571
Q00536,0.875
Q00532,1.0
Q6UXI7,0.5714285714285714
O00712,0.125
Q9UBM8,0.0
Q86U70,0.4
O00716,0.25
Q9UBM7,0.0
Q6UXI9,1.0
P51993,0.5
P40424,0.18181818181818182
P40425,0.2
P40426,0.6666666666666666
P40429,0.0
Q7Z3T8,0.0
Q13838,0.8888888888888888
O00337,0.4
P08842,0.8
P48960,0.75
Q9H6Q4,1.0
P02768,0.9
P02760,1.0
P05388,0.0
Q7L266,0.0
Q9UQ05,0.6666666666666666
Q9UJ70,0.4
Q2M218,1.0
Q9UJ72,0.5
Q15165,0.375
Q15166,0.2857142857142857
Q9UJ78,0.0
Q86WA9,0.6
O15254,0.2
P60153,0.5555555555555556
P59282,0.2857142857142857
P29401,0.5
P29400,1.0
Q86XA9,0.2857142857142857
P39023,0.7272727272727273
Q2VWP7,1.0
Q9Y6V7,0.8571428571428571
Q01118,0.14285714285714285
O43399,0.1111111111111111
Q96CS3,0.0
Q9P219,1.0
Q9P218,1.0
Q96CS7,0.0
Q9P215,0.1111111111111111
Q9UK12,1.0
Q9UK11,1.0
Q9UK10,1.0
Q9UK17,0.0
Q9P212,0.6666666666666666
Q92832,0.9
Q92831,0.25
Q92830,0.0
Q92837,0.1111111111111111
Q9H3M9,0.2
P21452,0.6666666666666666
P21453,0.7777777777777778
Q92839,0.5
Q9H3M7,0.1111111111111111
Q9H3M0,0.3333333333333333
Q5VVP1,1.0
Q9H845,1.0
Q9Y6E2,0.0
Q9Y6E0,1.0
Q9BZG2,0.6666666666666666
Q9Y6E7,1.0
O43930,1.0
Q9Y597,0.0
A8TX70,0.5
P01233,0.3333333333333333
Q2NKQ1,0.25
Q6NX49,0.5
Q9UKZ9,0.14285714285714285
P09001,0.0
P53708,0.5
Q5DJT8,0.0
Q6NX45,0.5
Q9UKZ4,0.3333333333333333
Q9H963,1.0
Q8NFQ5,0.875
Q14563,0.7
Q14562,0.42857142857142855
Q8WYB5,0.0
Q86TG1,0.3333333333333333
Q86TG7,0.16666666666666666
Q14565,0.0
Q6P1A2,0.25
Q7Z5L7,0.8888888888888888
Q9NRH2,1.0
Q9NRH3,0.0
P58335,0.0
Q9UHF3,0.0
Q9H115,0.6666666666666666
Q9UHF5,0.0
P41219,1.0
Q96PG2,0.3
Q96PG1,0.5
Q9UHC6,1.0
Q8N1K5,0.0
Q92527,1.0
Q92526,0.6666666666666666
Q92520,0.09090909090909091
Q92523,0.0
Q92529,0.6666666666666666
Q9H4P4,1.0
P23352,1.0
Q2Q1W2,0.25
Q5T9C2,0.0
Q2QGD7,0.4444444444444444
A0A0C4DGB4,1.0
Q5T9C9,1.0
Q9HAP6,1.0
P27449,0.0
Q9HAP2,1.0
Q96HA7,1.0
Q96HA1,1.0
P86397,0.0
Q6PII5,1.0
Q9H069,1.0
P31995,1.0
O75164,0.5
P08697,0.6666666666666666
Q9H210,0.7142857142857143
Q9H213,0.7142857142857143
Q96G23,0.6666666666666666
Q7L3V2,0.2222222222222222
P06865,0.5
Q9BWU0,0.0
Q13239,0.9
Q8TEH3,0.5
Q13232,0.5
P15923,0.42857142857142855
Q13231,0.5
Q5TBA9,0.0
Q13237,0.8
Q8HWS3,0.6
P19075,1.0
P30872,0.75
P10915,0.2727272727272727
P10914,0.14285714285714285
Q15760,0.75
P10916,0.3333333333333333
P10911,0.7
Q6UW01,0.2857142857142857
Q15768,0.5
P23743,0.16666666666666666
O95528,0.8571428571428571
Q8WUF8,0.0
O95522,0.2
Q96BT7,0.4
Q96J66,0.5555555555555556
P48146,0.8
P48145,0.7777777777777778
Q9BQG2,0.3333333333333333
Q99518,0.3333333333333333
Q9BQG1,0.0
Q6PL24,0.0
Q96RU3,1.0
Q96RU2,0.375
Q4VC39,0.2222222222222222
Q9NYU1,0.0
Q9NYU2,0.3333333333333333
Q96DR4,0.6
Q96DR5,0.6
Q96DR7,0.6666666666666666
Q96L58,0.0
O94766,0.5
P50395,0.5
Q96A84,0.0
Q96A83,0.0
Q14929,1.0
P50391,1.0
Q9Y5A6,1.0
Q8NDW4,0.8888888888888888
P00558,0.0
Q13643,0.375
Q13642,0.625
Q13641,0.9090909090909091
Q9Y5A9,0.5
P40306,0.4
Q9NS40,0.4
Q9HCE1,0.0
B4DI54,0.75
O94760,0.0
P21217,0.5
A6NH00,0.75
Q9BQ15,0.0
Q8TCC7,0.7777777777777778
Q8NH01,0.7777777777777778
Q96CN9,0.75
Q8NH00,0.7777777777777778
Q7L985,0.9
Q96CN7,1.0
Q08380,0.9
Q96N77,1.0
Q96CN4,1.0
O15068,0.7
Q5RKV6,0.7
Q9BXJ5,0.45454545454545453
Q03181,0.3333333333333333
O15062,1.0
Q9H6R6,0.6
P10646,1.0
Q9H6R0,0.5
O15066,1.0
P60891,0.0
Q9H6R3,1.0
Q8NAP8,1.0
P07093,0.625
Q8NAP3,1.0
Q8NAP1,0.5
P07098,0.1111111111111111
P16422,0.3333333333333333
Q9NZM1,0.16666666666666666
Q5T6X5,0.0
Q01968,0.5
Q14CS0,0.4
A6NNZ2,1.0
Q9BXJ2,0.45454545454545453
F5H3Z2,1.0
