,mean,variance,outliers
Q8TEA1,28.5384615385,92.2692307692,
A6NIH7,21.4615384615,25.7692307692,
Q96HJ5,3.23076923077,18.1923076923,PANTHER8_all
O94913,7.07692307692,25.2435897436,Hieranoid_2
P37837,18.2307692308,47.858974359,
A4IF30,6.0,35.6666666667,
Q7RTZ2,13.2307692308,175.025641026,
Q96EG1,17.5384615385,343.269230769,
P06858,4.30769230769,42.8974358974,Hieranoid_2
Q6ZMU5,7.30769230769,197.564102564,PANTHER8_all
Q8WXA2,0.769230769231,2.19230769231,
Q709C8,12.0,49.6666666667,InParanoidCore
O95672,24.0,472.0,
Q6ZS30,14.6153846154,54.2564102564,
O00299,14.1538461538,119.641025641,
Q8NGN4,2.0,4.33333333333,PANTHER8_all
Q8NEP4,1.76923076923,0.192307692308,
Q7Z5G4,4.61538461538,22.7564102564,PhylomeDB
Q16600,7.53846153846,90.6025641026,Hieranoid_2
P84022,3.53846153846,3.10256410256,
P61925,1.07692307692,2.91025641026,
Q8N9G6,3.23076923077,59.6923076923,PANTHER8_all
P49368,11.2307692308,102.192307692,
P05091,27.6153846154,223.58974359,
Q8N1N0,8.0,117.0,
P23759,7.07692307692,33.7435897436,PhylomeDB
Q9HCG1,7.69230769231,87.0641025641,Hieranoid_2
Q6IF42,2.92307692308,14.2435897436,RSD
P59539,2.53846153846,11.2692307692,PhylomeDB
P0DJD8,10.0769230769,95.7435897436,
Q02818,5.53846153846,31.7692307692,PANTHER8_all
Q8N7C7,16.6923076923,157.564102564,
O95433,10.8461538462,90.3076923077,PANTHER8_LDO PANTHER8_all
Q9H7U1,3.76923076923,0.692307692308,
ENSP00000407807,1.30769230769,0.730769230769,
Q15465,7.46153846154,31.2692307692,PANTHER8_LDO PANTHER8_all
Q9Y421,11.6153846154,13.4230769231,
Q5T215,8.53846153846,83.1025641026,RSD
P01615,6.69230769231,69.3974358974,PhylomeDB
Q6P2D0,5.92307692308,67.9102564103,Hieranoid_2
Q8NEV9,1.0,0.0,
Q9NQ75,2.92307692308,14.7435897436,Metaphors
Q96KR6,12.7692307692,56.0256410256,OMA_Pairs
Q6ZMB5,16.6153846154,41.4230769231,
ENSP00000398703,4.0,75.6666666667,Metaphors
P43005,29.9230769231,364.243589744,
Q7Z5H5,3.30769230769,2.5641025641,
Q9BXT2,3.53846153846,3.26923076923,
Q96HA4,2.69230769231,2.23076923077,
Q5THK1,2.69230769231,3.23076923077,
Q6NXP0,6.07692307692,5.07692307692,
Q8NA03,12.1538461538,32.4743589744,PhylomeDB
Q9UM44,5.92307692308,4.91025641026,PANTHER8_all
A3KN83,25.0769230769,352.41025641,
Q8N944,0.923076923077,0.576923076923,
Q9BXW3,0.307692307692,0.230769230769,
P48551,2.07692307692,0.74358974359,
Q9UNN4,13.4615384615,58.1025641026,
P35663,8.46153846154,231.769230769,EnsemblCompara_v2
Q6A1A2,16.3846153846,293.08974359,
Q5M9Q1,14.0769230769,66.2435897436,InParanoidCore
