,Cellular_organisms,Euk_Archaea,Euk+Bac,Eukaryota,Opisthokonta,Dikarya,Ascomycota,Saccharomyceta,modeAge,NumDBsContributing,NumDBsFiltered,entropy,NodeError,Bimodality,HGT_flag
A9JTZ2,0.615384615385,0.0,0.153846153846,0.0769230769231,0.0,0.0769230769231,0.0,0.0769230769231,Cellular_organisms,13,0,1.17865499634,2.35897435897,-0.261904761905,False
A9JTZ9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Saccharomyceta,1,0,-0.0,None,,False
A9JVQ4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Saccharomyceta,9,0,-0.0,0.0,0.0,False
A9JX15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Saccharomyceta,2,0,-0.0,0.0,,False
A9JX17,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.2,Eukaryota,5,1,0.950270539233,4.2,0.33333333333299997,False
A9JX26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Saccharomyceta,1,0,-0.0,None,,False
A9JX33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Saccharomyceta,5,1,-0.0,2.26666666667,1.0,False
A9JX40,0.0909090909091,0.0,0.272727272727,0.45454545454499995,0.181818181818,0.0,0.0,0.0,Eukaryota,11,0,1.2406842919499999,2.18181818182,0.04,False
A9JX43,0.0,0.0,0.28571428571400004,0.0,0.5714285714289999,0.0,0.0,0.14285714285700002,Opisthokonta,7,0,0.955699891113,3.2380952381,1.45454545455,False
A9JX44,0.0,0.0,0.14285714285700002,0.0,0.8571428571430001,0.0,0.0,0.0,Opisthokonta,7,1,0.410116318288,2.14285714286,0.833333333333,False
A9JX46,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Dikarya,1,0,-0.0,None,,False
A9JX47,0.0,0.909090909091,0.0,0.0,0.0,0.0,0.0909090909091,0.0,Euk_Archaea,11,0,0.304636097349,1.09090909091,0.24,False
A9JX51,0.0,0.0,0.0,0.615384615385,0.23076923076900002,0.0769230769231,0.0769230769231,0.0,Eukaryota,13,0,1.03176711135,1.84615384615,0.33333333333299997,False
A9JX57,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,1,1,-0.0,2.0,,False
A9JX73,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,Dikarya,12,1,0.562335144619,0.846153846154,-0.0793650793651,False
A9JX83,0.0909090909091,0.0,0.0909090909091,0.272727272727,0.363636363636,0.0909090909091,0.0,0.0909090909091,Opisthokonta,11,0,1.59416669912,2.90909090909,0.2,False
