,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RSD,EggNOG,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,Avg,HGT_flag
Q8TEA1,37,24,19,17,22,33,20,38,16,25,39,40,41,28.53846153846154,True
A6NIH7,10,27,26,12,22,23,21,22,21,26,22,22,25,21.46153846153846,False
Q96HJ5,1,1,1,0,1,1,1,1,5,4,16,5,5,2.1666666666666665,False
O94913,10,7,1,6,8,2,8,5,20,5,8,11,1,6.0,False
P37837,18,25,29,26,4,12,22,15,25,14,15,17,15,18.23076923076923,False
A4IF30,0,6,0,0,0,15,2,2,14,15,5,9,10,6.0,False
Q7RTZ2,1,1,38,1,1,1,1,22,24,26,9,22,25,13.23076923076923,False
Q96EG1,10,2,10,2,9,9,9,50,10,1,49,48,19,17.53846153846154,False
P06858,0,1,0,5,0,6,4,1,24,9,2,4,0,2.6666666666666665,False
Q6ZMU5,0,0,0,0,1,1,1,1,25,2,48,8,8,3.9166666666666665,False
Q8WXA2,0,0,0,0,0,0,1,0,0,0,4,1,4,0.7692307692307693,False
Q709C8,10,27,12,18,4,18,6,6,13,20,9,3,10,10.75,False
O95672,2,2,2,1,1,51,2,42,42,46,38,41,42,24.0,False
Q6ZS30,5,24,9,24,9,22,19,17,9,1,18,18,15,14.615384615384615,False
O00299,3,3,24,2,2,24,2,20,16,19,36,17,16,14.153846153846153,False
Q8NGN4,0,0,1,0,2,2,1,0,4,2,7,3,4,1.5833333333333333,False
Q8NEP4,2,2,2,2,1,2,1,2,2,2,1,2,2,1.7692307692307692,False
Q7Z5G4,2,6,0,0,4,14,0,3,4,4,4,4,15,3.75,False
Q16600,3,3,3,3,3,2,1,2,32,1,21,15,9,5.5,False
P84022,3,3,2,1,3,6,4,7,3,6,3,2,3,3.5384615384615383,False
P61925,0,0,0,0,4,0,3,0,0,0,4,3,0,1.0769230769230769,False
Q8N9G6,0,0,0,0,0,0,1,0,0,3,28,3,7,1.1666666666666667,False
P49368,11,30,16,7,3,26,27,4,3,2,6,6,5,11.23076923076923,False
P05091,7,42,44,48,1,31,26,20,20,45,23,36,16,27.615384615384617,True
Q8N1N0,0,0,0,0,2,27,1,0,28,10,5,23,8,8.0,False
P23759,3,4,2,2,4,8,7,4,4,4,17,14,19,6.083333333333333,False
Q9HCG1,0,1,10,0,2,1,1,1,28,4,16,17,19,6.0,False
Q6IF42,2,2,1,2,1,15,1,2,5,2,2,2,1,1.9166666666666667,False
P59539,0,0,0,0,0,2,1,4,3,5,2,4,12,1.75,False
P0DJD8,1,1,1,1,5,4,14,13,26,5,10,23,27,10.076923076923077,False
Q02818,1,9,0,2,1,7,3,3,3,8,20,12,3,4.333333333333333,False
Q8N7C7,3,3,10,12,3,29,1,16,34,27,37,19,23,16.692307692307693,False
O95433,3,9,12,15,31,5,7,5,6,6,31,6,5,7.181818181818182,False
Q9H7U1,4,4,1,4,4,4,4,4,4,4,4,4,4,3.769230769230769,False
ENSP00000407807,1,1,1,1,1,1,1,1,1,1,1,2,4,1.3076923076923077,False
Q15465,4,8,3,9,19,5,3,4,6,9,19,2,6,5.363636363636363,False
Q9Y421,12,8,18,17,10,12,7,6,10,12,10,14,15,11.615384615384615,False
Q5T215,0,0,22,0,0,30,8,12,12,11,4,6,6,6.75,False
P01615,1,1,10,1,1,1,1,5,5,5,21,8,27,5.0,False
Q6P2D0,0,0,0,0,12,0,1,0,28,10,12,7,7,4.083333333333333,False
Q8NEV9,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,False
Q9NQ75,1,1,1,1,1,1,1,1,1,7,3,14,5,2.0,False
Q96KR6,17,3,0,28,7,15,11,14,18,17,5,15,16,11.5,False
Q6ZMB5,0,19,22,19,22,18,21,9,12,15,22,21,16,16.615384615384617,False
ENSP00000398703,1,1,1,1,1,1,1,1,1,1,1,32,9,1.6666666666666667,False
P43005,0,50,50,5,0,46,42,30,11,34,37,46,38,29.923076923076923,True
Q7Z5H5,3,1,5,4,2,2,1,2,5,6,4,4,4,3.3076923076923075,False
Q9BXT2,3,3,4,0,7,3,3,3,3,3,7,3,4,3.5384615384615383,False
Q96HA4,5,5,3,3,1,2,1,2,5,2,1,2,3,2.6923076923076925,False
Q5THK1,3,3,3,3,6,1,1,0,3,1,6,2,3,2.6923076923076925,False
Q6NXP0,7,7,7,7,1,7,7,7,7,7,1,7,7,6.076923076923077,False
Q8NA03,11,11,13,13,11,10,5,11,11,11,11,10,30,10.666666666666666,False
Q9UM44,6,5,6,7,5,4,3,3,6,6,11,6,9,5.5,False
A3KN83,5,19,6,4,47,47,4,43,17,50,47,19,18,25.076923076923077,True
Q8N944,1,1,1,1,1,0,1,0,1,3,1,0,1,0.9230769230769231,False
Q9BXW3,0,0,0,0,1,0,1,0,0,0,1,0,1,0.3076923076923077,False
P48551,1,1,2,2,2,3,1,1,3,3,2,3,3,2.076923076923077,False
Q9UNN4,4,20,5,4,3,18,20,21,14,25,9,18,14,13.461538461538462,False
P35663,1,1,1,26,1,1,1,1,1,49,1,25,1,5.083333333333333,False
Q6A1A2,1,1,32,31,1,48,6,15,46,15,4,9,4,16.384615384615383,False
Q5M9Q1,2,31,10,10,18,24,9,11,16,18,18,14,2,12.666666666666666,False
P14635,1,24,1,24,1,19,8,5,6,24,5,9,5,10.153846153846153,False
Q13304,2,2,2,2,2,2,2,2,2,2,9,6,6,2.6666666666666665,False
