,Cellular_organisms,Euk_Archaea,Euk+Bac,Eukaryota,Opisthokonta,Dikarya,Ascomycota,Saccharomyceta,modeAge,NumDBsContributing,NumDBsFiltered,entropy,NodeError,Bimodality,HGT_flag
B5FVA8,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,Opisthokonta,4,1,0.6931471805600001,2.6,-1.4166666666699999,False
B5FVB0,0.0,0.0,0.0769230769231,0.923076923077,0.0,0.0,0.0,0.0,Eukaryota,13,0,0.271189373042,0.307692307692,-0.047619047619,False
B5FVB1,0.0,0.833333333333,0.0,0.166666666667,0.0,0.0,0.0,0.0,Euk_Archaea,12,0,0.45056120886600004,0.606060606061,0.41290322580600003,False
B5FVB2,0.0,0.0,0.0,0.272727272727,0.363636363636,0.0,0.0,0.363636363636,Opisthokonta,11,0,1.09005965871,2.76363636364,-0.433333333333,False
B5FVB3,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.875,Saccharomyceta,8,0,0.37677016125600005,0.75,0.0,False
B5FVB4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Saccharomyceta,1,0,-0.0,None,,False
B5FVB5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,Saccharomyceta,5,0,0.6730116670090001,0.6,0.166666666667,False
B5FVB6,0.181818181818,0.0909090909091,0.0,0.363636363636,0.0909090909091,0.0909090909091,0.0909090909091,0.0909090909091,Eukaryota,11,0,1.76776147229,3.2,-0.513333333333,False
B5FVB7,0.0,0.0,0.0,0.833333333333,0.166666666667,0.0,0.0,0.0,Eukaryota,12,1,0.45056120886600004,1.66666666667,-0.154761904762,False
B5FVB8,0.0,0.0,0.0,0.153846153846,0.0,0.307692307692,0.0769230769231,0.46153846153800004,Saccharomyceta,13,0,1.2047933096899999,2.38461538462,-0.162698412698,False
B5FVB9,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,Opisthokonta,6,0,0.6931471805600001,1.46666666667,0.07142857142860001,False
B5FVC3,0.0,0.0,0.0,0.444444444444,0.111111111111,0.0,0.0,0.444444444444,Saccharomyceta,9,0,0.9649629230069999,3.16666666667,0.33333333333299997,False
B5FVC4,0.0,0.0,0.0,0.0,0.5,0.125,0.0,0.375,Opisthokonta,8,0,0.9743147528689999,1.64285714286,-0.25,False
B5FVC6,0.0,0.0,0.111111111111,0.111111111111,0.222222222222,0.111111111111,0.111111111111,0.33333333333299997,Saccharomyceta,9,1,1.6769877743200001,3.91111111111,-0.7,False
B5FVC7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,12,1,-0.0,0.0,0.0,False
B5FVD0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Saccharomyceta,3,0,-0.0,0.0,0.0,False
B5FVD3,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2,Dikarya,10,2,0.500402423538,0.909090909091,-0.11059907834100001,False
B5FVD5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Saccharomyceta,1,0,-0.0,None,,False
B5FVD6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cellular_organisms,13,0,-0.0,0.0,0.0,False
B5FVD7,0.0,0.0,0.0,0.916666666667,0.08333333333330001,0.0,0.0,0.0,Eukaryota,12,1,0.286835983056,0.589743589744,0.011904761904799999,False
B5FVD9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Saccharomyceta,2,0,-0.0,0.0,,False
B5FVE0,0.0,0.583333333333,0.0,0.33333333333299997,0.0,0.0,0.0,0.08333333333330001,Euk_Archaea,12,1,0.887694275799,1.66666666667,0.0515873015873,False
B5FVE1,0.0,0.0,0.0,0.833333333333,0.0,0.08333333333330001,0.0,0.08333333333330001,Eukaryota,12,1,0.56608573896,1.69230769231,-0.261904761905,False
B5FVE3,0.0,0.181818181818,0.0,0.8181818181820001,0.0,0.0,0.0,0.0,Eukaryota,11,1,0.474139313058,0.833333333333,-0.131797235023,False
B5FVE5,0.0,0.0,0.0,0.08333333333330001,0.666666666667,0.08333333333330001,0.0,0.166666666667,Opisthokonta,12,0,0.983087758575,1.34848484848,-0.255299539171,False
B5FVE6,0.0,0.0,0.0,0.111111111111,0.0,0.555555555556,0.33333333333299997,0.0,Dikarya,9,1,0.9368883075390001,1.73333333333,-0.14285714285700002,False
B5FVE7,0.0,0.583333333333,0.0,0.416666666667,0.0,0.0,0.0,0.0,Euk_Archaea,12,1,0.6791932659919999,0.820512820513,0.0277777777778,False
B5FVE8,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,Euk+Bac,10,0,0.325082973391,0.8,0.0,True
B5FVE9,0.0,0.0,0.0,0.14285714285700002,0.8571428571430001,0.0,0.0,0.0,Opisthokonta,7,0,0.410116318288,0.571428571429,-0.166666666667,False
B5FVF1,0.0,0.0,0.923076923077,0.0,0.0769230769231,0.0,0.0,0.0,Euk+Bac,13,0,0.271189373042,0.769230769231,0.138888888889,True
B5FVF3,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.3,Dikarya,10,0,0.610864302055,0.933333333333,0.14285714285700002,False
B5FVF4,0.0,0.0,0.0,0.916666666667,0.0,0.0,0.0,0.08333333333330001,Eukaryota,12,1,0.286835983056,1.74358974359,0.0396825396825,False
B5FVF5,0.0,0.0,0.8,0.0,0.1,0.0,0.0,0.1,Euk+Bac,10,0,0.6390318596500001,2.37777777778,-0.452380952381,True
B5FVF6,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,Saccharomyceta,10,1,0.500402423538,1.23636363636,-0.22666666666700003,False
B5FVF8,0.0,0.0,0.0,0.833333333333,0.08333333333330001,0.0,0.0,0.08333333333330001,Eukaryota,12,1,0.56608573896,1.30769230769,-0.20238095238099998,False
B5FVF9,0.0,0.0,0.0,0.923076923077,0.0769230769231,0.0,0.0,0.0,Eukaryota,13,0,0.271189373042,0.769230769231,0.138888888889,False
B5FVG0,0.0,0.0,0.0,0.6,0.2,0.0,0.2,0.0,Eukaryota,10,0,0.950270539233,2.31111111111,-0.52,False
B5FVG1,0.0,0.0,0.0,0.833333333333,0.08333333333330001,0.0,0.0,0.08333333333330001,Eukaryota,12,0,0.56608573896,1.51515151515,0.05898617511519999,False
B5FVG3,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,Dikarya,10,0,0.6931471805600001,1.11111111111,1.1904761904799999,False
B5FVG4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,11,2,-0.0,0.0,0.0,False
B5FVG5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Saccharomyceta,9,0,-0.0,0.0,0.0,False
B5FVG6,0.38461538461499994,0.153846153846,0.0,0.46153846153800004,0.0,0.0,0.0,0.0,Eukaryota,13,0,1.0123308390999999,1.33333333333,-0.0515873015873,False
B5FVG7,0.0,0.0,0.0,0.7,0.2,0.0,0.0,0.1,Eukaryota,10,0,0.8018185525429999,2.06666666667,0.392857142857,False
B5FVG8,0.0,0.583333333333,0.0,0.416666666667,0.0,0.0,0.0,0.0,Euk_Archaea,12,1,0.6791932659919999,0.512820512821,-0.0793650793651,False
B5FVG9,0.0,0.0,0.0,0.8181818181820001,0.0,0.0909090909091,0.0909090909091,0.0,Eukaryota,11,0,0.60016607316,1.85454545455,-0.266666666667,False
B5FVH1,0.0,0.0,0.0,0.125,0.0,0.0,0.625,0.25,Ascomycota,8,1,0.900256051269,2.33333333333,0.375,False
B5FVH6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Saccharomyceta,7,1,-0.0,1.42857142857,0.416666666667,False
B5FVH7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Saccharomyceta,7,0,-0.0,0.0,0.0,False
B5FVH8,0.0,0.0,0.0,0.545454545455,0.272727272727,0.0909090909091,0.0,0.0909090909091,Eukaryota,11,2,1.12095039267,2.5641025641,0.222222222222,False
B5FVH9,0.0,0.0,0.0,0.923076923077,0.0769230769231,0.0,0.0,0.0,Eukaryota,13,0,0.271189373042,0.307692307692,0.0555555555556,False
B5FVI0,0.0,0.166666666667,0.0,0.833333333333,0.0,0.0,0.0,0.0,Eukaryota,12,1,0.45056120886600004,1.05128205128,0.0952380952381,False
B5FVI1,0.25,0.0,0.0,0.416666666667,0.08333333333330001,0.166666666667,0.08333333333330001,0.0,Eukaryota,12,1,1.4241299173500002,2.89743589744,0.9960317460320001,False
B5RSJ5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,Saccharomyceta,5,0,0.500402423538,0.4,-0.166666666667,False
B5RSJ9,0.0,0.0,0.0,0.615384615385,0.153846153846,0.23076923076900002,0.0,0.0,Eukaryota,13,0,0.925129083572,1.94871794872,-0.14682539682499998,False
B5RSK1,0.0,0.0,0.0,0.416666666667,0.583333333333,0.0,0.0,0.0,Opisthokonta,12,1,0.6791932659919999,0.512820512821,-0.0793650793651,False
B5RSK2,0.0,0.0,0.0,0.0,0.28571428571400004,0.0,0.5714285714289999,0.14285714285700002,Ascomycota,7,1,0.955699891113,1.32142857143,-0.166666666667,False
B5RSK3,0.0,0.0,0.0,0.3,0.0,0.4,0.0,0.3,Dikarya,10,0,1.08889997535,2.33333333333,0.0,False
B5RSK4,0.0,0.0,0.0,0.46153846153800004,0.0769230769231,0.38461538461499994,0.0,0.0769230769231,Eukaryota,13,0,1.11896886688,1.92307692308,0.0634920634921,False
B5RSK6,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.2,Ascomycota,10,0,1.02965301406,0.822222222222,0.380952380952,False
B5RSK7,0.0,0.0,0.0,0.0,0.0,0.5,0.375,0.125,Dikarya,8,0,0.9743147528689999,0.821428571429,-0.166666666667,False
B5RSK8,0.0,0.0,0.0,0.416666666667,0.33333333333299997,0.0,0.0,0.25,Eukaryota,12,0,1.07755632707,2.22727272727,-0.255555555556,False
B5RSL1,0.0,0.0,0.0,0.846153846154,0.153846153846,0.0,0.0,0.0,Eukaryota,13,0,0.42932302193099997,0.846153846154,-0.130952380952,False
B5RSL5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,12,1,-0.0,0.538461538462,-0.08333333333330001,False
B5RSL6,0.166666666667,0.0,0.75,0.0,0.08333333333330001,0.0,0.0,0.0,Euk+Bac,12,0,0.7214636866930001,0.833333333333,-0.253456221198,True
B5RSL7,0.0,0.0,0.0,0.4,0.2,0.2,0.0,0.2,Eukaryota,10,0,1.33217904021,2.31111111111,-0.309523809524,False
B5RSL8,0.0,0.0,0.0,0.916666666667,0.08333333333330001,0.0,0.0,0.0,Eukaryota,12,1,0.286835983056,1.51282051282,-0.130952380952,False
B5RSL9,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.625,Saccharomyceta,8,0,0.661563238158,2.14285714286,-0.33333333333299997,False
B5RSM1,0.0,0.0,0.0,0.636363636364,0.0909090909091,0.0,0.0,0.272727272727,Eukaryota,11,0,0.859967281036,3.12727272727,-0.5,False
B5RSM2,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.125,Eukaryota,8,1,0.37677016125600005,1.5,0.225,False
B5RSM3,0.0,0.0,0.0,0.0,0.0,0.0,0.222222222222,0.777777777778,Saccharomyceta,9,1,0.529706199058,1.26666666667,-0.214285714286,False
B5RSM4,0.0,0.0,0.0,0.0,0.0,0.0,0.666666666667,0.33333333333299997,Ascomycota,9,1,0.636514168295,1.93333333333,-0.214285714286,False
B5RSM5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Saccharomyceta,7,0,-0.0,0.571428571429,0.0277777777778,False
B5RSM6,0.0,0.272727272727,0.0,0.545454545455,0.0,0.181818181818,0.0,0.0,Eukaryota,11,2,0.994923632572,1.76923076923,0.34523809523800003,False
B5RSM7,0.0,0.0,0.0,0.45454545454499995,0.272727272727,0.0,0.181818181818,0.0909090909091,Eukaryota,11,0,1.2406842919499999,2.14545454545,-0.173333333333,False
B5RSM8,0.0,0.0,0.0,0.615384615385,0.153846153846,0.0,0.0,0.23076923076900002,Eukaryota,13,0,0.925129083572,2.5641025641,-0.190476190476,False
B5U8Q6,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.375,Dikarya,8,2,0.661563238158,1.28888888889,0.0952380952381,False
O43108,0.538461538462,0.0,0.0769230769231,0.307692307692,0.0769230769231,0.0,0.0,0.0,Cellular_organisms,13,0,1.09059947378,1.84615384615,0.17857142857099997,False
O59949,0.5,0.33333333333299997,0.0,0.08333333333330001,0.0,0.08333333333330001,0.0,0.0,Cellular_organisms,12,1,1.1269287948,1.4358974359,-0.170634920635,False
O59950,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Euk_Archaea,13,0,-0.0,0.0,0.0,False
O74128,0.222222222222,0.0,0.111111111111,0.555555555556,0.0,0.111111111111,0.0,0.0,Eukaryota,9,0,1.1490596969700002,2.16666666667,-0.7402597402600001,False
O74129,0.1,0.0,0.1,0.5,0.1,0.1,0.0,0.1,Eukaryota,10,0,1.4978661367800001,3.02222222222,0.761904761905,False
O74130,0.0,0.0,0.0,0.5,0.33333333333299997,0.166666666667,0.0,0.0,Eukaryota,12,1,1.0114042647100001,1.92307692308,0.424603174603,False
O74131,0.1,0.0,0.2,0.5,0.1,0.1,0.0,0.0,Eukaryota,10,0,1.35923670067,2.48888888889,-0.380952380952,False
O74132,0.0909090909091,0.0,0.0909090909091,0.545454545455,0.181818181818,0.0909090909091,0.0,0.0,Eukaryota,11,0,1.29454516584,2.25454545455,-0.154761904762,False
O74133,0.1,0.0,0.1,0.6,0.1,0.1,0.0,0.0,Eukaryota,10,0,1.22752941146,2.26666666667,-0.14285714285700002,False
O74134,0.1,0.0,0.1,0.6,0.0,0.1,0.0,0.1,Eukaryota,10,0,1.22752941146,2.91111111111,0.011904761904799999,False
O74932,0.0,0.0,0.923076923077,0.0,0.0,0.0769230769231,0.0,0.0,Euk+Bac,13,0,0.271189373042,0.923076923077,0.166666666667,True
O74934,0.0,0.0,0.666666666667,0.222222222222,0.0,0.111111111111,0.0,0.0,Euk+Bac,9,0,0.848685557726,2.33333333333,1.67532467532,False
O74935,0.0,0.0,0.545454545455,0.181818181818,0.0909090909091,0.181818181818,0.0,0.0,Euk+Bac,11,0,1.16851840574,2.90909090909,2.3677248677200002,False
O74936,0.0,0.0,0.545454545455,0.0,0.181818181818,0.0909090909091,0.0,0.181818181818,Euk+Bac,11,0,1.16851840574,4.14545454545,4.3597883597900005,False
O74937,0.0,0.0,0.6,0.0,0.2,0.1,0.0,0.1,Euk+Bac,10,0,1.08889997535,3.62222222222,3.83333333333,False
O74938,0.0,0.0,0.6,0.1,0.1,0.2,0.0,0.0,Euk+Bac,10,0,1.08889997535,2.88888888889,2.4404761904799996,False
O74996,0.0,0.0,0.692307692308,0.153846153846,0.0769230769231,0.0769230769231,0.0,0.0,Euk+Bac,13,0,0.937155853066,2.10256410256,1.5833333333300001,False
P09230,0.222222222222,0.0,0.555555555556,0.0,0.0,0.0,0.0,0.222222222222,Euk+Bac,9,0,0.99502699018,3.33333333333,4.66666666667,False
P09379,0.0,0.0,0.0,0.833333333333,0.0,0.166666666667,0.0,0.0,Eukaryota,12,1,0.45056120886600004,1.23076923077,0.325396825397,False
P0C0R1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,Ascomycota,10,0,0.325082973391,0.4,-0.14285714285700002,False
P0C8L8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,1,1,-0.0,2.0,,False
P18120,0.0769230769231,0.0,0.769230769231,0.0,0.153846153846,0.0,0.0,0.0,Euk+Bac,13,0,0.6870920273800001,1.41025641026,0.0396825396825,False
P29407,0.846153846154,0.0,0.0,0.153846153846,0.0,0.0,0.0,0.0,Cellular_organisms,13,0,0.42932302193099997,0.564102564103,-0.0873015873016,False
P30614,0.923076923077,0.0,0.0,0.0769230769231,0.0,0.0,0.0,0.0,Cellular_organisms,13,0,0.271189373042,0.461538461538,0.08333333333330001,False
P30887,0.375,0.0,0.0,0.0,0.0,0.625,0.0,0.0,Dikarya,8,1,0.661563238158,3.33333333333,-0.545454545455,False
P34229,0.0,0.0,0.615384615385,0.0769230769231,0.0,0.307692307692,0.0,0.0,Euk+Bac,13,0,0.8587409130060001,2.87179487179,0.277777777778,False
P36966,0.08333333333330001,0.08333333333330001,0.0,0.75,0.0,0.0,0.0,0.08333333333330001,Eukaryota,12,1,0.836988216786,2.10256410256,0.5,False
P38997,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0,Opisthokonta,12,1,0.562335144619,1.20512820513,0.0198412698413,False
P41555,0.38461538461499994,0.0,0.307692307692,0.307692307692,0.0,0.0,0.0,0.0,Cellular_organisms,13,0,1.0928305535299998,1.38461538462,0.25,True
P41922,0.0,0.25,0.0,0.25,0.0,0.166666666667,0.166666666667,0.166666666667,Eukaryota,12,1,1.5890269151700003,3.12820512821,-0.22619047619000002,False
P41923,0.538461538462,0.0,0.38461538461499994,0.0769230769231,0.0,0.0,0.0,0.0,Cellular_organisms,13,0,0.898137003188,0.461538461538,-0.07142857142860001,True
