,Cellular_organisms,Euk_Archaea,Euk+Bac,Eukaryota,Opisthokonta,Eumetazoa,Vertebrata,modeAge,NumDBsContributing,NumDBsFiltered,entropy,NodeError,Bimodality,HGT_flag
A0A0A0MQ52,0.0,0.33333333333299997,0.0,0.666666666667,0.0,0.0,0.0,Eukaryota,9,1,0.636514168295,1.2,0.107142857143,False
A0A0B4J1C8,0.0,0.0,0.0,0.0,0.0,0.615384615385,0.38461538461499994,Eumetazoa,13,0,0.666278442415,1.48717948718,0.0277777777778,False
A0A547,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Cellular_organisms,1,1,-0.0,0.0,,False
A0AMH0,0.0,0.0,0.0,0.0,0.0,0.875,0.125,Eumetazoa,8,0,0.37677016125600005,1.53571428571,-0.29230769230799997,False
A0AVX7,0.0,0.0,0.0,0.8,0.0,0.0,0.2,Eukaryota,5,8,0.500402423538,4.71794871795,2.3650793650799997,False
A0FJX2,0.0,0.0,0.0,0.5,0.0,0.5,0.0,Eumetazoa,2,1,0.6931471805600001,2.66666666667,4.0,False
A0FJX3,0.0,0.0,0.0,0.5,0.0,0.0,0.5,Vertebrata,2,1,0.6931471805600001,5.33333333333,8.0,False
A0FK59,0.0,0.0,0.0,0.0,0.0,0.75,0.25,Eumetazoa,12,1,0.562335144619,2.28205128205,0.162698412698,False
A0FK60,0.0,0.0,0.0,0.0,0.0,0.33333333333299997,0.666666666667,Vertebrata,12,1,0.636514168295,1.87179487179,0.22619047619000002,False
A0FKC7,0.0,0.0,0.0,0.0,0.0,0.222222222222,0.777777777778,Vertebrata,9,1,0.529706199058,2.73333333333,-0.12,False
A0FKN5,0.46153846153800004,0.0,0.153846153846,0.0,0.0,0.23076923076900002,0.153846153846,Cellular_organisms,13,0,1.27118148026,4.89743589744,0.222222222222,False
A0M8T7,0.0,0.0,0.0,0.0,0.0,0.5714285714289999,0.428571428571,Eumetazoa,7,6,0.6829081047,1.84615384615,0.9523809523810001,False
A0M8U1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Eumetazoa,13,0,-0.0,0.666666666667,0.103174603175,False
A0M8U2,0.0,0.0,0.0,0.0,0.0,0.363636363636,0.636363636364,Vertebrata,11,0,0.655481773901,3.05454545455,3.25333333333,False
A0M8U3,0.0,0.0,0.0,0.08333333333330001,0.166666666667,0.666666666667,0.08333333333330001,Eumetazoa,12,1,0.983087758575,2.82051282051,0.130952380952,False
A0M8U4,0.125,0.125,0.0,0.25,0.0,0.0,0.5,Vertebrata,8,5,1.21300756598,5.15384615385,0.492063492063,False
A0M8U5,0.0,0.0,0.0,0.25,0.08333333333330001,0.166666666667,0.5,Vertebrata,12,1,1.1988493129100002,5.0,-0.154761904762,False
A0MAR5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Vertebrata,10,0,-0.0,0.0,0.0,False
A0MAR6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Vertebrata,1,1,-0.0,0.0,,False
A0PFW5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Vertebrata,9,4,-0.0,1.02564102564,-0.0555555555556,False
A0SVH2,0.0,0.0,0.0,0.0,0.5,0.5,0.0,Opisthokonta,6,6,0.6931471805600001,3.12121212121,2.78888888889,False
A0ZPS0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Eumetazoa,9,4,-0.0,1.76923076923,0.861111111111,False
