,Cellular_organisms,Euk_Archaea,Euk+Bac,Eukaryota,Opisthokonta,modeAge,NumDBsContributing,NumDBsFiltered,entropy,NodeError,Bimodality,HGT_flag
A9UNI4,0.0,0.0,0.0,1.0,0.0,Eukaryota,11,1,-0.0,0.575757575758,0.2,False
A9UNI5,0.0,0.0,0.0,0.583333333333,0.416666666667,Eukaryota,12,1,0.6791932659919999,1.87179487179,-0.08333333333330001,False
A9UNI6,0.166666666667,0.0,0.25,0.33333333333299997,0.25,Eukaryota,12,1,1.35797785499,2.58974358974,0.992063492063,False
A9UNI7,0.0,0.0,0.0,0.33333333333299997,0.666666666667,Opisthokonta,6,0,0.636514168295,1.6,-0.214285714286,False
A9UNI8,0.0,0.0,0.0,0.33333333333299997,0.666666666667,Opisthokonta,6,0,0.636514168295,1.93333333333,1.0,False
A9UNI9,0.0,0.0,0.0,0.9,0.1,Eukaryota,10,1,0.325082973391,0.690909090909,0.24,False
A9UNJ0,0.0,0.0,0.0,0.4,0.6,Opisthokonta,10,1,0.6730116670090001,1.41818181818,0.603174603175,False
A9UNJ1,0.0,0.181818181818,0.0,0.8181818181820001,0.0,Eukaryota,11,1,0.474139313058,1.16666666667,0.131797235023,False
A9UNJ2,0.0,0.0,0.0,1.0,0.0,Eukaryota,12,1,-0.0,0.820512820513,-0.07539682539680001,False
A9UNJ3,0.0,0.0,0.0,0.666666666667,0.33333333333299997,Eukaryota,9,0,0.636514168295,1.38888888889,-0.3125,False
A9UNJ4,0.25,0.0,0.166666666667,0.583333333333,0.0,Eukaryota,12,1,0.9596147939120001,1.07692307692,-0.166666666667,False
A9UNJ6,0.0,0.0,0.0,0.9,0.1,Eukaryota,10,0,0.325082973391,0.955555555556,-0.08,False
A9UNJ7,0.666666666667,0.0,0.08333333333330001,0.25,0.0,Cellular_organisms,12,0,0.8239592165009999,1.28787878788,0.46666666666699996,False
A9UNJ8,0.0,0.0,0.0,0.777777777778,0.222222222222,Eukaryota,9,0,0.529706199058,1.38888888889,-0.0875,False
A9UNJ9,0.0,0.0,0.0,1.0,0.0,Eukaryota,12,1,-0.0,0.461538461538,-0.07142857142860001,False
A9UNK1,0.0,0.0,0.0,1.0,0.0,Eukaryota,13,0,-0.0,0.384615384615,-0.05952380952380001,False
A9UNK2,0.08333333333330001,0.0,0.5,0.08333333333330001,0.33333333333299997,Euk+Bac,12,0,1.1269287948,2.86363636364,-0.18888888888900002,True
A9UNK4,0.0,0.0,0.0,0.923076923077,0.0769230769231,Eukaryota,13,0,0.271189373042,0.74358974359,0.19444444444400003,False
A9UNK7,0.0,0.0,0.0,0.38461538461499994,0.615384615385,Opisthokonta,13,0,0.666278442415,2.02564102564,0.357142857143,False
A9UNK8,0.0,0.0,0.0,0.666666666667,0.33333333333299997,Eukaryota,3,0,0.636514168295,2.66666666667,-2.0,False
A9UNK9,0.0,0.0,0.692307692308,0.0,0.307692307692,Euk+Bac,13,0,0.61724176973,2.30769230769,-0.357142857143,True
A9UNL1,0.0,0.0,0.0,0.3,0.7,Opisthokonta,10,0,0.610864302055,1.75555555556,0.011904761904799999,False
A9UNL2,0.0,0.0,0.0,0.0,1.0,Opisthokonta,9,0,-0.0,0.0,0.0,False
A9UNL3,0.0,0.0,0.0,0.0,1.0,Opisthokonta,8,0,-0.0,0.0,0.0,False
A9UNL4,0.0,0.0,0.08333333333330001,0.833333333333,0.08333333333330001,Eukaryota,12,1,0.56608573896,1.17948717949,0.126984126984,False
A9UNL5,0.0,0.0,0.0,0.2,0.8,Opisthokonta,5,0,0.500402423538,0.8,0.5,False
A9UNL7,0.0,0.0,0.0,0.7,0.3,Eukaryota,10,0,0.610864302055,1.93333333333,-0.12,False
A9UNL8,0.0,0.0,0.0,0.0,1.0,Opisthokonta,8,1,-0.0,0.222222222222,0.0625,False
A9UNL9,0.0,0.0,0.166666666667,0.666666666667,0.166666666667,Eukaryota,6,0,0.8675632284810001,2.26666666667,1.0357142857100001,False
A9UNM2,0.0,0.0,0.0,0.428571428571,0.5714285714289999,Opisthokonta,7,0,0.6829081047,2.0,-0.19444444444400003,False
A9UNM5,0.0,0.0,0.5,0.4,0.1,Euk+Bac,10,0,0.9433483923289999,2.06666666667,-0.5,False
A9UNM6,0.0769230769231,0.0,0.846153846154,0.0,0.0769230769231,Euk+Bac,13,0,0.5359610497089999,0.769230769231,0.138888888889,True
A9UNM8,0.0,0.0,0.0,0.0,1.0,Opisthokonta,4,1,-0.0,0.0,0.0,False
A9UNM9,0.0,0.0,0.0,0.25,0.75,Opisthokonta,8,0,0.562335144619,0.928571428571,-0.276923076923,False
A9UNN1,0.0,0.0,0.0,0.166666666667,0.833333333333,Opisthokonta,6,0,0.45056120886600004,1.0,-0.535714285714,False
A9UNN2,0.166666666667,0.0,0.0,0.833333333333,0.0,Eukaryota,12,0,0.45056120886600004,1.25757575758,-0.0777777777778,False
