,Cellular_organisms,Euk_Archaea,Euk+Bac,Eukaryota,Opisthokonta,Eumetazoa,Vertebrata,Teleostei,modeAge,NumDBsContributing,NumDBsFiltered,entropy,NodeError,Bimodality,HGT_flag
A0A0B4J2K3,0.0,0.0,0.0,0.0,0.428571428571,0.0,0.5714285714289999,0.0,Vertebrata,7,0,0.6829081047,3.42857142857,-1.0,False
A0JGX5,0.0,0.0,0.0,0.0,0.0,0.46153846153800004,0.538461538462,0.0,Vertebrata,13,0,0.6901856760189999,1.30769230769,-0.150793650794,False
A0JGX6,0.0,0.0,0.38461538461499994,0.153846153846,0.0,0.38461538461499994,0.0769230769231,0.0,Euk+Bac,13,0,1.22028216627,4.71794871795,2.8293650793700005,False
A0ZSG4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Vertebrata,9,1,-0.0,0.0,0.0,False
A0ZSG7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Vertebrata,2,1,-0.0,0.0,,False
A7Z0A3,0.0,0.0,0.0,0.0,0.0,0.833333333333,0.166666666667,0.0,Eumetazoa,12,0,0.45056120886600004,1.39393939394,1.29032258065,False
B1AAQ5,0.0,0.0,0.0,0.0,0.0,0.222222222222,0.33333333333299997,0.444444444444,Teleostei,9,1,1.06085694716,1.24444444444,0.190476190476,False
E7FKY6,0.0,0.0,0.25,0.08333333333330001,0.0,0.166666666667,0.5,0.0,Vertebrata,12,1,1.1988493129100002,5.53846153846,1.67063492063,False
ENSTRUP00000043848,0.0,0.0,0.0,0.0,0.0,0.75,0.166666666667,0.08333333333330001,Eumetazoa,12,1,0.7214636866930001,1.92307692308,1.4047619047600002,False
H2RIN8,0.0,0.0,0.0,0.0,0.0,0.555555555556,0.33333333333299997,0.111111111111,Eumetazoa,9,1,0.9368883075390001,2.26666666667,2.0,False
H2RIN9,0.0,0.0,0.0,0.75,0.0,0.0,0.08333333333330001,0.166666666667,Eukaryota,12,0,0.7214636866930001,3.98484848485,3.8645161290300005,False
H2RIP0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eumetazoa,4,1,-0.0,3.2,4.25,False
H2RIP1,0.0,0.0,0.0,0.0,0.0,0.538461538462,0.153846153846,0.307692307692,Eumetazoa,13,0,0.983961446001,2.61538461538,4.13492063492,False
H2RIP2,0.0,0.0,0.0,0.714285714286,0.14285714285700002,0.14285714285700002,0.0,0.0,Eukaryota,7,1,0.7963116401739999,2.10714285714,-0.714285714286,False
H2RIP4,0.0,0.0,0.0,0.0,0.0,0.7272727272730001,0.272727272727,0.0,Eumetazoa,11,0,0.585952618304,1.89090909091,2.0,False
H2RIP5,0.0,0.0,0.0,0.0,0.0,0.666666666667,0.33333333333299997,0.0,Eumetazoa,12,1,0.636514168295,1.84615384615,0.488095238095,False
H2RIP7,0.0,0.0,0.0,0.0,0.6,0.0,0.2,0.2,Opisthokonta,5,1,0.950270539233,3.0,1.8,False
H2RIP9,0.0,0.0,0.0,0.692307692308,0.0,0.0769230769231,0.23076923076900002,0.0,Eukaryota,13,0,0.790267968075,3.92307692308,1.25,False
H2RIQ0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eumetazoa,1,1,-0.0,7.0,,False
H2RIQ1,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,Vertebrata,5,1,0.6730116670090001,1.66666666667,1.6666666666699999,False
H2RIQ2,0.0,0.0,0.272727272727,0.0,0.272727272727,0.272727272727,0.181818181818,0.0,Opisthokonta,11,0,1.3730039128799998,4.8,0.366666666667,False
H2RIR4,0.0,0.0,0.0,0.0,0.1,0.7,0.2,0.0,Eumetazoa,10,0,0.8018185525429999,2.2,1.35714285714,False
H2RIR6,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,Eumetazoa,12,0,0.562335144619,1.75757575758,0.533333333333,False
H2RIR8,0.0,0.0,0.375,0.25,0.125,0.25,0.0,0.0,Euk+Bac,8,0,1.32088834315,3.64285714286,0.0952380952381,False
H2RIS1,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.0,Cellular_organisms,12,1,0.562335144619,0.0,0.0,True
H2RIS2,0.0,0.0,0.0,0.0,0.0,0.625,0.25,0.125,Eumetazoa,8,0,0.900256051269,1.89285714286,1.0625,False
H2RIS5,0.0,0.0,0.0,0.666666666667,0.33333333333299997,0.0,0.0,0.0,Eukaryota,12,1,0.636514168295,2.15384615385,1.7301587301599997,False
H2RIS6,0.0,0.0,0.0,0.0,0.33333333333299997,0.5,0.166666666667,0.0,Eumetazoa,12,1,1.0114042647100001,2.61538461538,0.52380952381,False
H2RIT1,0.0,0.0,0.0,0.0,0.08333333333330001,0.916666666667,0.0,0.0,Eumetazoa,12,1,0.286835983056,1.33333333333,-0.103174603175,False
H2RIT5,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,Vertebrata,8,1,0.562335144619,0.388888888889,0.181818181818,False
H2RIT6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,13,0,-0.0,0.0,0.0,False
H2RIT7,0.0,0.0,0.0,0.5,0.2,0.3,0.0,0.0,Eukaryota,10,0,1.02965301406,2.33333333333,0.0,False
H2RIT8,0.4,0.0,0.0,0.2,0.0,0.2,0.2,0.0,Cellular_organisms,5,1,1.33217904021,5.2,7.07142857143,False
H2RIU3,0.0,0.0,0.0,0.0,0.45454545454499995,0.0909090909091,0.45454545454499995,0.0,Opisthokonta,11,1,0.9347698978579999,2.83333333333,4.612903225809999,False
