,Cellular_organisms,Euk_Archaea,Euk+Bac,Eukaryota,Opisthokonta,Eumetazoa,Vertebrata,Mammalia,modeAge,NumDBsContributing,NumDBsFiltered,entropy,NodeError,Bimodality,HGT_flag
A0A0A0MQ66,0.0,0.0,0.0,0.0,0.23076923076900002,0.692307692308,0.0769230769231,0.0,Eumetazoa,13,0,0.790267968075,1.48717948718,0.440476190476,False
A0A0B4J1C9,0.0,0.0,0.0,0.181818181818,0.0,0.363636363636,0.45454545454499995,0.0,Vertebrata,11,1,1.03619878482,4.63636363636,3.73333333333,False
A0A0B4J1D0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666666667,0.33333333333299997,Vertebrata,12,0,0.636514168295,3.0303030303,2.13333333333,False
A0A0B4J1D3,0.0,0.0,0.0,0.0,0.0,0.0,0.222222222222,0.777777777778,Mammalia,9,0,0.529706199058,2.0,-0.666666666667,False
A0A0B4J1D4,0.0,0.0,0.0,0.0,0.0,0.0,0.777777777778,0.222222222222,Vertebrata,9,0,0.529706199058,1.38888888889,0.1375,False
A0A0B4J1D5,0.0,0.0,0.0,0.0,0.0,0.0,0.181818181818,0.8181818181820001,Mammalia,11,1,0.474139313058,2.21212121212,0.511111111111,False
A0A0B4J1D6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,Mammalia,10,0,0.6730116670090001,2.51111111111,-0.380952380952,False
A0MJX7,0.0,0.0,0.0,0.0,0.0,0.0,0.666666666667,0.33333333333299997,Vertebrata,12,0,0.636514168295,1.57575757576,0.933333333333,False
A1C2U6,0.0,0.0,0.0,0.0,0.0,0.923076923077,0.0769230769231,0.0,Eumetazoa,13,0,0.271189373042,0.846153846154,0.07539682539680001,False
A1E2I4,0.0,0.0,0.0,0.538461538462,0.153846153846,0.0769230769231,0.23076923076900002,0.0,Eukaryota,13,0,1.15698764435,3.84615384615,0.43650793650799996,False
A1XD94,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,12,1,-0.0,0.153846153846,0.0277777777778,False
A2BDG6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,Mammalia,10,0,0.500402423538,2.17777777778,0.5,False
A2BDH4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Mammalia,12,0,-0.0,0.166666666667,0.0,False
A2D649,0.0,0.0,0.0,0.0909090909091,0.0,0.45454545454499995,0.363636363636,0.0909090909091,Eumetazoa,11,1,1.16222554492,3.83333333333,2.9333333333300002,False
