,Cellular_organisms,Euk_Archaea,Euk+Bac,Eukaryota,Opisthokonta,Eumetazoa,Protostomia,Ecdysozoa,Arthropoda,modeAge,NumDBsContributing,NumDBsFiltered,entropy,NodeError,Bimodality,HGT_flag
B7P0J2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Arthropoda,1,2,-0.0,2.0,,False
B7P0K2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Arthropoda,1,0,-0.0,None,,False
B7P0K4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Eumetazoa,1,1,-0.0,7.0,,False
B7P0K6,0.0,0.0,0.0,0.1,0.0,0.9,0.0,0.0,0.0,Eumetazoa,10,0,0.325082973391,0.8,0.0,False
B7P0K8,0.0,0.0,0.0,0.33333333333299997,0.0,0.666666666667,0.0,0.0,0.0,Eumetazoa,6,0,0.636514168295,2.13333333333,-0.28571428571400004,False
B7P0K9,0.0,0.0,0.272727272727,0.636363636364,0.0,0.0909090909091,0.0,0.0,0.0,Eukaryota,11,0,0.859967281036,2.10909090909,0.126666666667,False
B7P0L0,0.0909090909091,0.0,0.0,0.0,0.181818181818,0.0909090909091,0.0,0.0,0.636363636364,Arthropoda,11,1,1.0335620542100001,4.28787878788,3.4,False
B7P0L1,0.0,0.0,0.0,0.846153846154,0.0769230769231,0.0769230769231,0.0,0.0,0.0,Eukaryota,13,0,0.5359610497089999,1.48717948718,0.595238095238,False
B7P0L2,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,Eumetazoa,2,1,0.6931471805600001,3.33333333333,,False
B7P0L3,0.7272727272730001,0.0909090909091,0.0,0.0,0.0,0.181818181818,0.0,0.0,0.0,Cellular_organisms,11,0,0.7595473914749999,2.72727272727,3.1018518518500002,True
B7P0L4,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,Opisthokonta,4,0,0.6931471805600001,1.83333333333,-0.33333333333299997,False
B7P0L5,0.0,0.0,0.0,0.0,0.0,0.714285714286,0.0,0.0,0.28571428571400004,Eumetazoa,7,1,0.598269588585,2.82142857143,-1.2857142857100001,False
B7P0L6,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,Eumetazoa,5,1,0.500402423538,2.06666666667,-0.444444444444,False
B7P0L7,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,Eumetazoa,4,1,0.562335144619,2.6,-0.25,False
B7P0L9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Arthropoda,1,0,-0.0,None,,False
B7P0M0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,Eumetazoa,10,0,0.6931471805600001,2.77777777778,-0.4,False
B7P0M1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,Eumetazoa,2,1,0.6931471805600001,2.66666666667,-2.0,False
B7P0M2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Euk+Bac,9,0,-0.0,0.0,0.0,False
B7P0M4,0.0,0.0,0.0,0.666666666667,0.0,0.33333333333299997,0.0,0.0,0.0,Eukaryota,3,1,0.636514168295,3.5,0.0,False
B7P0M5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Arthropoda,7,1,-0.0,1.5,0.0,False
B7P0M6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Arthropoda,5,0,-0.0,0.0,0.0,False
B7P0M7,0.0769230769231,0.0,0.923076923077,0.0,0.0,0.0,0.0,0.0,0.0,Euk+Bac,13,0,0.271189373042,0.0,0.0,True
B7P0M8,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,Eumetazoa,5,0,0.500402423538,1.2,-0.75,False
B7P0M9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Eumetazoa,8,0,-0.0,0.25,-0.10769230769200001,False
B7P0N0,0.25,0.0,0.0,0.416666666667,0.25,0.08333333333330001,0.0,0.0,0.0,Eukaryota,12,0,1.26500137527,2.69696969697,0.7059907834100001,True
B7P0N1,0.0,0.0,0.0,0.0,0.111111111111,0.888888888889,0.0,0.0,0.0,Eumetazoa,9,0,0.34883209584299996,0.611111111111,-0.025,False
B7P0N2,0.153846153846,0.0769230769231,0.23076923076900002,0.23076923076900002,0.0769230769231,0.0769230769231,0.0,0.0769230769231,0.0769230769231,Eukaryota,13,0,1.95125950414,4.46153846154,0.031746031746,False
B7P0N3,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.0,Eukaryota,10,1,0.6730116670090001,2.58181818182,-0.384920634921,False
B7P0N4,0.0,0.0,0.0,0.33333333333299997,0.166666666667,0.5,0.0,0.0,0.0,Eumetazoa,12,1,1.0114042647100001,2.15384615385,-0.17857142857099997,False
B7P0N6,0.0,0.0,0.769230769231,0.0769230769231,0.0,0.153846153846,0.0,0.0,0.0,Euk+Bac,13,0,0.6870920273800001,2.5641025641,0.531746031746,True
B7P0N7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Eukaryota,12,1,-0.0,0.538461538462,-0.08333333333330001,False
B7P0N8,0.0,0.0,0.0,0.692307692308,0.307692307692,0.0,0.0,0.0,0.0,Eukaryota,13,0,0.61724176973,0.923076923077,0.166666666667,False
B7P0N9,0.0,0.0,0.0,0.833333333333,0.0,0.166666666667,0.0,0.0,0.0,Eukaryota,12,1,0.45056120886600004,1.92307692308,0.47619047618999993,False
B7P0P0,0.0,0.0,0.0,0.428571428571,0.14285714285700002,0.428571428571,0.0,0.0,0.0,Eumetazoa,7,1,1.0042424730500001,2.82142857143,-0.458333333333,False
B7P0P1,0.23076923076900002,0.0,0.23076923076900002,0.38461538461499994,0.153846153846,0.0,0.0,0.0,0.0,Eukaryota,13,0,1.33224492244,1.92307692308,-0.14285714285700002,False
B7P0P2,0.08333333333330001,0.166666666667,0.166666666667,0.583333333333,0.0,0.0,0.0,0.0,0.0,Eukaryota,12,1,1.1187433359899999,1.0,-0.103174603175,False
