,Cellular_organisms,Euk_Archaea,Euk+Bac,Eukaryota,Opisthokonta,Dikarya,Ascomycota,Saccharomyceta,modeAge,NumDBsContributing,NumDBsFiltered,entropy,NodeError,Bimodality,HGT_flag
A3RNH3,0.0,0.0909090909091,0.272727272727,0.0,0.0,0.0909090909091,0.0,0.545454545455,Saccharomyceta,11,0,1.12095039267,4.61818181818,-0.8466666666670001,False
A3RNH4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Euk_Archaea,12,1,-0.0,0.153846153846,-0.0238095238095,False
A7UVS4,0.0,0.538461538462,0.0,0.307692307692,0.0,0.0,0.0,0.153846153846,Euk_Archaea,13,0,0.983961446001,2.53846153846,0.793650793651,False
A7UVS7,0.0,0.0,0.0,0.888888888889,0.0,0.0,0.111111111111,0.0,Eukaryota,9,0,0.34883209584299996,0.888888888889,-0.519480519481,False
A7UVT4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Saccharomyceta,8,0,-0.0,0.428571428571,-0.125,False
A7UVT5,0.615384615385,0.0,0.0,0.153846153846,0.0,0.23076923076900002,0.0,0.0,Cellular_organisms,13,0,0.925129083572,2.69230769231,0.666666666667,False
A7UVT6,0.0,0.0,0.0,0.916666666667,0.0,0.0,0.0,0.08333333333330001,Eukaryota,12,1,0.286835983056,1.46153846154,0.599206349206,False
A7UVU1,0.0,0.0,0.363636363636,0.0,0.0,0.181818181818,0.0909090909091,0.363636363636,Euk+Bac,11,0,1.26365443188,4.43636363636,-0.153333333333,False
A7UVU5,0.1,0.0,0.0,0.3,0.0,0.0,0.0,0.6,Saccharomyceta,10,1,0.897945724857,3.92727272727,0.38,False
A7UVV2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,12,1,-0.0,0.307692307692,-0.047619047619,False
A7UVV5,0.153846153846,0.0,0.0,0.769230769231,0.0,0.0,0.0,0.0769230769231,Eukaryota,13,0,0.6870920273800001,1.89743589744,-0.190476190476,False
A7UVV7,0.38461538461499994,0.153846153846,0.0,0.38461538461499994,0.0769230769231,0.0,0.0,0.0,Cellular_organisms,13,0,1.22028216627,1.87179487179,-0.18650793650800002,False
A7UVV8,0.0,0.0,0.0,0.909090909091,0.0,0.0,0.0,0.0909090909091,Eukaryota,11,1,0.304636097349,1.75757575758,0.166666666667,False
A7UVW4,0.0,0.0,0.166666666667,0.5,0.33333333333299997,0.0,0.0,0.0,Eukaryota,6,0,1.0114042647100001,2.26666666667,-0.666666666667,False
A7UVX1,0.0909090909091,0.0,0.0,0.45454545454499995,0.272727272727,0.0,0.0,0.181818181818,Eukaryota,11,0,1.2406842919499999,3.23636363636,-0.00666666666667,False
A7UVX5,0.0,0.0,0.5714285714289999,0.0,0.0,0.0,0.0,0.428571428571,Euk+Bac,7,0,0.6829081047,5.14285714286,-1.5,False
A7UVX7,0.0,0.0,0.846153846154,0.0769230769231,0.0,0.0,0.0,0.0769230769231,Euk+Bac,13,0,0.5359610497089999,1.89743589744,-0.035714285714300006,True
A7UVX8,0.08333333333330001,0.0,0.916666666667,0.0,0.0,0.0,0.0,0.0,Euk+Bac,12,1,0.286835983056,0.0,0.0,False
A7UVY0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,13,0,-0.0,0.461538461538,-0.07142857142860001,False
A7UVY1,0.0,0.222222222222,0.0,0.444444444444,0.0,0.0,0.111111111111,0.222222222222,Eukaryota,9,1,1.27302833659,3.51111111111,1.04761904762,False
A7UVY8,0.0,0.0,0.923076923077,0.0,0.0,0.0769230769231,0.0,0.0,Euk+Bac,13,0,0.271189373042,0.923076923077,0.166666666667,True
A7UVZ5,0.0,0.0,0.0,0.375,0.5,0.0,0.0,0.125,Opisthokonta,8,0,0.9743147528689999,2.25,-0.729166666667,False
A7UVZ9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Saccharomyceta,1,0,-0.0,None,,False
A7UW00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Saccharomyceta,6,1,-0.0,2.0,-1.14545454545,False
A7UW01,0.23076923076900002,0.153846153846,0.0,0.0,0.0,0.0,0.0,0.615384615385,Saccharomyceta,13,0,0.925129083572,4.48717948718,-0.539682539683,False
A7UW03,0.0,0.0,0.0,0.0,0.0,0.0909090909091,0.0,0.909090909091,Saccharomyceta,11,0,0.304636097349,0.545454545455,0.12,False
A7UW04,0.0,0.0,0.0,0.111111111111,0.0,0.0,0.0,0.888888888889,Saccharomyceta,9,1,0.34883209584299996,2.02222222222,-0.32,False
A7UW05,0.0,0.0,0.0,0.846153846154,0.0,0.153846153846,0.0,0.0,Eukaryota,13,0,0.42932302193099997,1.12820512821,0.444444444444,False
A7UW15,0.0,0.0,0.0,0.33333333333299997,0.666666666667,0.0,0.0,0.0,Opisthokonta,3,0,0.636514168295,2.0,-1.5,False
A7UW17,0.5714285714289999,0.0,0.428571428571,0.0,0.0,0.0,0.0,0.0,Cellular_organisms,7,0,0.6829081047,0.0,0.0,False
A7UW18,0.5,0.0,0.25,0.25,0.0,0.0,0.0,0.0,Cellular_organisms,12,0,1.0397207708399998,1.15151515152,0.22488479262699998,False
A7UW19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Saccharomyceta,5,0,-0.0,0.0,0.0,False
A7UW23,0.0,0.0,0.0,0.75,0.166666666667,0.0,0.08333333333330001,0.0,Eukaryota,12,1,0.7214636866930001,1.35897435897,0.0992063492063,False
A7UW29,0.46153846153800004,0.0,0.0,0.307692307692,0.0,0.153846153846,0.0,0.0769230769231,Cellular_organisms,13,0,1.2047933096899999,3.38461538462,-0.369047619048,False
A7UW34,0.0,0.0,0.0,0.636363636364,0.181818181818,0.0909090909091,0.0,0.0909090909091,Eukaryota,11,0,1.0335620542100001,2.47272727273,-0.30820105820099997,False
A7UW37,0.0,0.0,0.0,0.833333333333,0.08333333333330001,0.08333333333330001,0.0,0.0,Eukaryota,12,1,0.56608573896,1.4358974359,0.242063492063,False
A7UW46,0.846153846154,0.0,0.0,0.0769230769231,0.0,0.0,0.0,0.0769230769231,Cellular_organisms,13,0,0.5359610497089999,1.64102564103,-0.150793650794,False
A7UW49,0.0,0.0,0.0,0.692307692308,0.153846153846,0.153846153846,0.0,0.0,Eukaryota,13,0,0.8305178252869999,1.79487179487,-0.123015873016,False
A7UW53,0.0769230769231,0.0,0.0,0.23076923076900002,0.153846153846,0.0769230769231,0.0,0.46153846153800004,Saccharomyceta,13,0,1.37781950804,3.38461538462,-0.162698412698,False
A7UW54,0.0,0.0,0.0,0.0,0.0,0.8571428571430001,0.14285714285700002,0.0,Dikarya,7,2,0.410116318288,2.55555555556,3.55555555556,False
A7UW60,0.0,0.0,0.0,0.916666666667,0.0,0.08333333333330001,0.0,0.0,Eukaryota,12,0,0.286835983056,1.34848484848,-0.255299539171,False
A7UW65,0.0,0.0,0.0,0.769230769231,0.23076923076900002,0.0,0.0,0.0,Eukaryota,13,0,0.5402041423889999,0.846153846154,-0.0793650793651,False
A7UW66,0.0,0.0,0.0,0.363636363636,0.636363636364,0.0,0.0,0.0,Opisthokonta,11,0,0.655481773901,1.38181818182,-0.18,False
A7UW67,0.0,0.0,0.0,0.0,0.0909090909091,0.0909090909091,0.0,0.8181818181820001,Saccharomyceta,11,0,0.60016607316,1.16363636364,-0.33333333333299997,False
A7UW71,0.0,0.111111111111,0.0,0.111111111111,0.444444444444,0.0,0.33333333333299997,0.0,Opisthokonta,9,0,1.21488965395,2.38888888889,-0.666666666667,False
A7UW78,0.08333333333330001,0.0,0.0,0.416666666667,0.0,0.166666666667,0.0,0.33333333333299997,Eukaryota,12,0,1.2366848691399999,3.75757575758,0.394470046083,False
A7UW79,0.0,0.0,0.0,0.916666666667,0.0,0.0,0.08333333333330001,0.0,Eukaryota,12,1,0.286835983056,1.0,0.361111111111,False
A7UW80,0.0,0.0,0.0,0.923076923077,0.0,0.0,0.0,0.0769230769231,Eukaryota,13,0,0.271189373042,1.4358974359,0.293650793651,False
A7UW84,0.0,0.0,0.0,0.307692307692,0.538461538462,0.0,0.0769230769231,0.0769230769231,Opisthokonta,13,0,1.09059947378,1.64102564103,-0.253968253968,False
A7UW85,0.0,0.0,0.153846153846,0.46153846153800004,0.307692307692,0.0,0.0,0.0769230769231,Eukaryota,13,0,1.2047933096899999,2.71794871795,-0.05952380952380001,False
A7UW89,0.0,0.0,0.0,0.692307692308,0.153846153846,0.0769230769231,0.0,0.0769230769231,Eukaryota,13,0,0.937155853066,2.15384615385,-0.07539682539680001,False
A7UW92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Saccharomyceta,5,0,-0.0,0.0,0.0,False
A7UW95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Saccharomyceta,10,1,-0.0,1.63636363636,-0.3,False
A7UW97,0.0,0.916666666667,0.0,0.08333333333330001,0.0,0.0,0.0,0.0,Euk_Archaea,12,1,0.286835983056,0.153846153846,-0.0238095238095,False
A7UWA2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Dikarya,11,0,-0.0,0.0,0.0,False
A7UWA6,0.0,0.0,0.0,0.33333333333299997,0.0,0.0,0.0,0.666666666667,Saccharomyceta,6,2,0.636514168295,3.57142857143,-0.5128205128209999,False
A7UWB2,0.0,0.0,0.0,0.555555555556,0.0,0.444444444444,0.0,0.0,Eukaryota,9,0,0.6869615765970001,2.16666666667,-0.111111111111,False
A7UWB7,0.111111111111,0.0,0.0,0.111111111111,0.0,0.33333333333299997,0.0,0.444444444444,Saccharomyceta,9,1,1.21488965395,4.46666666667,0.785714285714,False
A7UWC7,0.0,0.0,0.153846153846,0.615384615385,0.0,0.23076923076900002,0.0,0.0,Eukaryota,13,0,0.925129083572,2.0,0.309523809524,False
A7UWD4,0.0,0.0,0.272727272727,0.0909090909091,0.0909090909091,0.0,0.0,0.545454545455,Saccharomyceta,11,0,1.12095039267,4.58181818182,-0.18,False
A7UWD5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cellular_organisms,13,0,-0.0,0.0,0.0,False
A7UWD6,0.33333333333299997,0.416666666667,0.0,0.25,0.0,0.0,0.0,0.0,Euk_Archaea,12,1,1.07755632707,0.897435897436,-0.138888888889,False
A7UWE1,0.0,0.0,0.0,0.909090909091,0.0,0.0,0.0,0.0909090909091,Eukaryota,11,2,0.304636097349,1.23076923077,-0.190476190476,False
A7UWE4,0.0,0.0,0.23076923076900002,0.615384615385,0.153846153846,0.0,0.0,0.0,Eukaryota,13,0,0.925129083572,1.82051282051,-0.0238095238095,False
A7UWE5,0.0,0.0,0.769230769231,0.0,0.0769230769231,0.0769230769231,0.0,0.0769230769231,Euk+Bac,13,0,0.793730055158,2.51282051282,-0.0277777777778,False
A7UWE6,0.0,0.0,0.0769230769231,0.692307692308,0.153846153846,0.0769230769231,0.0,0.0,Eukaryota,13,0,0.937155853066,1.76923076923,0.0873015873016,False
A7UWF2,0.0,0.0,0.538461538462,0.153846153846,0.0769230769231,0.0,0.0,0.23076923076900002,Euk+Bac,13,0,1.15698764435,4.35897435897,5.0,False
A7UWF5,0.0769230769231,0.0,0.307692307692,0.153846153846,0.0769230769231,0.153846153846,0.0,0.23076923076900002,Euk+Bac,13,0,1.67159527802,4.5641025641,2.18253968254,False
A7UWF6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Saccharomyceta,9,0,-0.0,0.0,0.0,False
A7UWG5,0.0,0.0,0.0,0.75,0.166666666667,0.0,0.08333333333330001,0.0,Eukaryota,12,1,0.7214636866930001,1.12820512821,0.031746031746,False
A7UWG6,0.08333333333330001,0.0,0.0,0.33333333333299997,0.08333333333330001,0.08333333333330001,0.0,0.416666666667,Saccharomyceta,12,0,1.3522093992299997,4.06060606061,-0.011111111111099999,False
A7UWH1,0.0,0.0,0.307692307692,0.692307692308,0.0,0.0,0.0,0.0,Eukaryota,13,0,0.61724176973,1.38461538462,-0.05952380952380001,False
A7UWH5,0.153846153846,0.0,0.38461538461499994,0.0,0.0769230769231,0.307692307692,0.0769230769231,0.0,Euk+Bac,13,0,1.4127446368599998,3.35897435897,2.42063492063,False
A7UWH6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Saccharomyceta,7,2,-0.0,3.5,-0.7875,False
A7UWH7,0.166666666667,0.0,0.666666666667,0.166666666667,0.0,0.0,0.0,0.0,Euk+Bac,12,1,0.8675632284810001,0.564102564103,-0.0873015873016,False
A7UWH8,0.153846153846,0.0769230769231,0.692307692308,0.0769230769231,0.0,0.0,0.0,0.0,Euk+Bac,13,0,0.937155853066,0.589743589744,-0.0396825396825,True
A7UWI4,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.25,Euk+Bac,8,0,0.562335144619,4.10714285714,-0.374358974359,False
A7UWJ0,0.307692307692,0.0,0.46153846153800004,0.0769230769231,0.153846153846,0.0,0.0,0.0,Euk+Bac,13,0,1.2047933096899999,1.82051282051,0.0793650793651,False
A7UWJ7,0.0,0.0769230769231,0.692307692308,0.0,0.23076923076900002,0.0,0.0,0.0,Euk+Bac,13,0,0.790267968075,2.0,-0.25793650793699996,True
A7UWJ8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Saccharomyceta,4,0,-0.0,0.0,0.0,False
A7UWK0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Saccharomyceta,1,1,-0.0,6.0,,False
A7UWK1,0.0,0.0,0.0,0.909090909091,0.0909090909091,0.0,0.0,0.0,Eukaryota,11,0,0.304636097349,0.363636363636,0.08,False
A7UWK5,0.0769230769231,0.0,0.615384615385,0.0,0.0769230769231,0.0,0.0,0.23076923076900002,Euk+Bac,13,0,1.03176711135,3.46153846154,-0.380952380952,True
A7UWK6,0.0,0.0,0.08333333333330001,0.666666666667,0.0,0.166666666667,0.0,0.08333333333330001,Eukaryota,12,1,0.983087758575,2.5641025641,0.944444444444,False
A7UWL1,0.0,0.0,0.0,0.153846153846,0.307692307692,0.0,0.0,0.538461538462,Saccharomyceta,13,0,0.983961446001,2.74358974359,0.865079365079,False
