,Cellular_organisms,Euk_Archaea,Euk+Bac,Eukaryota,Opisthokonta,Dikarya,Basidiomycota,modeAge,NumDBsContributing,NumDBsFiltered,entropy,NodeError,Bimodality,HGT_flag
ENSDARP00000006640,0.0,0.0,0.0,0.33333333333299997,0.666666666667,0.0,0.0,Opisthokonta,12,1,0.636514168295,1.79487179487,1.06349206349,False
ENSDARP00000006867,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Opisthokonta,10,0,-0.0,0.0,0.0,False
ENSDARP00000007633,0.0,0.0,0.0,0.75,0.25,0.0,0.0,Eukaryota,12,1,0.562335144619,1.46153846154,1.11507936508,False
ENSDARP00000009998,0.166666666667,0.0,0.25,0.08333333333330001,0.5,0.0,0.0,Opisthokonta,12,1,1.1988493129100002,2.69230769231,1.75,False
ENSDARP00000010503,0.0,0.0,0.0,0.33333333333299997,0.666666666667,0.0,0.0,Opisthokonta,9,0,0.636514168295,1.22222222222,-0.363636363636,False
ENSDARP00000011486,0.0,0.0,0.0,0.307692307692,0.692307692308,0.0,0.0,Opisthokonta,13,0,0.61724176973,1.02564102564,0.253968253968,False
ENSDARP00000012441,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Opisthokonta,9,0,-0.0,0.0,0.0,False
ENSDARP00000015973,0.0,0.153846153846,0.0,0.846153846154,0.0,0.0,0.0,Eukaryota,13,0,0.42932302193099997,0.717948717949,-0.05952380952380001,False
ENSDARP00000016135,0.0,0.0,0.0,0.538461538462,0.46153846153800004,0.0,0.0,Eukaryota,13,0,0.6901856760189999,1.61538461538,1.55555555556,False
ENSDARP00000017979,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Opisthokonta,13,0,-0.0,0.0,0.0,False
ENSDARP00000019408,0.0,0.0,0.0,0.166666666667,0.833333333333,0.0,0.0,Opisthokonta,12,1,0.45056120886600004,1.46153846154,-0.22619047619000002,False
ENSDARP00000022280,0.222222222222,0.111111111111,0.33333333333299997,0.222222222222,0.111111111111,0.0,0.0,Euk+Bac,9,1,1.5229550675299999,1.75555555556,-0.34523809523800003,False
ENSDARP00000022781,0.0,0.0,0.166666666667,0.0,0.833333333333,0.0,0.0,Opisthokonta,12,1,0.45056120886600004,1.92307692308,0.47619047618999993,False
ENSDARP00000026409,0.0,0.0,0.666666666667,0.222222222222,0.111111111111,0.0,0.0,Euk+Bac,9,0,0.848685557726,1.94444444444,0.909090909091,False
ENSDARP00000028311,0.0,0.166666666667,0.0,0.833333333333,0.0,0.0,0.0,Eukaryota,6,0,0.45056120886600004,0.333333333333,-0.2,False
ENSDARP00000032310,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Opisthokonta,8,0,-0.0,0.0,0.0,False
ENSDARP00000033180,0.0,0.0,0.375,0.0,0.625,0.0,0.0,Opisthokonta,8,0,0.661563238158,2.67857142857,0.692307692308,False
ENSDARP00000034812,0.08333333333330001,0.0,0.0,0.0,0.916666666667,0.0,0.0,Opisthokonta,12,1,0.286835983056,1.15384615385,-0.17857142857099997,False
ENSDARP00000038537,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Opisthokonta,7,0,-0.0,0.0,0.0,False
ENSDARP00000053439,0.0,0.0,0.0,0.33333333333299997,0.666666666667,0.0,0.0,Opisthokonta,6,0,0.636514168295,1.4,-0.6,False
ENSDARP00000054849,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Opisthokonta,13,0,-0.0,0.0,0.0,False
ENSDARP00000056730,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Eukaryota,7,2,-0.0,0.222222222222,0.45454545454499995,False
ENSDARP00000056884,0.1,0.1,0.5,0.0,0.3,0.0,0.0,Euk+Bac,10,0,1.16828245018,2.4,4.6071428571399995,False
ENSDARP00000058698,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Opisthokonta,13,0,-0.0,0.0,0.0,False
ENSDARP00000060699,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Opisthokonta,8,0,-0.0,0.0,0.0,False
ENSDARP00000060843,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Opisthokonta,12,0,-0.0,0.0,0.0,False
ENSDARP00000061823,0.0,0.0,0.0,0.0769230769231,0.923076923077,0.0,0.0,Opisthokonta,13,0,0.271189373042,0.307692307692,-0.047619047619,False
ENSDARP00000061960,0.0,0.0,0.0,0.45454545454499995,0.545454545455,0.0,0.0,Opisthokonta,11,0,0.689009238477,1.09090909091,-0.05333333333330001,False
ENSDARP00000063046,0.0,0.0,0.0,0.5714285714289999,0.428571428571,0.0,0.0,Eukaryota,7,0,0.6829081047,1.42857142857,,False
ENSDARP00000063540,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Opisthokonta,13,0,-0.0,0.0,0.0,False
ENSDARP00000065837,0.0,0.0,0.0,0.875,0.125,0.0,0.0,Eukaryota,8,0,0.37677016125600005,1.03571428571,-0.047619047619,False
ENSDARP00000066629,0.0,0.0,0.0,0.5,0.5,0.0,0.0,Opisthokonta,12,1,0.6931471805600001,1.92307692308,0.166666666667,False
ENSDARP00000067512,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Opisthokonta,13,0,-0.0,0.0,0.0,False
ENSDARP00000069374,0.0,0.0,0.0,0.5,0.5,0.0,0.0,Opisthokonta,4,0,0.6931471805600001,2.0,,False
ENSDARP00000070295,0.0,0.0,0.0,0.5,0.5,0.0,0.0,Opisthokonta,4,0,0.6931471805600001,2.0,,False
ENSDARP00000072497,0.3,0.0,0.2,0.4,0.1,0.0,0.0,Eukaryota,10,1,1.2798542258299999,1.63636363636,0.231481481481,False
ENSDARP00000073466,0.25,0.0,0.125,0.125,0.5,0.0,0.0,Opisthokonta,8,0,1.21300756598,2.78571428571,0.375,False
ENSDARP00000076733,0.0,0.0,0.0,0.692307692308,0.307692307692,0.0,0.0,Eukaryota,13,0,0.61724176973,1.20512820513,-0.134920634921,False
ENSDARP00000079033,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Opisthokonta,6,0,-0.0,0.0,0.0,False
