,Cellular_organisms,Euk_Archaea,Euk+Bac,Eukaryota,Opisthokonta,Eumetazoa,modeAge,NumDBsContributing,NumDBsFiltered,entropy,NodeError,Bimodality,HGT_flag
A0EYM0,0.0,0.0,0.0,0.5714285714289999,0.0,0.428571428571,Eukaryota,7,0,0.6829081047,2.7619047619,-0.690909090909,False
A3EXK7,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,13,0,-0.0,0.0,0.0,False
A7REN8,0.0,0.0,0.0,0.8181818181820001,0.0,0.181818181818,Eukaryota,11,0,0.474139313058,1.74545454545,0.41333333333300004,False
A7REN9,0.0,0.0,0.0,0.25,0.5,0.25,Opisthokonta,12,1,1.0397207708399998,2.33333333333,0.25793650793699996,False
A7REP0,0.0909090909091,0.0,0.636363636364,0.0909090909091,0.0909090909091,0.0909090909091,Euk+Bac,11,0,1.1595888143100002,2.32727272727,1.37037037037,False
A7REP1,0.0,0.0,0.0,0.769230769231,0.23076923076900002,0.0,Eukaryota,13,0,0.5402041423889999,1.5641025641,0.222222222222,False
A7REP4,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,1,1,-0.0,0.0,,False
A7REP5,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,5,1,-0.0,0.666666666667,-0.4,False
A7REP6,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,5,0,-0.0,0.0,0.0,False
A7REP7,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,3,1,-0.0,1.5,,False
A7REP8,0.0,0.0,0.0,0.0,1.0,0.0,Opisthokonta,1,2,-0.0,0.666666666667,-0.5,False
A7REP9,0.0,0.0,0.0,0.6,0.4,0.0,Eukaryota,5,0,0.6730116670090001,1.2,-0.08333333333330001,False
A7REQ0,0.0,0.0,0.0,0.769230769231,0.153846153846,0.0769230769231,Eukaryota,13,0,0.6870920273800001,1.84615384615,-0.234126984127,False
A7REQ1,0.0,0.0,0.0,0.8571428571430001,0.0,0.14285714285700002,Eukaryota,7,0,0.410116318288,1.14285714286,0.444444444444,False
A7REQ2,0.0,0.0,0.555555555556,0.222222222222,0.111111111111,0.111111111111,Euk+Bac,9,0,1.1490596969700002,2.88888888889,0.111111111111,True
A7REQ3,0.0,0.0,0.0,0.666666666667,0.33333333333299997,0.0,Eukaryota,3,0,0.636514168295,1.33333333333,2.0,False
A7REQ4,0.0,0.0,0.0,0.923076923077,0.0,0.0769230769231,Eukaryota,13,0,0.271189373042,0.74358974359,0.0396825396825,False
A7REQ5,0.0,0.0,0.0,0.0,0.4,0.6,Eumetazoa,5,0,0.6730116670090001,0.6,0.166666666667,False
A7REQ6,0.0,0.0,0.0,0.923076923077,0.0,0.0769230769231,Eukaryota,13,0,0.271189373042,1.12820512821,0.34126984127,False
A7REQ7,0.0,0.0,0.0,0.0,1.0,0.0,Opisthokonta,2,1,-0.0,0.666666666667,,False
