,OMA_Groups,PANTHER8_LDO,InParanoidCore,Orthoinspector,RSD,Hieranoid_2,OMA_Pairs,EnsemblCompara_v2,Metaphors,InParanoid,EggNOG,PANTHER8_all
A0A0A0MS98,False,False,False,False,True,False,False,False,False,False,,
A0A0A0MSL8,True,,True,True,,True,True,,True,True,True,
A0A0B4J1T7,False,,False,False,False,False,False,False,False,False,,
A0A0B4J1V8,False,,False,,,,True,,,False,,
A0A0B4J207,True,,,,,,,,,,,
A0A0C4DGB4,True,True,,True,True,,True,True,,,,
A0A0C4DH55,True,True,,,,,,True,True,,,
A0A5B9,False,,,,,True,,,,,,
A0AV02,False,True,False,,True,True,False,,True,False,True,
A0AV96,True,True,True,,True,,True,,,True,True,
A0AVI2,False,False,True,True,False,,False,,,False,False,
A0AVI4,False,False,False,False,False,False,False,False,,False,False,False
A0AVK6,False,True,True,,,,False,,,False,True,
A0AVT1,True,True,True,,,True,True,,,True,True,
A0FGR8,False,True,False,True,True,False,False,True,True,False,True,
A0FGR9,False,,False,True,,False,False,True,True,False,True,
A0JNW5,False,False,,,False,,False,,,False,,
A0PG75,False,True,False,False,True,,True,False,True,False,False,
A0PJK1,,True,True,,,,True,,,True,True,
A0PJW8,True,True,True,True,False,True,True,True,,True,True,
A0PJX0,True,True,False,True,True,False,True,,,False,True,
A0PJX2,False,False,True,,,True,False,False,False,True,,
A0PJX4,False,True,False,False,True,,False,False,False,True,False,
A0PJY2,True,True,True,,,True,True,,,True,,
A0PJZ3,True,True,,True,False,True,True,False,,True,True,
A0PK00,,True,False,,True,,False,,,False,,
A0PK11,False,,False,False,True,False,True,False,False,True,False,
A1A4S6,False,True,True,True,True,True,False,True,True,False,True,True
A1A4Y4,False,,,True,False,,False,,,True,,
A1A5B4,False,True,True,False,True,True,True,,,False,False,
A1A5C7,True,False,True,True,True,True,True,True,,True,False,
A1A5D9,True,True,True,,,True,,,,True,True,
A1IGU5,False,False,False,False,False,False,True,False,True,False,False,False
