,Cellular_organisms,Euk_Archaea,Euk+Bac,Eukaryota,Opisthokonta,Dikarya,Ascomycota,Saccharomyceta,modeAge,NumDBsContributing,NumDBsFiltered,entropy,NodeError,Bimodality,HGT_flag
A7E3X9,0.615384615385,0.0,0.153846153846,0.0,0.0769230769231,0.0,0.0,0.153846153846,Cellular_organisms,13,0,1.07201696856,3.07692307692,1.63888888889,False
A7E3Y0,0.0,0.0,0.692307692308,0.23076923076900002,0.0,0.0769230769231,0.0,0.0,Euk+Bac,13,0,0.790267968075,1.79487179487,-0.277777777778,True
A7E3Y1,0.0,0.0,0.2,0.1,0.1,0.0,0.0,0.6,Saccharomyceta,10,1,1.08889997535,4.4,-0.146666666667,False
A7E3Y2,0.0769230769231,0.0,0.615384615385,0.0,0.153846153846,0.0,0.0,0.153846153846,Euk+Bac,13,0,1.07201696856,3.71794871795,0.198412698413,False
A7E3Y3,0.0,0.46153846153800004,0.0,0.538461538462,0.0,0.0,0.0,0.0,Eukaryota,13,0,0.6901856760189999,0.538461538462,-0.031746031746,False
A7E3Y4,0.0,0.0,0.272727272727,0.181818181818,0.272727272727,0.0909090909091,0.181818181818,0.0,Euk+Bac,11,1,1.5465986860499998,3.25757575758,0.044444444444399996,False
A7E3Y5,0.0,0.0,0.0,0.46153846153800004,0.307692307692,0.0,0.153846153846,0.0769230769231,Eukaryota,13,0,1.2047933096899999,2.51282051282,-0.0793650793651,False
A7E3Y6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Saccharomyceta,11,2,-0.0,2.53846153846,-0.392857142857,False
A7E3Y7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Euk+Bac,10,0,-0.0,0.0,0.0,True
A7E3Y8,0.0,0.0,0.538461538462,0.0769230769231,0.23076923076900002,0.0,0.0,0.153846153846,Euk+Bac,13,0,1.15698764435,3.82051282051,0.0277777777778,False
A7E3Y9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Saccharomyceta,8,0,-0.0,0.785714285714,-0.08333333333330001,False
A7E3Z0,0.0,0.0,0.0,0.1,0.5,0.0,0.2,0.2,Opisthokonta,10,0,1.22060726455,1.97777777778,-0.04,False
A7E3Z2,0.0,0.0,0.0,0.111111111111,0.0,0.0,0.0,0.888888888889,Saccharomyceta,9,1,0.34883209584299996,2.93333333333,0.6,False
A7E3Z4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Euk+Bac,13,0,-0.0,0.0,0.0,False
A7E3Z6,0.0,0.0,0.0769230769231,0.307692307692,0.0,0.0,0.46153846153800004,0.153846153846,Ascomycota,13,0,1.2047933096899999,3.25641025641,1.81746031746,False
A7E3Z7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Euk+Bac,13,0,-0.0,0.0,0.0,False
A7E3Z8,0.0,0.0,0.0,0.6,0.2,0.0,0.0,0.2,Eukaryota,10,0,0.950270539233,2.51111111111,0.38,False
A7E400,0.0,0.0,0.0,0.0,0.909090909091,0.0909090909091,0.0,0.0,Opisthokonta,11,0,0.304636097349,0.181818181818,-0.0333333333333,False
A7E401,0.46153846153800004,0.307692307692,0.0,0.23076923076900002,0.0,0.0,0.0,0.0,Cellular_organisms,13,0,1.0579054247,1.07692307692,0.246031746032,False
A7E402,0.0,0.0,0.153846153846,0.538461538462,0.23076923076900002,0.0,0.0,0.0769230769231,Eukaryota,13,0,1.15698764435,2.38461538462,-0.162698412698,False
A7E403,0.307692307692,0.0,0.0769230769231,0.0,0.0,0.0769230769231,0.0769230769231,0.46153846153800004,Saccharomyceta,13,0,1.3114313374700002,4.61538461538,1.19444444444,False
A7E404,0.0,0.0,0.0,0.666666666667,0.08333333333330001,0.0,0.0,0.25,Eukaryota,12,1,0.8239592165009999,2.64102564103,-0.305555555556,False
A7E405,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,12,1,-0.0,0.0,0.0,False
A7E406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Saccharomyceta,9,0,-0.0,0.222222222222,-0.111111111111,False
A7E407,0.0,0.0,0.7272727272730001,0.181818181818,0.0909090909091,0.0,0.0,0.0,Euk+Bac,11,0,0.7595473914749999,1.67272727273,0.011904761904799999,False
A7E409,0.0,0.0,0.0,0.0,0.0,0.45454545454499995,0.0909090909091,0.45454545454499995,Dikarya,11,0,0.9347698978579999,1.52727272727,0.0866666666667,False
A7E411,0.0,0.0,0.0,0.0,0.125,0.25,0.0,0.625,Saccharomyceta,8,1,0.900256051269,2.72222222222,0.222222222222,False
A7E412,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Dikarya,1,0,-0.0,None,,False
A7E413,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,Dikarya,4,1,0.6931471805600001,2.4,2.66666666667,False
A7E414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Saccharomyceta,11,0,-0.0,0.181818181818,0.04,False
A7E415,0.0,0.0,0.0,0.38461538461499994,0.538461538462,0.0,0.0,0.0769230769231,Opisthokonta,13,0,0.898137003188,1.97435897436,0.880952380952,False
A7E416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Saccharomyceta,11,0,-0.0,0.0,0.0,False
A7E418,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,Dikarya,8,1,0.6931471805600001,3.0,1.0125,False
A7E419,0.0,0.0,0.2,0.2,0.1,0.3,0.0,0.2,Dikarya,10,0,1.5571130980599999,4.04444444444,-0.630952380952,False
A7E420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Saccharomyceta,7,0,-0.0,0.0,0.0,False
A7E422,0.0,0.0,0.153846153846,0.23076923076900002,0.0,0.307692307692,0.0,0.307692307692,Dikarya,13,0,1.3516811946899998,3.25641025641,-0.19444444444400003,False
A7E423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Saccharomyceta,3,0,-0.0,0.0,,False
A7E424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Saccharomyceta,2,0,-0.0,0.0,,False
