,Cellular_organisms,Euk_Archaea,Euk+Bac,Eukaryota,Opisthokonta,Eumetazoa,Protostomia,Ecdysozoa,modeAge,NumDBsContributing,NumDBsFiltered,entropy,NodeError,Bimodality,HGT_flag
A0A9S2,0.923076923077,0.0,0.0769230769231,0.0,0.0,0.0,0.0,0.0,Cellular_organisms,13,0,0.271189373042,0.0,0.0,False
A0AAC1,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,Eukaryota,5,0,0.6730116670090001,1.8,,False
A0FLQ6,0.5,0.0,0.25,0.25,0.0,0.0,0.0,0.0,Cellular_organisms,12,0,1.0397207708399998,1.22727272727,-0.133333333333,True
A0FLQ8,0.0,0.0,0.0,0.222222222222,0.0,0.777777777778,0.0,0.0,Eumetazoa,9,0,0.529706199058,1.94444444444,-0.1,False
A0PD34,0.0,0.0,0.0,0.444444444444,0.0,0.555555555556,0.0,0.0,Eumetazoa,9,4,0.6869615765970001,2.58974358974,-0.246031746032,False
A0SQM0,0.0,0.0,0.0,0.0,0.0,0.888888888889,0.0,0.111111111111,Eumetazoa,9,0,0.34883209584299996,1.0,0.0,False
A0T4F5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,6,0,-0.0,0.533333333333,0.4,False
A1EHR5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,Opisthokonta,2,7,0.6931471805600001,4.05555555556,-0.111111111111,False
A1IMB8,0.0,0.0,0.0,0.2,0.0,0.8,0.0,0.0,Eumetazoa,10,0,0.500402423538,1.82222222222,-0.33333333333299997,False
A2A266,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,Eumetazoa,4,1,0.6931471805600001,3.4,-1.0,False
A3FPI8,0.0,0.0,0.0,0.8,0.0,0.2,0.0,0.0,Eukaryota,5,0,0.500402423538,2.8,4.5,False
A3FPJ2,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,Eumetazoa,4,3,0.562335144619,1.71428571429,-0.5,False
A3FPL3,0.0,0.0,0.0,0.33333333333299997,0.0,0.0,0.0,0.666666666667,Ecdysozoa,3,1,0.636514168295,6.33333333333,-4.0,False
A3KFD2,0.0,0.0,0.0,0.916666666667,0.08333333333330001,0.0,0.0,0.0,Eukaryota,12,1,0.286835983056,0.769230769231,-0.015873015873,False
A3KFD7,0.0,0.0,0.33333333333299997,0.666666666667,0.0,0.0,0.0,0.0,Eukaryota,3,1,0.636514168295,2.0,0.0,False
A3QM90,0.0,0.0,0.5,0.166666666667,0.33333333333299997,0.0,0.0,0.0,Euk+Bac,6,0,1.0114042647100001,2.8,-0.6,False
A3QM97,0.363636363636,0.181818181818,0.181818181818,0.272727272727,0.0,0.0,0.0,0.0,Cellular_organisms,11,1,1.34211317891,2.16666666667,0.19262672811099998,False
A3QM98,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eumetazoa,2,2,-0.0,2.5,-1.6666666666699999,False
A3QMB1,0.0,0.0,0.08333333333330001,0.166666666667,0.0,0.75,0.0,0.0,Eumetazoa,12,1,0.7214636866930001,2.30769230769,-0.150793650794,False
A3QMB3,0.0,0.0,0.0,0.75,0.166666666667,0.08333333333330001,0.0,0.0,Eukaryota,12,0,0.7214636866930001,1.75757575758,0.7594470046080001,False
A3QMB6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Euk+Bac,4,0,-0.0,0.0,,False
A3QMB7,0.25,0.0,0.25,0.0,0.5,0.0,0.0,0.0,Opisthokonta,4,6,1.0397207708399998,2.17777777778,0.916666666667,False
A3QMB9,0.0,0.0,0.0,0.923076923077,0.0769230769231,0.0,0.0,0.0,Eukaryota,13,0,0.271189373042,0.589743589744,0.011904761904799999,False
A3QMC5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,Eukaryota,12,1,0.6931471805600001,0.692307692308,-0.00396825396825,False
A3QMC6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,11,2,-0.0,0.0,0.0,False
A3QMC7,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,Euk+Bac,4,3,0.562335144619,4.09523809524,2.66666666667,False
A3QMC8,0.846153846154,0.0769230769231,0.0769230769231,0.0,0.0,0.0,0.0,0.0,Cellular_organisms,13,0,0.5359610497089999,0.153846153846,0.0277777777778,False
A3QMD2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Euk+Bac,7,0,-0.0,0.0,0.0,True
