,Cellular_organisms,Euk_Archaea,Euk+Bac,Eukaryota,Opisthokonta,Eumetazoa,Vertebrata,Mammalia,modeAge,NumDBsContributing,NumDBsFiltered,entropy,NodeError,Bimodality,HGT_flag
A0A096P6M0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.25,Eumetazoa,4,3,0.562335144619,4.57142857143,3.49090909091,False
A0A096P6M5,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.2,Vertebrata,5,3,0.950270539233,5.89285714286,-1.5625,False
A0A096UWG8,0.0,0.0,0.0,0.545454545455,0.0,0.272727272727,0.0909090909091,0.0909090909091,Eukaryota,11,0,1.12095039267,5.34545454545,6.353333333330001,False
A0A096UWG9,0.0,0.0,0.0,0.833333333333,0.0,0.0,0.166666666667,0.0,Eukaryota,6,7,0.45056120886600004,3.64102564103,2.6865079365099995,False
A0A0A0MXX0,0.0,0.0,0.0,0.833333333333,0.0,0.0,0.166666666667,0.0,Eukaryota,6,5,0.45056120886600004,4.8,1.6441798941799999,False
A0A0A0MY24,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eumetazoa,2,6,-0.0,5.64285714286,0.33333333333299997,False
A0A0A0MY26,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eumetazoa,2,4,-0.0,6.73333333333,4.6,False
A0A0A0MY35,0.0,0.0,0.0,0.1,0.2,0.4,0.3,0.0,Eumetazoa,10,1,1.2798542258299999,4.54545454545,1.80666666667,False
A0A0B4J2J0,0.0,0.0,0.0,0.0,0.0,0.25,0.33333333333299997,0.416666666667,Mammalia,12,0,1.07755632707,3.95454545455,2.66666666667,False
A0A0B4J2J1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eumetazoa,2,7,-0.0,4.05555555556,0.844155844156,False
A0A4Z3,0.0,0.0,0.0,0.0,0.0,0.0769230769231,0.615384615385,0.307692307692,Vertebrata,13,0,0.8587409130060001,2.61538461538,0.369047619048,False
A0FKI7,0.0,0.0,0.23076923076900002,0.307692307692,0.0769230769231,0.38461538461499994,0.0,0.0,Eumetazoa,13,0,1.2658567518700001,4.35897435897,0.150793650794,False
A0JN02,0.0,0.0,0.0,0.0,0.625,0.375,0.0,0.0,Opisthokonta,8,2,0.661563238158,2.02222222222,-0.40476190476199997,False
A0JN27,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,13,0,-0.0,0.0,0.0,False
A0JN28,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,Opisthokonta,5,8,0.6730116670090001,1.33333333333,-0.103174603175,False
