,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RSD,EggNOG,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB
Q8TEA1,131,124,112,112,124,131,124,131,112,124,131,131,131
A6NIH7,55,119,119,55,119,119,119,119,119,119,119,119,119
Q96HJ5,21,21,21,21,21,21,None,21,37,34,80,36,37
O94913,112,84,34,54,112,112,80,112,112,112,112,112,34
P37837,131,131,131,131,119,131,131,131,131,131,131,131,131
A4IF30,34,58,36,34,34,84,58,58,84,119,84,84,80
Q7RTZ2,None,None,119,None,None,None,None,119,80,119,119,119,119
Q96EG1,58,34,58,34,58,58,58,131,58,None,131,131,80
P06858,34,34,34,54,34,54,54,37,119,55,55,55,37
Q6ZMU5,22,22,22,22,27,27,27,27,112,34,131,55,55
Q8WXA2,5,5,5,5,5,5,None,5,5,5,22,18,22
Q709C8,55,119,80,80,34,119,119,119,112,112,119,84,84
O95672,37,37,36,37,34,131,37,131,131,131,131,131,131
Q6ZS30,34,112,37,84,36,119,119,119,54,None,119,119,84
O00299,34,34,112,34,34,112,34,112,112,112,131,112,112
Q8NGN4,1,5,18,1,21,21,None,22,37,22,55,34,34
Q8NEP4,22,22,22,22,None,22,None,22,22,22,None,21,22
Q7Z5G4,34,54,34,34,55,84,34,55,55,55,55,55,84
Q16600,18,18,18,18,18,18,None,18,119,18,80,80,55
P84022,34,34,37,34,55,54,55,55,36,55,55,55,54
P61925,27,27,27,27,54,27,27,27,27,27,54,37,27
Q8N9G6,1,1,1,1,1,1,None,1,5,18,112,18,34
P49368,124,131,124,119,119,131,131,124,119,124,131,124,124
P05091,55,131,131,131,55,131,131,131,131,131,131,131,80
Q8N1N0,21,21,18,21,22,112,None,22,112,55,58,119,55
P23759,34,37,34,34,55,55,55,54,54,55,119,80,112
Q9HCG1,5,12,37,5,21,12,None,12,119,18,80,80,84
Q6IF42,18,18,None,18,18,55,None,22,37,22,27,26,18
P59539,1,1,5,1,5,12,None,27,34,26,26,34,55
P0DJD8,None,None,None,None,27,26,54,119,112,27,119,112,112
Q02818,34,58,22,34,34,58,55,55,58,58,119,80,55
Q8N7C7,12,12,34,37,12,80,None,58,112,112,131,112,112
O95433,58,119,119,119,131,119,119,119,119,119,131,119,119
Q9H7U1,34,34,22,34,34,34,34,34,34,34,34,34,34
ENSP00000407807,None,None,None,None,None,None,None,None,None,None,None,21,26
Q15465,34,54,34,54,112,54,55,55,55,55,112,55,55
Q9Y421,112,55,80,112,112,112,55,55,112,112,112,112,112
Q5T215,22,22,80,22,22,119,119,119,119,119,119,119,119
P01615,None,None,34,None,None,None,None,21,34,21,80,34,80
Q6P2D0,18,18,18,18,54,18,None,18,119,54,54,54,55
Q8NEV9,21,21,21,21,21,21,None,21,21,21,21,21,21
Q9NQ75,27,27,27,27,27,27,None,27,27,55,54,80,54
Q96KR6,112,55,18,112,112,112,55,84,112,112,112,112,84
Q6ZMB5,34,84,112,84,119,112,119,119,119,112,119,119,112
ENSP00000398703,None,None,None,None,None,None,None,None,None,None,None,119,58
P43005,34,131,131,54,34,131,131,131,80,131,131,131,131
Q7Z5H5,18,None,22,18,21,18,None,22,27,34,34,27,27
Q9BXT2,27,34,34,18,34,34,34,34,34,34,34,34,34
Q96HA4,34,34,18,18,18,34,None,34,34,34,18,27,34
Q5THK1,22,22,22,22,34,34,36,36,22,36,34,34,22
Q6NXP0,37,37,37,37,None,37,37,37,37,37,None,37,37
Q8NA03,55,55,55,55,55,55,34,55,55,55,55,55,119
Q9UM44,34,27,27,34,34,34,21,34,34,34,54,54,55
A3KN83,54,112,54,54,131,131,54,131,112,131,131,112,112
Q8N944,22,22,18,21,22,22,None,22,22,34,22,22,22
Q9BXW3,1,1,1,1,None,1,None,1,1,1,None,1,None
P48551,26,26,26,26,37,26,None,27,37,27,37,34,34
Q9UNN4,34,80,34,34,34,112,80,80,112,112,112,112,112
P35663,18,18,18,119,18,18,None,18,21,131,21,112,18
Q6A1A2,None,None,112,112,None,131,119,119,131,119,119,119,119
Q5M9Q1,18,112,37,37,119,112,112,112,112,112,119,112,34
P14635,34,119,34,119,34,112,119,119,119,119,119,119,84
Q13304,34,34,34,34,34,34,34,34,34,34,55,55,54
Q13363,34,34,34,131,131,131,131,131,54,131,131,112,112
Q8IYL3,34,27,22,27,None,34,27,34,34,34,None,27,34
Q6DKI7,18,18,18,18,18,18,None,18,18,18,18,18,18
Q9HD47,119,34,84,112,21,119,112,119,80,119,21,119,119
Q9BZW2,34,131,34,34,34,131,34,131,119,131,131,131,131
Q9UBD3,None,None,18,None,None,26,None,22,34,26,34,34,26
Q9Y5A6,18,18,18,37,18,18,None,18,119,21,22,80,55
ENSP00000381320,1,None,None,None,None,None,None,None,1,None,None,None,None
Q9Y6E0,34,84,58,34,34,119,112,119,112,119,131,112,119
Q9BVV6,26,26,26,26,27,34,34,34,26,34,27,26,27
Q96I51,80,55,54,112,55,80,80,55,58,None,131,119,131
P48023,34,34,34,34,27,34,34,34,34,34,55,55,55
ENSP00000393459,None,None,None,None,None,None,None,None,None,None,None,18,18
Q8N5S1,21,21,26,119,21,21,119,112,119,112,119,112,112
Q969V4,55,55,54,55,55,55,55,55,55,55,55,119,119
Q96B70,58,58,22,37,112,112,80,80,119,80,112,55,34
Q9UL01,34,34,34,34,34,131,131,131,131,131,131,55,55
Q16880,54,80,54,37,34,112,54,55,112,None,131,112,58
O75864,80,80,27,119,54,80,58,80,119,112,84,119,80
Q86U17,18,18,18,21,21,18,34,34,18,131,131,131,131
Q8WVH0,27,27,34,27,34,34,34,34,34,34,55,34,54
P0C881,None,None,55,None,55,131,119,131,55,None,131,119,119
Q92521,119,119,112,112,119,119,112,119,119,119,119,112,112
Q96A44,34,34,54,54,55,84,55,55,55,55,55,55,84
Q15743,34,34,34,34,34,34,34,34,34,34,34,54,54
P11277,58,58,34,34,34,34,58,80,58,None,119,80,84
Q9NYZ2,34,80,112,80,26,119,119,119,119,119,119,119,119
A6NKB5,34,34,26,26,34,34,36,119,119,119,119,58,55
Q8TCY9,22,22,22,22,34,34,34,27,27,34,34,80,84
Q12888,84,80,34,34,80,84,84,55,54,55,80,34,54
Q8TDM0,21,21,18,18,21,84,54,21,58,55,84,55,55
Q14114,34,34,54,34,54,54,34,54,55,55,112,55,55
P19440,5,5,131,131,131,131,36,131,131,131,131,131,112
Q6IB77,18,18,37,18,22,54,None,34,131,37,54,54,54
O00267,119,119,119,119,124,124,119,119,112,119,124,119,119
P79483,None,None,None,None,None,None,34,34,34,34,34,34,34
Q7LFX5,112,34,37,37,37,37,37,37,37,37,37,131,131
A6NC42,18,18,18,18,18,18,None,18,18,18,18,18,18
Q9BTC0,80,80,22,54,54,80,55,80,54,80,54,80,34
Q8WW12,54,54,34,34,26,58,55,55,54,58,26,55,58
P09669,54,34,37,54,54,54,54,37,54,54,54,54,54
Q9BVA0,131,58,58,119,119,119,119,119,119,119,119,131,131
Q9BRX8,54,54,54,54,None,112,112,112,112,112,None,112,112
Q12950,None,None,None,None,None,80,22,54,58,55,80,80,12
P78368,34,54,37,22,80,80,80,80,80,119,119,119,119
Q86VY4,12,18,18,18,18,80,None,84,112,112,119,112,119
P23769,34,80,34,34,80,80,80,80,80,54,112,112,55
Q8N2U9,119,84,80,119,119,119,119,119,119,119,119,84,119
P06314,5,5,22,5,21,None,27,22,80,21,80,34,80
Q9H0X9,34,84,26,26,80,112,119,119,80,None,131,84,84
Q8WUA4,112,112,34,80,80,112,55,55,112,112,80,84,80
O75072,55,55,55,55,55,58,58,58,55,58,55,58,55
Q96RE7,34,112,34,34,34,34,34,34,34,34,80,54,54
P02144,34,34,34,34,34,34,34,34,34,27,55,112,112
O14610,34,34,34,34,34,34,34,34,54,34,55,55,34
Q92839,34,112,34,34,34,131,34,131,131,131,131,131,131
Q05DH4,34,80,34,37,34,80,58,58,84,58,80,58,58
Q8TA86,84,84,54,54,None,84,84,84,55,55,None,55,84
P15336,80,80,34,54,34,112,55,80,54,80,112,80,80
O00587,34,26,34,34,26,36,54,54,119,54,119,80,55
Q9UJ78,26,26,12,26,18,18,37,26,26,54,54,26,26
Q96PE7,131,131,131,131,131,131,131,131,131,131,131,131,131
O00244,84,26,80,84,131,112,27,54,124,84,131,131,112
Q6ZRH9,None,None,None,None,None,None,None,None,None,None,None,54,None
O15428,None,None,None,None,None,None,119,None,None,None,None,80,80
ENSP00000412468,None,None,None,None,None,None,None,None,None,112,None,None,None
P52848,34,34,34,34,34,131,34,55,55,84,131,131,131
Q9UI30,119,112,112,119,124,119,112,112,119,112,124,119,119
O43610,34,55,34,34,55,34,54,55,37,55,55,54,34
Q8TAF7,18,18,18,21,18,18,None,18,119,22,80,80,80
Q5PR19,None,None,5,5,None,5,None,None,5,18,112,18,34
Q9H3W5,34,34,34,36,34,54,34,54,55,55,54,112,55
Q9BXM9,34,36,37,54,34,37,37,37,112,None,37,55,54
Q99729,34,112,34,80,54,119,36,55,112,112,131,112,112
P29350,34,34,34,34,119,34,58,58,119,80,119,112,112
Q96MH7,37,37,37,37,None,55,55,55,37,55,None,55,37
