,Cellular_organisms,Euk_Archaea,Euk+Bac,Eukaryota,Opisthokonta,Dikarya,Ascomycota,modeAge,NumDBsContributing,NumDBsFiltered,entropy,NodeError,Bimodality,HGT_flag
A0ZWU1,0.0,0.0,0.0,0.666666666667,0.0,0.0,0.33333333333299997,Eukaryota,3,1,0.636514168295,2.33333333333,-0.666666666667,False
A6X982,0.0,0.0,0.0,0.833333333333,0.166666666667,0.0,0.0,Eukaryota,6,0,0.45056120886600004,1.2,-0.222222222222,False
O00084,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Euk+Bac,13,0,-0.0,0.0,0.0,True
O00087,0.538461538462,0.0,0.46153846153800004,0.0,0.0,0.0,0.0,Cellular_organisms,13,0,0.6901856760189999,0.0,0.0,False
O00091,0.0,0.0,0.923076923077,0.0769230769231,0.0,0.0,0.0,Euk+Bac,13,0,0.271189373042,0.307692307692,-0.047619047619,False
O00102,0.0,0.0,0.0,0.75,0.25,0.0,0.0,Eukaryota,12,1,0.562335144619,1.76923076923,-0.222222222222,False
O00103,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Eukaryota,12,1,-0.0,0.307692307692,-0.047619047619,False
O13282,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Eukaryota,8,5,-0.0,1.48717948718,0.75,False
O13286,0.0,0.0,0.3,0.6,0.0,0.1,0.0,Eukaryota,10,3,0.897945724857,1.92307692308,0.579365079365,False
O13290,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Eukaryota,11,1,-0.0,0.166666666667,0.0,False
O13298,0.636363636364,0.0,0.181818181818,0.181818181818,0.0,0.0,0.0,Cellular_organisms,11,1,0.907535294105,0.712121212121,0.266666666667,False
O13310,0.0,0.0,0.0,0.916666666667,0.0,0.0,0.08333333333330001,Eukaryota,12,1,0.286835983056,1.30769230769,0.00396825396825,False
O13326,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Cellular_organisms,13,0,-0.0,0.0,0.0,True
O13339,0.0,0.0,0.0,0.833333333333,0.08333333333330001,0.08333333333330001,0.0,Eukaryota,12,1,0.56608573896,1.46153846154,-0.123015873016,False
O13351,0.0,0.0,0.0,0.923076923077,0.0769230769231,0.0,0.0,Eukaryota,13,0,0.271189373042,0.589743589744,-0.0912698412698,False
O13370,0.0769230769231,0.0,0.23076923076900002,0.692307692308,0.0,0.0,0.0,Eukaryota,13,0,0.790267968075,0.923076923077,-0.0396825396825,False
O13453,0.0,0.0,0.0909090909091,0.45454545454499995,0.0909090909091,0.181818181818,0.181818181818,Eukaryota,11,0,1.41427906512,2.69090909091,-0.24338624338599998,False
O13598,0.0,0.0,0.0,0.0,0.0,0.666666666667,0.33333333333299997,Dikarya,3,1,0.636514168295,1.0,0.0,False
