,Cellular_organisms,Euk_Archaea,Euk+Bac,Eukaryota,Opisthokonta,Eumetazoa,modeAge,NumDBsContributing,NumDBsFiltered,entropy,NodeError,Bimodality,HGT_flag
A9GCA6,0.0,0.0,0.0,0.2,0.0,0.8,Eumetazoa,10,1,0.500402423538,2.29090909091,-0.374338624339,False
B3FN58,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,3,0,-0.0,0.0,0.0,False
B3UYA5,0.0,0.0,0.0,0.0,0.38461538461499994,0.615384615385,Eumetazoa,13,0,0.666278442415,1.92307692308,0.0634920634921,False
B6LI37,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,11,0,-0.0,0.872727272727,-0.013333333333299998,False
B6LS00,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,11,0,-0.0,0.0,0.0,False
B6MFW3,0.0,0.0,0.0,0.75,0.08333333333330001,0.166666666667,Eukaryota,12,1,0.7214636866930001,2.07692307692,0.297619047619,False
B6MUN4,0.0,0.0,0.0,0.888888888889,0.0,0.111111111111,Eukaryota,9,1,0.34883209584299996,1.35555555556,-0.22619047619000002,False
B6NK32,0.0,0.0,0.0,0.23076923076900002,0.0,0.769230769231,Eumetazoa,13,0,0.5402041423889999,2.46153846154,-0.07142857142860001,False
B6NXD5,0.0,0.0,0.0,0.909090909091,0.0,0.0909090909091,Eukaryota,11,0,0.304636097349,1.09090909091,0.833333333333,False
B6PLN3,0.0,0.538461538462,0.0,0.0,0.0,0.46153846153800004,Euk_Archaea,13,0,0.6901856760189999,3.79487179487,0.650793650794,False
B7FF52,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,3,1,-0.0,2.16666666667,-0.5,False
B7X611,0.0,0.0,0.0,0.0,0.0769230769231,0.923076923077,Eumetazoa,13,0,0.271189373042,1.12820512821,1.06349206349,False
C3S3G3,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,7,1,-0.0,0.857142857143,-0.380952380952,False
C3XPA9,0.0,0.0,0.0,0.5,0.0,0.5,Eumetazoa,8,0,0.6931471805600001,3.25,0.729166666667,False
C3XPB0,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,2,1,-0.0,4.0,,False
C3XPB1,0.0,0.0,0.0,0.0,1.0,0.0,Opisthokonta,2,1,-0.0,1.33333333333,,False
C3XPB4,0.0,0.125,0.625,0.125,0.0,0.125,Euk+Bac,8,0,1.07354284641,2.64285714286,-1.2380952381,False
C3XPB5,0.5,0.1,0.1,0.1,0.0,0.2,Cellular_organisms,10,0,1.35923670067,3.13333333333,3.85714285714,True
C3XPB6,0.6,0.1,0.1,0.1,0.0,0.1,Cellular_organisms,10,0,1.22752941146,2.02222222222,1.47619047619,True
C3XPB7,0.0,0.0,0.0,0.75,0.08333333333330001,0.166666666667,Eukaryota,12,1,0.7214636866930001,1.71794871795,-0.111111111111,False
C3XPB8,0.538461538462,0.0,0.46153846153800004,0.0,0.0,0.0,Cellular_organisms,13,0,0.6901856760189999,0.0,0.0,True
C3XPB9,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,8,0,-0.0,0.785714285714,0.375,False
C3XPC0,0.0,0.0,0.0,0.0,0.5,0.5,Opisthokonta,2,1,0.6931471805600001,2.66666666667,,False
C3XPC1,0.0,0.0,0.0,0.0,0.375,0.625,Eumetazoa,8,0,0.661563238158,1.85714285714,0.9523809523810001,False
C3XPC2,0.0,0.0,0.0,0.33333333333299997,0.08333333333330001,0.583333333333,Eumetazoa,12,0,0.887694275799,2.81818181818,-0.160368663594,False
C3XPC3,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,1,1,-0.0,5.0,,False
C3XPC4,0.0,0.0,0.0,0.33333333333299997,0.33333333333299997,0.33333333333299997,Opisthokonta,6,0,1.09861228867,2.13333333333,-0.8,False
C3XPC6,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,3,1,-0.0,3.5,,False
C3XPC7,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,3,1,-0.0,2.5,,False
C3XPC8,0.0,0.0,0.0,0.5,0.5,0.0,Opisthokonta,2,1,0.6931471805600001,3.33333333333,,False
C3XPC9,0.0,0.0,0.0,0.0,0.666666666667,0.33333333333299997,Opisthokonta,3,1,0.636514168295,2.5,,False
C3XPD2,0.0,0.0,0.0,0.0,0.33333333333299997,0.666666666667,Eumetazoa,3,1,0.636514168295,2.66666666667,1.33333333333,False
C3XPD4,0.0,0.14285714285700002,0.5714285714289999,0.14285714285700002,0.0,0.14285714285700002,Euk+Bac,7,0,1.1537419427,3.2380952381,,False
