,numDomains
Q8TBF5,1
G5E9R7,2
Q5MIZ7,3
Q9NVL8,1
Q8IZF5,4
P30613,4
O75326,3
Q9NQ76,1
Q9NVL1,1
Q5H9L2,1
P20930,4
Q9ULZ2,2
F8VUJ3,5
P20933,1
Q8TDW4,2
P20936,8
Q9NZV5,4
A6NJS3,1
Q9UM21,2
Q496A3,1
P83859,1
Q8WXE9,2
Q8TBF2,2
Q15573,1
Q9H999,1
P23919,2
Q5H9L4,1
Q8NHX9,1
Q9NXR8,2
Q9C0H2,2
Q9C0H5,3
Q9H1Y0,1
Q4VXU2,6
H0YIV9,2
H0YC42,3
Q00534,5
Q00537,4
Q00536,4
Q9NXR5,6
Q00532,3
Q6UXI7,6
O00244,1
Q9UBM8,1
Q92917,3
F5H5K5,1
O00716,1
Q8IX01,3
Q6VAB6,5
Q9H8L6,3
Q96KS0,3
A8MTA8,1
Q6BEB4,4
P51993,1
Q9Y6M9,3
Q13835,6
Q7Z3T1,3
A0AVF1,13
P40424,4
P40425,4
P40426,3
P40429,1
Q7Z3T8,2
Q13838,4
Q8TDW7,7
Q96DR7,5
Q3LI58,1
A6H8Z2,1
Q9H2I8,5
Q3LI59,1
P08842,3
P03891,2
Q5VUR7,6
Q9HCT0,1
P48960,8
P03897,1
P02768,2
P05386,1
P05387,1
P24863,2
P02760,3
P05388,2
P02765,1
P02766,1
Q7L266,1
Q8WTV1,1
Q9UQ05,7
Q9UJ70,1
Q2M218,7
Q7Z6Z7,7
Q9H5J8,1
Q15165,3
Q15166,3
Q9UJ78,2
Q86WA9,3
Q9GZN6,1
O15254,3
Q86WA8,13
A0A087WV87,2
Q8WVM8,1
Q6ZTI6,1
O15258,1
O15259,3
P41180,4
Q96QG7,1
Q9Y303,4
Q86XA0,2
P29401,7
P41181,1
Q5VWT5,1
Q86XA9,3
Q9P2J5,4
Q96DX7,1
A6NNH0,1
Q5T5X7,1
Q6UXH1,3
Q2VWP7,10
Q9Y6V7,3
Q01118,2
Q9H840,2
A8MZG2,1
Q96CS4,8
Q9P218,4
Q5W111,1
Q96CS7,1
Q9P215,4
P62807,3
Q9UK11,7
P62805,4
Q9UK17,6
Q9BVC3,1
Q8N6K7,2
Q92833,4
P28562,3
P83881,1
Q92830,4
Q92837,1
Q9H3M9,2
P21452,2
P00540,2
Q969K7,2
Q92839,5
Q92838,2
Q9H3M0,4
P51878,2
Q8IY95,1
Q9BZG1,6
Q8TAL5,1
O43934,2
B4DJY2,2
Q8WWQ0,2
O43933,31
O43930,3
Q9HC73,2
Q9BZG9,1
Q9BZG8,1
Q99853,1
Q9BVC6,1
Q8NBD8,1
Q9Y592,1
P01236,1
Q92598,3
P01233,1
Q09161,5
A6NCC3,1
Q30KQ9,2
Q6NX49,7
B3EWG3,4
Q9UKZ9,4
B3EWG6,4
P53708,4
B3EWG4,4
B3EWG5,4
Q86W92,4
Q5DJT8,1
Q99935,2
P53701,1
Q8NFF5,2
Q8NFQ6,2
Q14568,3
Q9H967,1
Q14563,5
Q02094,1
Q8WYB5,3
Q86TG1,1
Q14566,6
Q14565,6
Q9NWM3,1
Q9BS40,1
Q9NWM0,12
Q6P1A2,1
Q9H114,2
Q9NRH2,3
Q9NRH3,3
P58397,8
A6NIR3,11
Q9UHF3,9
Q9H115,6
P41218,3
P41219,4
Q9UHF7,2
P41214,2
Q86VP1,2
Q96PG1,3
P41217,6
Q9UHC6,6
P41212,2
Q86VY4,1
Q92526,1
Q92521,2
Q86VP3,1
Q92523,1
Q92522,1
Q9Y3E0,1
Q92597,4
Q7L8L6,3
A0A087WWQ2,1
Q86VY9,1
Q8N5F7,2
Q9H4P4,15
P23352,2
A0A087WXS9,1
Q96A99,3
Q96MC5,1
Q5T9C2,1
Q2QGD7,3
Q9UMR7,2
Q5T9C9,1
Q02878,2
Q5JT82,3
P27449,1
P27448,6
Q7Z5P9,3
Q9HAP2,1
Q96HA4,1
Q96HA7,16
Q96HA1,1
P86397,3
P31994,6
Q96HA9,1
Q96HA8,1
Q9H069,6
P31995,6
O75164,7
O75165,2
O75167,1
Q9H211,1
Q9H210,3
Q9H213,1
Q96G23,3
Q5VZL5,2
Q96G21,1
P06865,3
Q96G27,1
Q96G25,2
Q9BY79,4
Q0P651,3
Q13239,3
Q9UKJ3,2
Q8TEH3,3
Q13232,1
P04118,3
Q13231,2
Q5TBA9,3
O60383,1
O60381,3
Q6P1Q9,9
Q00535,3
P19075,1
P08123,2
Q9NXR1,1
Q96AH0,1
P10915,6
P10914,1
Q15760,2
P10916,5
P10911,3
Q6UW02,1
Q6UW01,1
P10912,3
Q9HCE6,1
Q15768,1
Q76NI1,2
P23743,9
Q9H5I1,3
O95528,2
Q8WUF8,3
Q96BT1,1
Q8WUF5,8
Q96BT3,5
O95522,1
O95521,2
Q02297,8
Q9UHC7,10
O00712,3
P48147,2
P48146,4
P48145,4
Q99519,3
O15417,2
Q9BQG0,1
Q4G1C9,3
Q4VC31,2
Q6PL24,1
Q96J65,19
Q96RU3,8
Q96RU2,2
Q4VC39,1
O00241,7
Q9NYU1,2
Q9NYU2,2
Q96RU8,3
Q96DR4,1
Q96DR5,1
A4D1P6,3
Q8N729,1
Q96L58,1
Q9ULV4,4
P55145,1
P50395,1
H7BZ11,1
Q96A83,2
P43366,2
P50391,2
Q9Y5A7,1
Q9Y5A6,9
I1YAP6,5
Q8NDW4,9
P21675,4
Q13643,1
Q13642,2
Q13641,7
P40305,1
P40306,2
Q9NS40,7
Q9HCE1,6
Q9Y6F7,4
Q6XQN6,1
Q02127,2
Q9UKN8,2
P21217,1
Q6ZSJ9,1
Q8IUM7,5
A6NE52,1
Q99956,4
A6NH00,3
Q5XXA6,1
Q9UK39,2
Q9BXJ8,1
Q8NH01,2
Q96CN9,1
Q8NH00,2
Q99848,1
Q8NGF8,2
Q6ZRV2,2
Q96KM6,6
Q7L985,12
Q96CN7,1
Q08380,3
Q96CN5,5
Q8NH06,2
Q03188,4
O15069,1
O15068,7
Q5RKV6,1
Q8NDQ6,11
P33552,1
O15062,5
O15061,1
O15060,5
O15067,3
O15066,1
P10643,4
P48553,2
Q9H9P5,2
Q8NAP8,8
Q9BXJ7,1
Q9BWT1,1
Q8TCD6,3
P07093,1
Q8NAP3,6
Q9NZM5,1
Q8NAP1,1
P07098,4
P07099,3
Q5T6X4,1
Q5T6X5,4
P29083,3
Q14CS0,3
A6NNZ2,4
Q8NGF0,3
E9PI22,1
Q16627,1
Q8N0X4,2
Q12788,4
Q6ZRP0,1
A8MZ59,1
A1A5B4,1
Q5VUM1,1
Q03989,1
Q96NH3,2
Q06609,5
Q2TBF2,2
Q9BR01,3
P16520,2
Q6Q788,1
Q9BQ31,3
Q9NZR1,1
Q9Y294,1
Q9Y295,6
H3BPE5,1
Q12834,2
Q9NUQ3,1
Q9H0W7,1
Q6ICB4,1
Q6ICB0,1
Q6IA17,3
Q99952,2
Q8N6V4,1
P30281,3
P49795,1
Q15937,12
P49796,5
Q9HD45,1
P49790,3
Q9BTN0,10
P49792,12
B0I1T2,3
Q969I3,2
Q6PEZ8,6
P49798,2
Q5JTN6,5
P51116,6
P51114,5
Q92913,2
Q86VD7,1
P35070,6
Q86VD9,1
Q587I9,1
Q9H7L2,4
Q9Y2T5,1
Q9Y2T4,1
O60814,3
O60547,4
O60812,3
O60813,2
O60542,1
O60543,1
O60548,1
Q6ZVK8,1
Q8IU60,2
Q8N8Y5,8
Q495N2,1
Q8N8Y2,1
Q9P2U8,1
Q9NYZ2,1
Q8TB52,3
Q9P0L0,1
P31483,7
Q9P0L2,6
Q8TEA8,1
P49788,1
Q9NYX4,1
Q8N427,4
P49789,2
Q9BZ68,1
Q96LR9,1
Q92738,1
O75420,1
P35251,12
P35250,18
O75425,1
Q08170,4
O75427,6
O75426,3
Q8IY18,4
Q92731,3
Q5VU57,1
Q92734,1
Q587J7,2
Q92736,11
P43026,2
P23109,1
O60609,1
Q4AC94,1
Q00765,1
Q9UH77,8
Q96LR5,3
O60603,8
O60602,10
Q8NBH2,1
Q5BKT4,1
Q8N292,2
O00506,4
O00507,2
O00505,9
P17927,2
O00501,3
Q99612,3
P20132,1
Q8N9C0,10
Q96CX3,12
Q7Z2Y8,2
I3L3M4,2
Q8N2R8,2
P01009,1
P01008,1
Q9BWT6,6
Q9Y4P1,1
Q01581,2
Q8N2R0,8
P02763,2
Q8NGN6,3
Q14088,8
Q13003,5
P08034,2
Q8NGN2,2
Q8NGN3,3
Q13007,2
Q8NGN1,2
Q13009,7
O75391,1
O75390,1
O75396,2
Q8NGN8,2
O75394,1
Q9Y4F9,1
Q8IVD9,2
Q8TE68,5
Q8TE69,1
Q9Y4F1,6
Q8TE67,5
Q9Y4F3,6
Q99075,2
Q9Y4F5,2
Q9Y4F4,4
Q8TE60,9
Q9BSJ1,9
Q8N328,2
Q96R69,3
Q96R67,2
Q5JPB2,4
Q96P09,4
Q7Z6J9,2
Q9BWW9,1
Q9Y2U5,4
P46013,3
Q66K89,6
Q9Y2U2,1
Q8WVD5,8
Q32P51,6
Q8TEC5,11
P0DJJ0,1
Q9UJ71,6
Q9NPG3,2
P98073,8
Q9BSD7,18
O94979,2
P42772,5
P42773,6
Q9BSD3,1
P42771,5
O94972,4
O94973,6
P68543,3
Q9NPG8,1
Q8WXH6,5
Q9Y6X1,1
Q99218,1
P30154,7
Q8WXH0,5
Q8TC07,2
Q8TC05,1
P28838,2
A6NMK7,1
Q9UGC6,1
P62633,4
Q9UI09,1
Q9NVM4,4
Q8N4X5,2
A6NMK8,1
Q96F15,2
Q96JL9,8
Q8NGH7,3
Q8WV15,1
Q9Y2U8,3
Q8WV16,1
Q8WV19,1
Q6UWS5,1
P24903,1
Q9UKB3,2
Q5M8T2,2
A2RUS2,5
Q96DV4,1
Q9H0W9,1
O14894,1
P22760,4
Q6NUI2,1
Q13547,1
P19440,1
Q9NPB6,2
Q9NWK9,1
P19447,5
P26651,2
Q96LZ7,1
Q16518,1
Q2VIR3,4
Q96LZ2,2
Q96LZ3,8
Q16514,5
Q16515,1
Q16512,6
Q16513,6
Q14002,7
Q14003,4
Q14004,3
Q14005,2
Q14008,5
Q9Y4K0,4
O77932,1
Q8TDX7,4
Q8WY21,2
P19224,3
Q8NCW0,3
Q9BV86,10
Q9BTC0,4
Q8NCW5,1
Q9NUT2,12
Q6Y288,4
Q86X02,1
P59282,1
Q9HA77,4
Q7Z6L0,1
Q9Y3A5,2
Q9HA72,1
Q9UFC0,6
Q9NY84,1
O14939,4
O14936,9
O43325,2
O43324,3
O43323,4
O14933,4
O14931,3
I3L4J1,18
P04839,5
P49406,1
Q8NHC4,2
Q9NY33,1
Q96KF7,1
Q0ZLH3,1
Q6TGC4,3
Q8IZJ0,1
Q8IZJ1,8
A0A087WZV8,4
Q8IZJ4,1
Q7Z7F7,1
H0Y354,1
P56937,5
Q9UMS6,3
Q3SY17,1
Q9NY30,1
Q8NH18,2
Q9Y2K9,4
Q9BY21,1
Q9Y2K5,1
Q9Y2K6,4
P29400,2
P37088,1
Q15782,1
Q9BY27,2
Q9Y2K3,6
Q96MT7,1
Q9UHY1,2
Q96MT3,3
Q96MT1,8
Q9UHY7,1
Q9UHY8,2
O14681,1
O14682,9
O14683,1
O14684,1
Q8N1P7,4
O14686,7
Q9Y6G5,2
Q8IV08,4
Q8NH19,2
Q9UNE7,14
Q9UNE2,2
Q9H334,1
Q9UNE0,1
Q6NXN4,1
Q00975,3
Q6FHJ7,2
Q00973,1
Q9NPC8,4
A0A087X0R7,1
Q8N8Z6,4
Q86SZ2,1
Q00978,2
Q6P6B1,1
Q7Z2T5,3
Q8N4S0,2
Q9P0S3,1
P22888,5
Q7L2H7,2
Q9HBI0,2
Q3SYF9,1
P50895,7
P35247,3
Q63HM9,1
P61550,1
P49895,1
P35240,4
A6NJQ4,1
Q14195,5
P35241,4
O95755,6
O95754,2
O95757,2
Q9Y3A0,1
O95750,1
Q8TD57,14
Q06730,11
P13349,3
P01825,5
P01824,1
O95759,2
O95758,3
Q6UY14,3
Q8N394,21
Q9H9T3,2
Q9BWH6,2
P08686,1
Q9BWH2,1
Q8NHV5,3
Q8NHV4,3
Q6YP21,3
P23975,1
Q9ULM3,1
Q6TDP4,8
O60243,1
Q9C0J9,2
Q9C0J8,3
Q8N7C7,8
P05014,1
P05015,1
Q10589,4
Q10588,1
Q9C0J1,2
P05019,1
Q68DK2,2
Q9H2L5,1
P01920,8
O00268,3
O00267,5
O00264,1
Q8N7U7,1
Q8N468,1
P08865,1
P33947,2
P08861,2
Q9H2K0,2
Q7Z3Z4,2
Q9NR34,1
Q7Z3Z0,2
Q7Z3Z3,2
Q7Z3Z2,1
Q9NQ55,1
P56559,8
Q5VWW1,2
Q96NS1,1
P80075,1
Q96RJ3,1
Q9NVP4,12
Q7Z3I7,8
P56557,1
P56556,3
Q9NV29,5
C9IYK1,2
Q9H9E1,5
Q96RA2,3
Q9BQR3,3
Q2M238,1
O95342,18
O95343,2
O95340,6
O95347,5
Q9BY64,5
Q9UJ99,4
Q9UJ96,3
Q6N069,16
Q8IWV8,2
Q9UJ90,1
Q9H0Q3,1
P10451,1
Q86UA6,3
P60174,1
Q8N543,2
Q96HJ9,1
P43234,3
P43235,3
Q14406,1
D6RCP7,3
Q12983,1
P29460,5
Q12981,2
Q12980,2
Q53G59,8
P38398,14
P29466,2
Q9Y605,2
Q12988,1
Q8NAN2,1
Q9Y603,2
Q93100,1
Q8N6M3,2
P28482,3
Q9Y6V0,2
C9JCN9,4
Q9P232,12
Q8N6M5,1
P28336,4
Q8WWN9,2
Q7RTU1,1
P28335,4
P28332,4
Q92831,4
P28330,5
A8MUK1,3
Q9HAU5,2
P62829,1
Q96CU9,6
Q96KQ7,8
P62820,11
Q8N9B8,2
Q5XPI4,7
Q5K4E3,2
P62826,7
P18615,4
Q8N5M9,1
Q9UBM1,1
Q92835,2
P51858,1
P51857,1
P0C7I6,1
P21453,2
Q969I6,1
P0C7I0,3
P02743,2
P02741,2
O43913,5
O43914,1
O43915,1
O43916,2
A0JD32,5
Q9BZE2,1
P02749,2
P02748,4
A0JD36,3
A0JD37,5
Q9BZE4,8
P01210,2
O95967,5
Q5HYW2,1
P01213,1
P01215,1
Q18PE1,1
Q9UKX3,5
Q96QS6,5
Q9UKX7,2
Q8WUA2,4
O95968,1
O95969,1
P43490,1
Q8NHA4,3
Q9H1U4,1
Q9H1U9,1
Q56UQ5,1
F8W810,4
Q9Y6E2,1
Q8TD23,12
Q86V88,3
Q9H987,2
P35626,5
Q9Y6E0,4
P35625,2
Q9NRD1,3
Q9BZG2,1
P45983,6
Q9Y6E7,1
Q8TD22,1
Q9UHD9,5
Q9P1Y5,3
Q96I25,3
Q9ULM6,6
Q9NZP8,3
Q9UHD2,3
Q9UHD1,2
Q9UHD0,2
Q86TB3,4
Q9UHD4,1
Q9UM19,7
Q7Z5G4,1
Q92508,1
Q92506,4
Q92504,1
Q92503,4
Q92502,2
Q8N960,1
Q6IS24,5
Q96I24,6
P08195,2
P23378,3
Q6IE36,7
Q9Y6A4,1
Q8WTP8,2
Q969P0,5
P17482,2
P17483,1
P20309,3
P17481,1
Q8TD20,2
Q6UX15,2
Q49A33,16
P0CB48,3
Q5VZR4,1
Q9C0G0,6
Q5VZR2,2
Q15256,3
Q58EX7,2
Q96HC4,3
Q9Y6A5,1
P0CB47,2
P0CB46,1
Q13214,4
Q6KCM7,8
Q13216,3
Q13217,16
