,Cellular_organisms,Euk_Archaea,Euk+Bac,Eukaryota,Opisthokonta,Eumetazoa,Vertebrata,Mammalia,modeAge,NumDBsContributing,NumDBsFiltered,entropy,NodeError,Bimodality,HGT_flag
A4ZIS8,0.0,0.0,0.0,0.0,0.0,0.666666666667,0.33333333333299997,0.0,Eumetazoa,12,0,0.636514168295,2.19696969697,1.6444444444400002,False
A4ZIT0,0.0,0.0,0.0,0.0,0.0,0.692307692308,0.307692307692,0.0,Eumetazoa,13,0,0.61724176973,1.97435897436,1.4484126984099999,False
A7X5M6,0.0,0.0,0.0,0.0,0.0,0.0,0.923076923077,0.0769230769231,Vertebrata,13,0,0.271189373042,0.692307692308,0.305555555556,False
A8E6D9,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571430001,0.14285714285700002,Vertebrata,7,1,0.410116318288,0.75,1.3125,False
ENSOANP00000000255,0.0,0.0,0.0,0.0909090909091,0.272727272727,0.545454545455,0.0909090909091,0.0,Eumetazoa,11,1,1.12095039267,2.4696969697,-0.0555555555556,False
ENSOANP00000000267,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eumetazoa,12,1,-0.0,2.0,-0.309523809524,False
ENSOANP00000000270,0.166666666667,0.0,0.0,0.08333333333330001,0.0,0.75,0.0,0.0,Eumetazoa,12,0,0.7214636866930001,3.90909090909,0.444444444444,False
ENSOANP00000000394,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Opisthokonta,2,1,-0.0,0.666666666667,,False
ENSOANP00000000396,0.0,0.0,0.0,0.0,0.0,0.916666666667,0.08333333333330001,0.0,Eumetazoa,12,1,0.286835983056,1.89743589744,0.738095238095,False
ENSOANP00000000419,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eumetazoa,11,2,-0.0,1.5641025641,-0.190476190476,False
ENSOANP00000000450,0.0,0.0,0.307692307692,0.46153846153800004,0.0,0.153846153846,0.0,0.0769230769231,Eukaryota,13,0,1.2047933096899999,4.41025641026,0.14285714285700002,True
ENSOANP00000000484,0.153846153846,0.0,0.615384615385,0.0769230769231,0.0,0.153846153846,0.0,0.0,Euk+Bac,13,0,1.07201696856,2.4358974359,-0.170634920635,True
ENSOANP00000000527,0.0,0.0,0.0,0.0,0.166666666667,0.666666666667,0.08333333333330001,0.08333333333330001,Eumetazoa,12,0,0.983087758575,2.54545454545,1.0,False
ENSOANP00000000626,0.0,0.0,0.166666666667,0.583333333333,0.0,0.25,0.0,0.0,Eukaryota,12,0,0.9596147939120001,3.68181818182,1.55555555556,False
ENSOANP00000000628,0.08333333333330001,0.0,0.75,0.0,0.08333333333330001,0.0,0.08333333333330001,0.0,Euk+Bac,12,0,0.836988216786,2.51515151515,-0.277777777778,True
ENSOANP00000000634,0.0,0.0,0.0,0.0,0.14285714285700002,0.28571428571400004,0.0,0.5714285714289999,Mammalia,7,1,0.955699891113,5.42857142857,-1.0666666666700002,False
ENSOANP00000000661,0.0,0.0,0.0,0.0,0.0,0.692307692308,0.307692307692,0.0,Eumetazoa,13,0,0.61724176973,1.92307692308,2.33333333333,False
ENSOANP00000000676,0.0,0.0,0.46153846153800004,0.0,0.0769230769231,0.23076923076900002,0.23076923076900002,0.0,Euk+Bac,13,0,1.23093162305,5.38461538462,6.3373015873,True
