,Cellular_organisms,Euk_Archaea,Euk+Bac,Eukaryota,Opisthokonta,Eumetazoa,Protostomia,Ecdysozoa,Arthropoda,modeAge,NumDBsContributing,NumDBsFiltered,entropy,NodeError,Bimodality,HGT_flag
A0NB15,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,Eumetazoa,5,0,0.500402423538,2.0,-0.833333333333,False
A0NB17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Eumetazoa,1,0,-0.0,None,,False
A0NB77,0.166666666667,0.0,0.666666666667,0.0,0.08333333333330001,0.0,0.0,0.0,0.08333333333330001,Euk+Bac,12,0,0.983087758575,2.81818181818,1.66451612903,True
A0NB79,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Eukaryota,2,1,-0.0,1.33333333333,,False
A0NB86,0.0,0.0,0.0,0.666666666667,0.166666666667,0.0,0.0,0.0,0.166666666667,Eukaryota,6,0,0.8675632284810001,3.73333333333,-1.57142857143,False
A0NBA0,0.0,0.0,0.0,0.272727272727,0.545454545455,0.0909090909091,0.0,0.0,0.0909090909091,Opisthokonta,11,0,1.12095039267,2.47272727273,-0.744708994709,False
A0NBA8,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,Eumetazoa,4,1,0.6931471805600001,5.4,-2.25,False
A0NBA9,0.0,0.0,0.0,0.38461538461499994,0.38461538461499994,0.153846153846,0.0,0.0,0.0769230769231,Opisthokonta,13,0,1.22028216627,3.02564102564,1.5952380952399998,False
A0NBB2,0.1,0.0,0.0,0.2,0.0,0.6,0.0,0.0,0.1,Eumetazoa,10,0,1.08889997535,4.06666666667,0.214285714286,False
A0NBB4,0.0,0.0,0.0,0.25,0.125,0.5,0.0,0.0,0.125,Eumetazoa,8,0,1.21300756598,3.10714285714,-0.1875,False
A0NBB7,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.375,Eumetazoa,8,0,0.661563238158,2.39285714286,-0.33333333333299997,False
A0NBB9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Arthropoda,4,0,-0.0,0.5,,False
A0NBC0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Arthropoda,4,0,-0.0,0.5,,False
A0NBC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Arthropoda,6,0,-0.0,0.533333333333,-0.2,False
A0NBC3,0.0,0.0,0.0,0.166666666667,0.0,0.75,0.0,0.0,0.08333333333330001,Eumetazoa,12,1,0.7214636866930001,2.53846153846,-0.18650793650800002,False
A0NBC4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Arthropoda,1,0,-0.0,None,,False
A0NBC5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Arthropoda,2,0,-0.0,0.0,,False
A0NBC9,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.4,Eumetazoa,5,1,1.05492016799,6.4,,False
A0NBD9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Arthropoda,6,0,-0.0,0.0,0.0,False
A0NBE1,0.0,0.0,0.0,0.222222222222,0.222222222222,0.555555555556,0.0,0.0,0.0,Eumetazoa,9,0,0.99502699018,2.44444444444,-0.222222222222,False
A0NBE9,0.0,0.0,0.0,0.428571428571,0.0,0.5714285714289999,0.0,0.0,0.0,Eumetazoa,7,1,0.6829081047,3.28571428571,-0.5714285714289999,False
A0NBF1,0.0,0.0,0.0,0.111111111111,0.0,0.555555555556,0.0,0.0,0.33333333333299997,Eumetazoa,9,0,0.9368883075390001,2.94444444444,-0.2125,False
A0NBF2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Eumetazoa,11,1,-0.0,0.166666666667,0.0709677419355,False
A0NBF6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Arthropoda,3,0,-0.0,0.0,,False
A0NBF7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Eukaryota,1,1,-0.0,2.0,,False
A0NBF8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Eukaryota,1,1,-0.0,2.0,,False
A0NBF9,0.0,0.0,0.0,0.33333333333299997,0.0,0.666666666667,0.0,0.0,0.0,Eumetazoa,3,1,0.636514168295,3.66666666667,4.0,False
