,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RSD,EggNOG,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB
Q8TEA1,37,24,19,17,22,33,20,38,16,25,39,40,41
A6NIH7,10,27,26,12,22,23,21,22,21,26,22,22,25
Q96HJ5,1,1,1,0,1,1,1,1,5,4,16,5,5
O94913,10,7,1,6,8,2,8,5,20,5,8,11,1
P37837,18,25,29,26,4,12,22,15,25,14,15,17,15
A4IF30,0,6,0,0,0,15,2,2,14,15,5,9,10
Q7RTZ2,1,1,38,1,1,1,1,22,24,26,9,22,25
Q96EG1,10,2,10,2,9,9,9,50,10,1,49,48,19
P06858,0,1,0,5,0,6,4,1,24,9,2,4,0
Q6ZMU5,0,0,0,0,1,1,1,1,25,2,48,8,8
Q8WXA2,0,0,0,0,0,0,1,0,0,0,4,1,4
Q709C8,10,27,12,18,4,18,6,6,13,20,9,3,10
O95672,2,2,2,1,1,51,2,42,42,46,38,41,42
Q6ZS30,5,24,9,24,9,22,19,17,9,1,18,18,15
O00299,3,3,24,2,2,24,2,20,16,19,36,17,16
Q8NGN4,0,0,1,0,2,2,1,0,4,2,7,3,4
Q8NEP4,2,2,2,2,1,2,1,2,2,2,1,2,2
Q7Z5G4,2,6,0,0,4,14,0,3,4,4,4,4,15
Q16600,3,3,3,3,3,2,1,2,32,1,21,15,9
P84022,3,3,2,1,3,6,4,7,3,6,3,2,3
P61925,0,0,0,0,4,0,3,0,0,0,4,3,0
Q8N9G6,0,0,0,0,0,0,1,0,0,3,28,3,7
P49368,11,30,16,7,3,26,27,4,3,2,6,6,5
P05091,7,42,44,48,1,31,26,20,20,45,23,36,16
Q8N1N0,0,0,0,0,2,27,1,0,28,10,5,23,8
P23759,3,4,2,2,4,8,7,4,4,4,17,14,19
Q9HCG1,0,1,10,0,2,1,1,1,28,4,16,17,19
Q6IF42,2,2,1,2,1,15,1,2,5,2,2,2,1
P59539,0,0,0,0,0,2,1,4,3,5,2,4,12
P0DJD8,1,1,1,1,5,4,14,13,26,5,10,23,27
Q02818,1,9,0,2,1,7,3,3,3,8,20,12,3
Q8N7C7,3,3,10,12,3,29,1,16,34,27,37,19,23
O95433,3,9,12,15,31,5,7,5,6,6,31,6,5
