,Cellular_organisms,Euk_Archaea,Euk+Bac,Eukaryota,Opisthokonta,Dikarya,Ascomycota,Saccharomyceta,modeAge,NumDBsContributing,NumDBsFiltered,entropy,NodeError,Bimodality,HGT_flag
O00086,0.416666666667,0.0,0.416666666667,0.08333333333330001,0.0,0.08333333333330001,0.0,0.0,Cellular_organisms,12,1,1.14370838943,1.28205128205,0.05952380952380001,False
O13289,0.0,0.0,0.916666666667,0.0,0.0,0.0,0.08333333333330001,0.0,Euk+Bac,12,1,0.286835983056,1.07692307692,0.19444444444400003,False
O13332,0.0,0.0,0.5,0.0,0.25,0.25,0.0,0.0,Euk+Bac,12,0,1.0397207708399998,3.13636363636,1.29124423963,False
O42617,0.0,0.0,0.0,0.8181818181820001,0.181818181818,0.0,0.0,0.0,Eukaryota,11,0,0.474139313058,0.981818181818,1.05555555556,False
O42766,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,12,1,-0.0,0.0,0.0,False
O42817,0.166666666667,0.666666666667,0.0,0.166666666667,0.0,0.0,0.0,0.0,Euk_Archaea,12,1,0.8675632284810001,0.666666666667,-0.103174603175,False
O42825,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,Opisthokonta,12,1,0.6931471805600001,1.5641025641,0.119047619048,False
O43101,0.5,0.33333333333299997,0.0,0.166666666667,0.0,0.0,0.0,0.0,Cellular_organisms,12,1,1.0114042647100001,0.820512820513,-0.126984126984,False
O43133,0.0,0.916666666667,0.0,0.08333333333330001,0.0,0.0,0.0,0.0,Euk_Archaea,12,1,0.286835983056,0.435897435897,-0.015873015873,False
O59924,0.615384615385,0.0769230769231,0.0769230769231,0.23076923076900002,0.0,0.0,0.0,0.0,Cellular_organisms,13,0,1.03176711135,1.38461538462,0.0436507936508,False
O59931,0.0,0.166666666667,0.0,0.833333333333,0.0,0.0,0.0,0.0,Eukaryota,12,1,0.45056120886600004,0.564102564103,0.0674603174603,False
O59933,0.0,0.0,0.33333333333299997,0.5,0.166666666667,0.0,0.0,0.0,Eukaryota,6,7,1.0114042647100001,2.46153846154,1.06349206349,False
O74161,0.0,0.0,0.0,0.0769230769231,0.23076923076900002,0.538461538462,0.0,0.153846153846,Dikarya,13,0,1.15698764435,1.76923076923,0.190476190476,False
O74189,0.0,0.0,0.0,0.416666666667,0.25,0.33333333333299997,0.0,0.0,Eukaryota,12,1,1.07755632707,2.28205128205,0.162698412698,False
O74198,0.38461538461499994,0.0,0.153846153846,0.46153846153800004,0.0,0.0,0.0,0.0,Eukaryota,13,0,1.0123308390999999,1.35897435897,0.253968253968,False
O74201,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,12,1,-0.0,0.461538461538,-0.07142857142860001,False
O74261,0.583333333333,0.08333333333330001,0.0,0.33333333333299997,0.0,0.0,0.0,0.0,Cellular_organisms,12,1,0.887694275799,0.974358974359,-0.0992063492063,False
O74657,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25,Opisthokonta,4,4,0.562335144619,1.82142857143,-0.046153846153800006,False
