,Cellular_organisms,Euk_Archaea,Euk+Bac,Eukaryota,Opisthokonta,Eumetazoa,Vertebrata,Mammalia,modeAge,NumDBsContributing,NumDBsFiltered,entropy,NodeError,Bimodality,HGT_flag
A0A0A0MQ67,0.0,0.0,0.0,0.0,0.0,0.272727272727,0.7272727272730001,0.0,Vertebrata,11,1,0.585952618304,2.07575757576,1.17777777778,False
A0A0B4J1D8,0.0,0.0,0.0,0.0,0.0,0.45454545454499995,0.545454545455,0.0,Vertebrata,11,2,0.689009238477,1.35897435897,0.0992063492063,False
A0A0B4J1D9,0.0,0.0,0.0,0.0,0.0,0.0,0.7272727272730001,0.272727272727,Vertebrata,11,0,0.585952618304,1.74545454545,2.55555555556,False
A2BDG4,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.625,Mammalia,8,0,0.661563238158,2.14285714286,0.553846153846,False
A2BDH5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Mammalia,11,0,-0.0,0.0,0.0,False
A4UMC6,0.0,0.0,0.0,0.846153846154,0.0,0.0,0.153846153846,0.0,Eukaryota,13,0,0.42932302193099997,2.82051282051,1.11111111111,False
A7XYI3,0.0,0.0,0.0,0.0,0.0,0.833333333333,0.166666666667,0.0,Eumetazoa,12,1,0.45056120886600004,2.30769230769,0.0555555555556,False
A8E6E8,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.375,Vertebrata,8,1,0.661563238158,1.88888888889,1.22222222222,False
A8E6F2,0.0,0.0,0.0,0.0,0.0,0.0,0.666666666667,0.33333333333299997,Vertebrata,12,0,0.636514168295,2.0303030303,2.13333333333,False
D7URV5,0.0,0.0,0.0,0.0,0.0,0.0,0.363636363636,0.636363636364,Mammalia,11,0,0.655481773901,2.07272727273,1.67333333333,False
ENSMODP00000000061,0.0,0.0,0.0,0.538461538462,0.153846153846,0.0,0.307692307692,0.0,Eukaryota,13,0,0.983961446001,4.97435897436,3.87301587302,False
ENSMODP00000000119,0.0,0.0769230769231,0.0,0.692307692308,0.0769230769231,0.0,0.153846153846,0.0,Eukaryota,13,0,0.937155853066,3.23076923077,1.61507936508,False
ENSMODP00000000155,0.0,0.0,0.0,0.692307692308,0.0,0.0769230769231,0.23076923076900002,0.0,Eukaryota,13,0,0.790267968075,4.12820512821,3.69444444444,False
ENSMODP00000000159,0.0,0.0,0.0,0.0,0.0,0.0,0.0909090909091,0.909090909091,Mammalia,11,1,0.304636097349,2.40909090909,0.2,False
ENSMODP00000000162,0.0,0.0,0.0,0.0,0.0,0.916666666667,0.08333333333330001,0.0,Eumetazoa,12,1,0.286835983056,1.69230769231,-0.0555555555556,False
ENSMODP00000000218,0.0,0.125,0.0,0.375,0.125,0.125,0.25,0.0,Eukaryota,8,1,1.49417513829,5.05555555556,4.825,False
ENSMODP00000000227,0.0,0.0,0.08333333333330001,0.25,0.08333333333330001,0.25,0.33333333333299997,0.0,Vertebrata,12,1,1.4735023850799998,4.76923076923,2.25396825397,False
ENSMODP00000000268,0.0,0.0,0.0,0.916666666667,0.0,0.08333333333330001,0.0,0.0,Eukaryota,12,1,0.286835983056,1.38461538462,0.301587301587,False
ENSMODP00000000272,0.0,0.0,0.0,0.0909090909091,0.545454545455,0.272727272727,0.0909090909091,0.0,Opisthokonta,11,2,1.12095039267,3.76923076923,-0.37698412698399997,False
ENSMODP00000000289,0.0,0.0,0.0,0.0,0.0,0.363636363636,0.636363636364,0.0,Vertebrata,11,1,0.655481773901,2.57575757576,0.933333333333,False
ENSMODP00000000316,0.0,0.0,0.0,0.0,0.0,0.615384615385,0.38461538461499994,0.0,Eumetazoa,13,0,0.666278442415,1.58974358974,0.166666666667,False
ENSMODP00000000317,0.0,0.0,0.0,0.0,0.0769230769231,0.538461538462,0.0769230769231,0.307692307692,Eumetazoa,13,0,1.09059947378,4.25641025641,4.75793650794,False
ENSMODP00000000340,0.714285714286,0.0,0.28571428571400004,0.0,0.0,0.0,0.0,0.0,Cellular_organisms,7,0,0.598269588585,0.0,,False
ENSMODP00000000355,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.625,Mammalia,8,0,0.661563238158,3.78571428571,-0.08333333333330001,False
ENSMODP00000000382,0.0,0.0,0.0909090909091,0.0,0.0,0.8181818181820001,0.0909090909091,0.0,Eumetazoa,11,1,0.60016607316,3.42424242424,1.2666666666700002,False
ENSMODP00000000397,0.2,0.0,0.2,0.1,0.1,0.3,0.0,0.1,Eumetazoa,10,0,1.6957425341699999,5.53333333333,2.0357142857099997,False
ENSMODP00000000411,0.0,0.0,0.0769230769231,0.692307692308,0.0,0.0,0.23076923076900002,0.0,Eukaryota,13,0,0.790267968075,4.05128205128,2.8293650793700005,False
ENSMODP00000000442,0.0769230769231,0.0,0.846153846154,0.0769230769231,0.0,0.0,0.0,0.0,Euk+Bac,13,0,0.5359610497089999,0.307692307692,-0.047619047619,True
