,Cellular_organisms,Euk_Archaea,Euk+Bac,Eukaryota,Opisthokonta,Eumetazoa,Vertebrata,Mammalia,modeAge,NumDBsContributing,NumDBsFiltered,entropy,NodeError,Bimodality,HGT_flag
A0A077S9R2,0.0,0.0,0.0,0.33333333333299997,0.0,0.666666666667,0.0,0.0,Eumetazoa,9,1,0.636514168295,3.13333333333,0.107142857143,False
A0A096P6K5,0.0,0.0,0.0,0.0,0.0,0.75,0.125,0.125,Eumetazoa,8,0,0.7356219397589999,2.64285714286,4.125,False
A0A0A0MPA8,0.0,0.0,0.166666666667,0.33333333333299997,0.166666666667,0.166666666667,0.166666666667,0.0,Eukaryota,12,1,1.56071040904,4.89743589744,1.15079365079,False
A0A0A0MPB0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eumetazoa,13,0,-0.0,0.282051282051,-0.0436507936508,False
A0A0A0MPB1,0.0,0.0,0.0,0.0,0.0,0.5,0.125,0.375,Eumetazoa,8,1,0.9743147528689999,5.72222222222,4.88888888889,False
A0A0A0MPB2,0.846153846154,0.0,0.0769230769231,0.0769230769231,0.0,0.0,0.0,0.0,Cellular_organisms,13,0,0.5359610497089999,0.461538461538,-0.07142857142860001,False
A0A0A0MPB3,0.0,0.0769230769231,0.0,0.615384615385,0.0,0.0,0.307692307692,0.0,Eukaryota,13,0,0.8587409130060001,4.92307692308,4.19047619048,False
A0A0A0MPB5,0.0,0.0,0.0,0.0,0.0,0.583333333333,0.416666666667,0.0,Eumetazoa,12,1,0.6791932659919999,3.10256410256,3.23412698413,False
A0A0A0MPB7,0.0,0.0,0.0,0.75,0.08333333333330001,0.08333333333330001,0.08333333333330001,0.0,Eukaryota,12,1,0.836988216786,3.15384615385,1.7301587301599997,False
A0A0A0MPB8,0.0,0.0,0.0,0.583333333333,0.08333333333330001,0.08333333333330001,0.25,0.0,Eukaryota,12,1,1.07513932401,3.94871794872,3.56746031746,False
A0A0A0MPB9,0.0,0.0,0.0,0.0,0.0,0.545454545455,0.272727272727,0.181818181818,Eumetazoa,11,1,0.994923632572,3.37878787879,3.2,False
A0A0A0MPC1,0.0,0.0,0.0,0.307692307692,0.0,0.615384615385,0.0769230769231,0.0,Eumetazoa,13,0,0.8587409130060001,3.51282051282,1.9841269841299998,False
A0A0A0MPC2,0.166666666667,0.0,0.0,0.0,0.0,0.75,0.08333333333330001,0.0,Eumetazoa,12,1,0.7214636866930001,3.84615384615,0.07539682539680001,False
A0A0A0MPC3,0.0,0.0,0.0,0.08333333333330001,0.0,0.833333333333,0.08333333333330001,0.0,Eumetazoa,12,1,0.56608573896,2.87179487179,0.4325396825399999,False
A0A0A0MPC4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,12,1,-0.0,0.307692307692,-0.047619047619,False
A0A0A0MPC5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,12,1,-0.0,0.512820512821,0.230158730159,False
A0A0A0MPC6,0.0,0.0,0.0,0.0,0.307692307692,0.46153846153800004,0.23076923076900002,0.0,Eumetazoa,13,0,1.0579054247,2.71794871795,0.0952380952381,False
A0A0A0MPC7,0.0,0.0,0.0,0.0,0.0,0.416666666667,0.583333333333,0.0,Vertebrata,12,1,0.6791932659919999,2.79487179487,0.289682539683,False
A0A0A0MPC8,0.0,0.0,0.0,0.0,0.0,0.769230769231,0.23076923076900002,0.0,Eumetazoa,13,0,0.5402041423889999,1.69230769231,0.666666666667,False
A0A0A0MPC9,0.0,0.0,0.0,0.615384615385,0.0,0.0769230769231,0.307692307692,0.0,Eukaryota,13,0,0.8587409130060001,4.46153846154,5.5,False
A0A0A0MPD0,0.38461538461499994,0.0,0.46153846153800004,0.153846153846,0.0,0.0,0.0,0.0,Euk+Bac,13,0,1.0123308390999999,0.717948717949,-0.00793650793651,False
A0A0A0MPD1,0.0,0.0,0.0,0.538461538462,0.23076923076900002,0.0769230769231,0.153846153846,0.0,Eukaryota,13,0,1.15698764435,3.07692307692,1.9484126984099999,False
A0A0A0MPD2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Euk_Archaea,13,0,-0.0,0.0,0.0,False
A0A0A0MPD3,0.307692307692,0.0,0.38461538461499994,0.307692307692,0.0,0.0,0.0,0.0,Euk+Bac,13,0,1.0928305535299998,1.07692307692,-0.11507936507899999,False
A0A0A0MPD4,0.0,0.0,0.0,0.272727272727,0.181818181818,0.45454545454499995,0.0909090909091,0.0,Eumetazoa,11,0,1.2406842919499999,2.58181818182,0.04,False
A0A0A0MPD6,0.0,0.0,0.0,0.923076923077,0.0,0.0769230769231,0.0,0.0,Eukaryota,13,0,0.271189373042,1.20512820513,-0.031746031746,False
A0A0A0MPD8,0.0,0.0,0.0,0.0,0.0,0.769230769231,0.23076923076900002,0.0,Eumetazoa,13,0,0.5402041423889999,1.97435897436,0.72619047619,False
A0A0A0MPD9,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,Eukaryota,12,1,0.562335144619,1.61538461538,-0.0436507936508,False
A0A0A0MPE0,0.08333333333330001,0.416666666667,0.0,0.33333333333299997,0.0,0.08333333333330001,0.08333333333330001,0.0,Euk_Archaea,12,1,1.3522093992299997,3.30769230769,1.13888888889,False
A0A0B4J194,0.0,0.0,0.769230769231,0.23076923076900002,0.0,0.0,0.0,0.0,Euk+Bac,13,0,0.5402041423889999,0.769230769231,-0.015873015873,False
A0A0B4J195,0.0,0.0,0.615384615385,0.23076923076900002,0.153846153846,0.0,0.0,0.0,Euk+Bac,13,0,0.925129083572,1.87179487179,0.32936507936500004,False
A0A0B4J196,0.23076923076900002,0.0,0.615384615385,0.0,0.0,0.0769230769231,0.0769230769231,0.0,Euk+Bac,13,0,1.03176711135,2.84615384615,-0.337301587302,True
A0A0B4J197,0.153846153846,0.0,0.38461538461499994,0.0,0.0769230769231,0.153846153846,0.23076923076900002,0.0,Euk+Bac,13,0,1.47913280743,5.38461538462,1.02380952381,False
A0A0B4J198,0.0,0.0,0.0,0.0,0.0,0.33333333333299997,0.666666666667,0.0,Vertebrata,12,1,0.636514168295,2.17948717949,0.5912698412699999,False
A0A0B4J1A0,0.0,0.0,0.0,0.916666666667,0.0,0.08333333333330001,0.0,0.0,Eukaryota,12,1,0.286835983056,0.615384615385,0.111111111111,False
A0M8V0,0.0,0.0,0.0,0.75,0.0,0.0,0.25,0.0,Eukaryota,12,1,0.562335144619,3.89743589744,2.3373015873,False
A1DZY5,0.0,0.0,0.0,0.0,0.0,0.923076923077,0.0769230769231,0.0,Eumetazoa,13,0,0.271189373042,0.846153846154,-0.0277777777778,False
A1E2V0,0.0,0.0,0.0,0.166666666667,0.33333333333299997,0.25,0.08333333333330001,0.166666666667,Opisthokonta,12,1,1.51710639706,5.33333333333,3.1468253968299997,False
A1EAA2,0.0,0.0,0.0,0.363636363636,0.0909090909091,0.181818181818,0.363636363636,0.0,Vertebrata,11,0,1.26365443188,4.61818181818,4.43333333333,False
A1XD97,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,12,1,-0.0,0.153846153846,0.0277777777778,False
A1YQ91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Mammalia,12,0,-0.0,0.0,0.0,False
A1YV64,0.0,0.0,0.0,0.0,0.0,0.272727272727,0.363636363636,0.363636363636,Mammalia,11,1,1.09005965871,3.80303030303,3.0,False
A2IBY9,0.0,0.25,0.0,0.0,0.0,0.08333333333330001,0.666666666667,0.0,Vertebrata,12,1,0.8239592165009999,4.87179487179,-0.031746031746,False
A2SXS5,0.0,0.0,0.0,0.538461538462,0.0,0.46153846153800004,0.0,0.0,Eukaryota,13,0,0.6901856760189999,2.30769230769,-0.305555555556,False
A2SXS6,0.0,0.0,0.0,0.0,0.0,0.846153846154,0.153846153846,0.0,Eumetazoa,13,0,0.42932302193099997,1.66666666667,-0.103174603175,False
A2SXS7,0.0,0.0,0.0,0.923076923077,0.0,0.0769230769231,0.0,0.0,Eukaryota,13,0,0.271189373042,1.15384615385,0.0793650793651,False
A3RLE1,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.833333333333,0.0,Vertebrata,12,1,0.45056120886600004,2.15384615385,-0.0238095238095,False
A4GT58,0.0,0.0,0.0,0.769230769231,0.153846153846,0.0,0.0769230769231,0.0,Eukaryota,13,0,0.6870920273800001,2.35897435897,0.150793650794,False
A4GXA4,0.0,0.0,0.0,0.0,0.0,0.0909090909091,0.272727272727,0.636363636364,Mammalia,11,1,0.859967281036,3.01515151515,1.8,False
A5H028,0.0,0.0,0.0,0.363636363636,0.0,0.0,0.636363636364,0.0,Vertebrata,11,1,0.655481773901,6.12121212121,1.8111111111099998,False
A5H7G8,0.0,0.0,0.0,0.0,0.0,0.583333333333,0.33333333333299997,0.08333333333330001,Eumetazoa,12,1,0.887694275799,2.4358974359,2.30555555556,False
A7E3K7,0.0,0.0,0.0,0.75,0.08333333333330001,0.166666666667,0.0,0.0,Eukaryota,12,1,0.7214636866930001,2.79487179487,1.57936507937,False
A7E3M4,0.0,0.0,0.0,0.23076923076900002,0.615384615385,0.153846153846,0.0,0.0,Opisthokonta,13,0,0.925129083572,1.05128205128,-0.00793650793651,False
A7E3N1,0.0,0.0,0.0,0.38461538461499994,0.307692307692,0.307692307692,0.0,0.0,Eukaryota,13,0,1.0928305535299998,2.35897435897,-0.365079365079,False
A8C750,0.0,0.0,0.0,0.916666666667,0.0,0.0,0.08333333333330001,0.0,Eukaryota,12,1,0.286835983056,1.89743589744,0.222222222222,False
