,Cellular_organisms,Euk_Archaea,Euk+Bac,Eukaryota,Opisthokonta,Eumetazoa,Vertebrata,Mammalia,modeAge,NumDBsContributing,NumDBsFiltered,entropy,NodeError,Bimodality,HGT_flag
A0A096P6K3,0.0,0.0,0.0,0.0,0.0,0.111111111111,0.444444444444,0.444444444444,Mammalia,9,1,0.9649629230069999,5.04444444444,2.58333333333,False
A0A096P6K4,0.0,0.0,0.0,0.714285714286,0.14285714285700002,0.14285714285700002,0.0,0.0,Eukaryota,7,1,0.7963116401739999,2.17857142857,1.7291666666699999,False
A0A0A0MP85,0.0,0.0,0.0,0.0,0.0,0.636363636364,0.363636363636,0.0,Eumetazoa,11,0,0.655481773901,2.07272727273,1.96666666667,False
A0A0A0MP87,0.0,0.0,0.0,0.23076923076900002,0.0,0.46153846153800004,0.307692307692,0.0,Eumetazoa,13,0,1.0579054247,3.61538461538,1.14285714286,False
A0A0A0MP88,0.375,0.0,0.25,0.0,0.0,0.0,0.25,0.125,Cellular_organisms,8,0,1.32088834315,7.32142857143,7.19047619048,False
A0A0A0MP89,0.33333333333299997,0.0,0.08333333333330001,0.0,0.0,0.08333333333330001,0.25,0.25,Cellular_organisms,12,0,1.4735023850799998,7.71212121212,5.29677419355,False
A0A0A0MP90,0.0,0.0,0.0,0.5,0.0,0.125,0.25,0.125,Eukaryota,8,1,1.21300756598,6.05555555556,4.777777777780001,False
A0A0A0MP91,0.0,0.0,0.0,0.0769230769231,0.0769230769231,0.538461538462,0.307692307692,0.0,Eumetazoa,13,0,1.09059947378,2.74358974359,2.0,False
A0A0A0MP93,0.0,0.0,0.0,0.5714285714289999,0.0,0.0,0.28571428571400004,0.14285714285700002,Eukaryota,7,1,0.955699891113,6.39285714286,7.1875,False
A0A0A0MP95,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Vertebrata,9,1,-0.0,0.0,0.0,False
A0A0A0MP97,0.153846153846,0.0,0.538461538462,0.0,0.0769230769231,0.0,0.23076923076900002,0.0,Euk+Bac,13,0,1.15698764435,4.92307692308,3.7777777777800003,True
A0A0A0MP98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Mammalia,10,0,-0.0,0.0,0.0,False
A0A0A0MP99,0.0,0.0,0.5,0.125,0.0,0.25,0.125,0.0,Euk+Bac,8,0,1.21300756598,5.39285714286,6.020833333330001,False
A0A0A0MPA1,0.0,0.0,0.0,0.0,0.0,0.33333333333299997,0.5,0.166666666667,Vertebrata,6,1,1.0114042647100001,3.2380952381,5.5,False
A0A0A0MPA2,0.0,0.0,0.0,0.7,0.1,0.0,0.2,0.0,Eukaryota,10,0,0.8018185525429999,4.13333333333,0.46428571428599996,False
A0A0A0MPA3,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,Vertebrata,5,1,0.6730116670090001,1.6,-0.214285714286,False
A0A0A0MPA5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Mammalia,6,0,-0.0,0.666666666667,2.0,False
A0A0A0MPA6,0.0,0.0,0.0,0.0,0.0,0.0,0.666666666667,0.33333333333299997,Vertebrata,3,0,0.636514168295,2.0,,False
A0A0A0MPA7,0.0,0.28571428571400004,0.0,0.714285714286,0.0,0.0,0.0,0.0,Eukaryota,7,0,0.598269588585,0.761904761905,,False
A0A0B4J191,0.0,0.0,0.0,0.0,0.08333333333330001,0.166666666667,0.166666666667,0.583333333333,Mammalia,12,0,1.1187433359899999,4.45454545455,1.68888888889,False
A0JBZ9,0.0,0.0,0.0,0.28571428571400004,0.14285714285700002,0.428571428571,0.0,0.14285714285700002,Eumetazoa,7,0,1.2770342594700002,4.38095238095,7.4,False
A0JN36,0.166666666667,0.166666666667,0.25,0.416666666667,0.0,0.0,0.0,0.0,Eukaryota,12,0,1.3086053872499999,1.4696969697,-0.17777777777800002,False
A0JN38,0.0,0.0,0.0,0.692307692308,0.0,0.307692307692,0.0,0.0,Eukaryota,13,0,0.61724176973,2.64102564103,-0.150793650794,False
A0JN39,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,13,0,-0.0,0.0,0.0,False
A0JN40,0.0,0.0,0.0,0.692307692308,0.0,0.0769230769231,0.23076923076900002,0.0,Eukaryota,13,0,0.790267968075,3.84615384615,1.4166666666699999,False
