,Cellular_organisms,Euk_Archaea,Euk+Bac,Eukaryota,Opisthokonta,Eumetazoa,modeAge,NumDBsContributing,NumDBsFiltered,entropy,NodeError,Bimodality,HGT_flag
A1XDA5,0.0,0.0,0.0,0.5,0.125,0.375,Eukaryota,8,0,0.9743147528689999,2.21428571429,0.11282051282099999,False
A2SY09,0.0,0.25,0.0,0.625,0.0,0.125,Eukaryota,8,0,0.900256051269,2.46428571429,6.04761904762,False
A7BK23,0.416666666667,0.0,0.25,0.166666666667,0.08333333333330001,0.08333333333330001,Cellular_organisms,12,0,1.4241299173500002,2.69696969697,-0.14562211981599998,False
B1H3L8,0.0,0.0,0.46153846153800004,0.0769230769231,0.23076923076900002,0.23076923076900002,Euk+Bac,13,0,1.23093162305,4.07692307692,-0.47619047618999993,False
B5UA19,0.0,0.0,0.0,0.0,0.0769230769231,0.923076923077,Eumetazoa,13,0,0.271189373042,0.846153846154,0.642857142857,False
C4B8W8,0.0,0.0,0.0,0.692307692308,0.23076923076900002,0.0769230769231,Eukaryota,13,0,0.790267968075,2.0,-0.103174603175,False
C4B8W9,0.08333333333330001,0.0,0.0,0.33333333333299997,0.5,0.08333333333330001,Opisthokonta,12,1,1.1269287948,2.87179487179,-0.134920634921,False
C4B8X0,0.08333333333330001,0.0,0.0,0.75,0.0,0.166666666667,Eukaryota,12,1,0.7214636866930001,1.97435897436,-0.20238095238099998,False
C4B8X1,0.0,0.0,0.0,0.125,0.0,0.875,Eumetazoa,8,1,0.37677016125600005,2.22222222222,0.6883116883120001,False
C4B8X2,0.153846153846,0.0,0.153846153846,0.538461538462,0.153846153846,0.0,Eukaryota,13,0,1.19723750156,2.23076923077,0.119047619048,False
C4B8X4,0.0,0.0,0.0,0.923076923077,0.0769230769231,0.0,Eukaryota,13,0,0.271189373042,0.615384615385,0.111111111111,False
C4B8X5,0.0,0.0,0.0909090909091,0.909090909091,0.0,0.0,Eukaryota,11,1,0.304636097349,0.772727272727,0.133333333333,False
C4B8X6,0.0,0.0,0.0,0.666666666667,0.166666666667,0.166666666667,Eukaryota,12,1,0.8675632284810001,2.64102564103,2.01587301587,False
D2KU21,0.0,0.0,0.307692307692,0.0,0.0769230769231,0.615384615385,Eumetazoa,13,0,0.8587409130060001,4.33333333333,0.0515873015873,False
D2KZ69,0.0,0.0,0.0,0.0,0.111111111111,0.888888888889,Eumetazoa,9,0,0.34883209584299996,1.44444444444,0.777777777778,False
E7FIY7,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,5,1,-0.0,1.53333333333,0.46428571428599996,False
E7FIZ4,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,6,1,-0.0,3.52380952381,1.29090909091,False
ENSCINP00000000005,0.0,0.0,0.0,0.153846153846,0.38461538461499994,0.46153846153800004,Eumetazoa,13,0,1.0123308390999999,1.20512820513,0.380952380952,False
ENSCINP00000000007,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,1,2,-0.0,4.66666666667,,False
ENSCINP00000000009,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,10,0,-0.0,0.911111111111,-0.16,False
ENSCINP00000000010,0.0,0.0,0.0,0.222222222222,0.444444444444,0.33333333333299997,Opisthokonta,9,0,1.06085694716,2.94444444444,2.19480519481,False
ENSCINP00000000012,0.0,0.0,0.0,0.25,0.0,0.75,Eumetazoa,8,0,0.562335144619,2.64285714286,-0.523076923077,False
ENSCINP00000000014,0.0,0.0,0.0,0.777777777778,0.0,0.222222222222,Eukaryota,9,0,0.529706199058,2.22222222222,-0.777777777778,False
ENSCINP00000000032,0.0,0.0,0.0,0.5,0.25,0.25,Eukaryota,12,0,1.0397207708399998,2.33333333333,-0.12222222222200001,False
ENSCINP00000000036,0.0,0.0,0.0,0.916666666667,0.08333333333330001,0.0,Eukaryota,12,1,0.286835983056,0.461538461538,0.08333333333330001,False
ENSCINP00000000039,0.2,0.2,0.0,0.4,0.0,0.2,Eukaryota,10,1,1.33217904021,3.2,2.28439153439,False
ENSCINP00000000043,0.0,0.0,0.0,0.8,0.1,0.1,Eukaryota,10,0,0.6390318596500001,1.37777777778,0.27380952380999996,False
ENSCINP00000000047,0.0,0.0,0.0,0.0,0.2,0.8,Eumetazoa,5,0,0.500402423538,2.6,2.66666666667,False
ENSCINP00000000055,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,1,1,-0.0,0.0,,False
ENSCINP00000000063,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,1,2,-0.0,0.0,0.0,False
ENSCINP00000000064,0.0,0.0,0.0,0.75,0.25,0.0,Eukaryota,4,0,0.562335144619,1.83333333333,,False
ENSCINP00000000068,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,7,1,-0.0,2.28571428571,-0.902564102564,False
ENSCINP00000000078,0.0,0.0,0.0,0.875,0.0,0.125,Eukaryota,8,0,0.37677016125600005,1.75,-0.46666666666699996,False
ENSCINP00000000088,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,3,0,-0.0,0.0,,False
